"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900015"
"2","1st","4","11:58","Jump Ball Capela vs Lopez (Tucker gains possession)","0","-80","0","0","0","10","201572","1610612745","203991","0","0","200782","1610612745","60000","0021900015"
"3","1st","7","11:40","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","0","","1610612745","70000","0021900015"
"4","1st","8","11:35","[HOU 3-0] Tucker 3pt Shot: Made (3 PTS) Assist: Harden (1 AST)","232","42","3","0","1","1","","1610612745","200782","3","0","201935","1610612745","80000","0021900015"
"5","1st","10","11:23","[MIL] Middleton Turnover : Bad Pass (1 TO) Steal:House Jr. (1 ST)","195","273","1","0","1","5","1627863","1610612749","203114","3","0","","1610612749","1e+05","0021900015"
"6","1st","12","11:20","[MIL] Antetokounmpo Foul: Shooting (1 PF) (2 FTA) (T Washington)","-25","13","0","0","2","6","1627863","1610612749","203507","3","0","","1610612745","120000","0021900015"
"7","1st","14","11:20","[HOU 4-0] House Jr. Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612745","1627863","4","0","","1610612745","140000","0021900015"
"8","1st","15","11:20","[HOU 5-0] House Jr. Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612745","1627863","5","0","","1610612745","150000","0021900015"
"9","1st","16","11:10","[HOU] Tucker Foul: Personal (1 PF) (M Boland)","-52","124","0","0","1","6","203507","1610612745","200782","5","0","","1610612749","160000","0021900015"
"10","1st","18","11:03","[MIL] Bledsoe Driving Layup Shot: Missed","31","9","2","0","6","2","","1610612749","202339","5","0","","1610612749","180000","0021900015"
"11","1st","19","11:01","[HOU] Westbrook Rebound (Off:0 Def:1)","31","9","0","0","0","4","","1610612745","201566","5","0","","1610612749","190000","0021900015"
"12","1st","20","10:51","[HOU] Harden Driving Floating Jump Shot: Missed","14","55","2","0","101","2","","1610612745","201935","5","0","","1610612745","2e+05","0021900015"
"13","1st","21","10:49","[MIL] Antetokounmpo Rebound (Off:0 Def:1)","14","55","0","0","0","4","","1610612749","203507","5","0","","1610612745","210000","0021900015"
"14","1st","22","10:43","[MIL] Lopez 3pt Shot: Missed","-170","206","3","0","1","2","","1610612749","201572","5","0","","1610612749","220000","0021900015"
"15","1st","23","10:41","[HOU] Westbrook Rebound (Off:0 Def:2)","-170","206","0","0","0","4","","1610612745","201566","5","0","","1610612749","230000","0021900015"
"16","1st","24","10:33","[HOU] Capela Driving Reverse Layup Shot: Missed","22","4","2","0","73","2","201572","1610612745","203991","5","0","","1610612745","240000","0021900015"
"17","1st","25","10:31","[HOU] Tucker Rebound (Off:1 Def:0)","22","4","1","0","0","4","","1610612745","200782","5","0","","1610612745","250000","0021900015"
"18","1st","26","10:28","[HOU] Capela Layup Shot: Missed","-27","8","2","0","5","2","201572","1610612745","203991","5","0","","1610612745","260000","0021900015"
"19","1st","28","10:25","[MIL] Matthews Rebound (Off:0 Def:1)","-27","8","0","0","0","4","","1610612749","202083","5","0","","1610612745","280000","0021900015"
