"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900061"
"2","1st","4","12:00","Jump Ball Capela vs Bryant (Westbrook gains possession)","0","-80","0","0","0","10","1628418","1610612745","203991","0","0","201566","1610612745","60000","0021900061"
"3","1st","7","11:39","[HOU] Capela Running Alley Oop Layup Shot: Missed","22","15","2","0","100","2","","1610612745","203991","0","0","","1610612745","70000","0021900061"
"4","1st","8","11:34","[WAS] Bryant Rebound (Off:0 Def:1)","22","15","0","0","0","4","","1610612764","1628418","0","0","","1610612745","80000","0021900061"
"5","1st","9","11:27","[WAS] Hachimura Turnover : Lost Ball (1 TO) Steal:House Jr. (1 ST)","71","84","1","0","2","5","1627863","1610612764","1629060","0","0","","1610612764","90000","0021900061"
"6","1st","11","11:23","[HOU] Harden 3pt Shot: Missed","-149","220","3","0","1","2","","1610612745","201935","0","0","","1610612745","110000","0021900061"
"7","1st","12","11:19","[WAS] Smith Rebound (Off:0 Def:1)","-149","220","0","0","0","4","","1610612764","202397","0","0","","1610612745","120000","0021900061"
"8","1st","13","11:15","[WAS] Bonga Running Layup Shot: Missed","8","3","2","1","41","2","","1610612764","1629067","0","0","","1610612764","130000","0021900061"
"9","1st","14","11:12","[HOU] House Jr. Rebound (Off:0 Def:1)","8","3","0","0","0","4","","1610612745","1627863","0","0","","1610612764","140000","0021900061"
"10","1st","15","11:07","[HOU 3-0] House Jr. 3pt Shot: Made (3 PTS) Assist: Westbrook (1 AST)","187","177","3","1","1","1","","1610612745","1627863","0","3","201566","1610612745","150000","0021900061"
"11","1st","17","10:58","[WAS] Bonga Turnover : Step Out of Bounds Turnover (1 TO)","-210","156","0","0","39","5","","1610612764","1629067","0","3","","1610612764","170000","0021900061"
"12","1st","18","10:54","[HOU] Westbrook Turnover : Bad Pass (1 TO) Steal:Bryant (1 ST)","175","499","1","0","1","5","1628418","1610612745","201566","0","3","","1610612745","180000","0021900061"
"13","1st","20","10:46","[WAS] Hachimura Jump Shot: Missed","160","0","2","0","1","2","","1610612764","1629060","0","3","","1610612764","2e+05","0021900061"
"14","1st","21","10:42","[WAS] Bryant Rebound (Off:1 Def:1)","160","0","1","0","0","4","","1610612764","1628418","0","3","","1610612764","210000","0021900061"
"15","1st","22","10:41","[WAS] Beal 3pt Shot: Missed","133","214","3","0","1","2","","1610612764","203078","0","3","","1610612764","220000","0021900061"
"16","1st","23","10:37","[HOU] Capela Rebound (Off:0 Def:1)","133","214","0","0","0","4","","1610612745","203991","0","3","","1610612764","230000","0021900061"
"17","1st","24","10:21","[HOU] House Jr. 3pt Shot: Missed","-134","224","3","0","1","2","","1610612745","1627863","0","3","","1610612745","240000","0021900061"
"18","1st","25","10:20","[WAS] Team Rebound","-134","224","0","0","0","4","","1610612764","0","0","3","","1610612745","250000","0021900061"
"19","1st","26","10:20","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","3","","1610612764","260000","0021900061"
"20","1st","27","10:09","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","3","","1610612764","270000","0021900061"
"21","1st","28","10:05","[HOU] Tucker Foul: Shooting (1 PF) (2 FTA) (J Capers)","18","9","0","0","2","6","202397","1610612745","200782","0","3","","1610612764","280000","0021900061"
"22","1st","30","10:05","[WAS] Smith Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612764","202397","0","3","","1610612764","3e+05","0021900061"
"23","1st","31","10:05","[WAS] Team Rebound","0","-80","1","0","1","4","","1610612764","0","0","3","","1610612764","300001","0021900061"
"24","1st","32","10:05","[WAS] Smith Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612764","202397","0","3","","1610612764","320000","0021900061"
"25","1st","33","10:03","[HOU] Capela Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612745","203991","0","3","","1610612764","320001","0021900061"
"26","1st","34","09:46","[HOU 5-0] Capela Jump Shot: Made (2 PTS) Assist: Westbrook (2 AST)","-152","8","2","0","1","1","","1610612745","203991","0","5","201566","1610612745","340000","0021900061"
"27","1st","36","09:29","[WAS] Beal 3pt Shot: Missed","225","19","3","0","1","2","","1610612764","203078","0","5","","1610612764","360000","0021900061"
"28","1st","37","09:23","[HOU] Harden Rebound (Off:0 Def:1)","225","19","0","0","0","4","","1610612745","201935","0","5","","1610612764","370000","0021900061"
"29","1st","38","09:21","[HOU 7-0] House Jr. Alley Oop Dunk Shot: Made (5 PTS) Assist: Harden (1 AST)","-4","21","2","1","52","1","","1610612745","1627863","0","7","201935","1610612745","380000","0021900061"
"30","1st","40","08:57","[WAS 2-7] Bryant Jump Shot: Made (2 PTS) Assist: Beal (1 AST)","145","12","2","0","1","1","","1610612764","1628418","2","7","203078","1610612764","4e+05","0021900061"
"31","1st","42","08:48","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","7","","1610612745","420000","0021900061"
"32","1st","43","08:39","[HOU 10-2] Harden 3pt Shot: Made (3 PTS)","94","252","3","0","80","1","","1610612745","201935","2","10","","1610612745","430000","0021900061"
"33","1st","47","08:18","[HOU] Capela Foul: Shooting (1 PF) (2 FTA) (K Scott)","14","46","0","0","2","6","1628418","1610612745","203991","2","10","","1610612764","470000","0021900061"
"34","1st","49","08:18","[WAS 3-10] Bryant Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612764","1628418","3","10","","1610612764","490000","0021900061"
"35","1st","50","08:18","[WAS] Bryant Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612764","1628418","3","10","","1610612764","5e+05","0021900061"
"36","1st","51","08:15","[HOU] Westbrook Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","201566","3","10","","1610612764","500001","0021900061"
"37","1st","52","08:11","[HOU] Westbrook Pullup Jump shot: Missed","-73","191","2","0","79","2","","1610612745","201566","3","10","","1610612745","520000","0021900061"
"38","1st","53","08:08","[HOU] House Jr. Rebound (Off:1 Def:1)","-73","191","1","0","0","4","","1610612745","1627863","3","10","","1610612745","530000","0021900061"
"39","1st","54","08:07","[HOU] Harden Turnover : Step Out of Bounds Turnover (1 TO)","228","160","0","0","39","5","","1610612745","201935","3","10","","1610612745","540000","0021900061"
"40","1st","55","07:50","[WAS 5-10] Hachimura Hook Shot: Made (2 PTS) Assist: Beal (2 AST)","43","14","2","0","3","1","","1610612764","1629060","5","10","203078","1610612764","550000","0021900061"
"41","1st","57","07:42","[HOU 12-5] Capela Cutting Dunk Shot: Made (4 PTS) Assist: Westbrook (3 AST)","-4","21","2","0","108","1","","1610612745","203991","5","12","201566","1610612745","570000","0021900061"
"42","1st","59","07:34","[WAS] Bonga Turnover : Lost Ball (2 TO) Steal:Tucker (1 ST)","29","8","1","0","2","5","200782","1610612764","1629067","5","12","","1610612764","590000","0021900061"
"43","1st","61","07:29","[HOU] Westbrook 3pt Shot: Missed","166","203","3","0","1","2","","1610612745","201566","5","12","","1610612745","610000","0021900061"
"44","1st","62","07:24","[HOU] Capela Rebound (Off:1 Def:2)","166","203","1","0","0","4","","1610612745","203991","5","12","","1610612745","620000","0021900061"
"45","1st","63","07:13","[HOU] Harden 3pt Shot: Missed","-92","270","3","0","80","2","","1610612745","201935","5","12","","1610612745","630000","0021900061"
"46","1st","64","07:09","[WAS] Bryant Rebound (Off:1 Def:2)","-92","270","0","0","0","4","","1610612764","1628418","5","12","","1610612745","640000","0021900061"
"47","1st","65","06:59","[WAS 7-12] Hachimura Jump Shot: Made (4 PTS) Assist: Bryant (1 AST)","-83","126","2","0","1","1","","1610612764","1629060","7","12","1628418","1610612764","650000","0021900061"
"48","1st","67","06:39","[HOU 14-7] Tucker Driving Finger Roll Layup Shot: Made (2 PTS) Assist: Westbrook (4 AST)","23","23","2","0","75","1","","1610612745","200782","7","14","201566","1610612745","670000","0021900061"
