"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900069"
"2","1st","4","11:56","Jump Ball Allen vs Capela (Irving gains possession)","0","-80","0","0","0","10","203991","1610612751","1628386","0","0","202681","1610612751","60000","0021900069"
"3","1st","7","11:48","[HOU] Westbrook Foul: Shooting (1 PF) (2 FTA) (E Malloy)","-3","19","0","0","2","6","1628386","1610612745","201566","0","0","","1610612751","70000","0021900069"
"4","1st","9","11:48","[BKN] Allen Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612751","1628386","0","0","","1610612751","90000","0021900069"
"5","1st","10","11:48","[BKN] Team Rebound","0","-80","1","0","1","4","","1610612751","0","0","0","","1610612751","90001","0021900069"
"6","1st","11","11:48","[BKN] Allen Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612751","1628386","0","0","","1610612751","110000","0021900069"
"7","1st","12","11:46","[HOU] Capela Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","203991","0","0","","1610612751","110001","0021900069"
"8","1st","13","11:37","[HOU] Harden Turnover : Bad Pass (1 TO) Steal:Harris (1 ST)","32","14","1","0","1","5","203925","1610612745","201935","0","0","","1610612745","130000","0021900069"
"9","1st","15","11:24","[BKN 3-0] Harris 3pt Shot: Made (3 PTS) Assist: Irving (1 AST)","140","203","3","0","1","1","","1610612751","203925","3","0","202681","1610612751","150000","0021900069"
"10","1st","17","11:03","[HOU] Harden 3pt Shot: Missed","-44","249","3","0","80","2","","1610612745","201935","3","0","","1610612745","170000","0021900069"
"11","1st","18","11:00","[BKN] Prince Rebound (Off:0 Def:1)","-44","249","0","0","0","4","","1610612751","1627752","3","0","","1610612745","180000","0021900069"
"12","1st","19","10:56","[BKN] Irving Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","41","353","0","0","45","5","","1610612751","202681","3","0","","1610612751","190000","0021900069"
"13","1st","20","10:48","[HOU 2-3] Capela Cutting Dunk Shot: Made (2 PTS) Assist: Westbrook (1 AST)","2","13","2","0","108","1","","1610612745","203991","3","2","201566","1610612745","2e+05","0021900069"
