"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900086"
"2","1st","4","11:56","Jump Ball Capela vs Adebayo (Tucker gains possession)","0","-80","0","0","0","10","1628389","1610612745","203991","0","0","200782","1610612745","60000","0021900086"
"3","1st","7","11:39","[HOU] Westbrook Turnover : Bad Pass (1 TO) Steal:Butler (1 ST)","131","17","1","0","1","5","202710","1610612745","201566","0","0","","1610612745","70000","0021900086"
"4","1st","9","11:25","[MIA] Butler Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","127","39","0","0","45","5","","1610612748","202710","0","0","","1610612748","90000","0021900086"
"5","1st","10","11:14","[HOU] Westbrook 3pt Shot: Missed","150","209","3","0","1","2","","1610612745","201566","0","0","","1610612745","1e+05","0021900086"
"6","1st","11","11:11","[MIA] Robinson Rebound (Off:0 Def:1)","150","209","0","0","0","4","","1610612748","1629130","0","0","","1610612745","110000","0021900086"
"7","1st","12","10:54","[MIA] Nunn Cutting Layup Shot: Missed","-13","-1","2","0","98","2","","1610612748","1629134","0","0","","1610612748","120000","0021900086"
"8","1st","13","10:50","[HOU] Capela Rebound (Off:0 Def:1)","-13","-1","0","0","0","4","","1610612745","203991","0","0","","1610612748","130000","0021900086"
"9","1st","14","10:44","[HOU] Gordon Turnover : Bad Pass (1 TO) Steal:Adebayo (1 ST)","27","4","1","0","1","5","1628389","1610612745","201569","0","0","","1610612745","140000","0021900086"
"10","1st","16","10:39","[MIA 2-0] Adebayo Running Dunk Shot: Made (2 PTS) Assist: Nunn (1 AST)","11","-8","2","1","50","1","","1610612748","1628389","2","0","1629134","1610612748","160000","0021900086"
"11","1st","18","10:14","[HOU] Harden 3pt Shot: Missed","120","221","3","0","80","2","","1610612745","201935","2","0","","1610612745","180000","0021900086"
"12","1st","19","10:12","[MIA] Leonard Rebound (Off:0 Def:1)","120","221","0","0","0","4","","1610612748","203086","2","0","","1610612745","190000","0021900086"
"13","1st","20","10:04","[MIA 5-0] Butler 3pt Shot: Made (3 PTS) Assist: Adebayo (1 AST)","203","162","3","1","1","1","","1610612748","202710","5","0","1628389","1610612748","2e+05","0021900086"
"14","1st","22","09:55","[HOU 2-5] Westbrook Pullup Jump shot: Made (2 PTS)","-109","111","2","0","79","1","","1610612745","201566","5","2","","1610612745","220000","0021900086"
"15","1st","23","09:49","[HOU] Westbrook Foul: Shooting (1 PF) (2 FTA) (S Corbin)","44","65","0","0","2","6","1628389","1610612745","201566","5","2","","1610612748","230000","0021900086"
"16","1st","25","09:49","[MIA 6-2] Adebayo Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612748","1628389","6","2","","1610612748","250000","0021900086"
"17","1st","26","09:49","[MIA 7-2] Adebayo Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612748","1628389","7","2","","1610612748","260000","0021900086"
