"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900129"
"2","1st","4","11:57","Jump Ball Carter Jr. vs Capela (Satoransky gains possession)","0","-80","0","0","0","10","203991","1610612741","1628976","0","0","203107","1610612741","60000","0021900129"
"3","1st","7","11:35","[CHI] Satoransky Driving Layup Shot: Missed","13","9","2","0","6","2","","1610612741","203107","0","0","","1610612741","70000","0021900129"
"4","1st","8","11:33","[HOU] Tucker Rebound (Off:0 Def:1)","13","9","0","0","0","4","","1610612745","200782","0","0","","1610612741","80000","0021900129"
"5","1st","9","11:28","[HOU] Westbrook Driving Layup Shot: Missed","-18","3","2","1","6","2","","1610612745","201566","0","0","","1610612745","90000","0021900129"
"6","1st","10","11:26","[CHI] Carter Jr. Rebound (Off:0 Def:1)","-18","3","0","0","0","4","","1610612741","1628976","0","0","","1610612745","1e+05","0021900129"
"7","1st","11","11:23","[HOU] Westbrook Foul: Personal (1 PF) (E Lewis)","35","392","0","0","1","6","203107","1610612745","201566","0","0","","1610612741","110000","0021900129"
"8","1st","13","11:06","[CHI] LaVine 3pt Shot: Missed","13","252","3","0","1","2","","1610612741","203897","0","0","","1610612741","130000","0021900129"
"9","1st","14","11:04","[HOU] Capela Rebound (Off:0 Def:1)","13","252","0","0","0","4","","1610612745","203991","0","0","","1610612741","140000","0021900129"
"10","1st","15","10:43","[CHI] Satoransky Foul: Shooting (1 PF) (3 FTA) (E Lewis)","36","255","0","0","2","6","201935","1610612741","203107","0","0","","1610612745","150000","0021900129"
"11","1st","17","10:43","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","0","0","","1610612745","170000","0021900129"
"12","1st","18","10:43","[HOU] Harden Free Throw 1 of 3 Missed","0","-80","2","0","13","3","","1610612745","201935","0","0","","1610612745","180000","0021900129"
"13","1st","19","10:43","[HOU] Team Rebound","0","-80","1","0","1","4","","1610612745","0","0","0","","1610612745","180001","0021900129"
"14","1st","20","10:43","[HOU 1-0] Harden Free Throw 2 of 3 (1 PTS)","0","-80","1","0","14","3","","1610612745","201935","0","1","","1610612745","2e+05","0021900129"
"15","1st","21","10:43","[HOU 2-0] Harden Free Throw 3 of 3 (2 PTS)","0","-80","1","0","15","3","","1610612745","201935","0","2","","1610612745","210000","0021900129"
"16","1st","22","10:32","[CHI] Satoransky Turnover : Bad Pass (1 TO) Steal:Tucker (1 ST)","114","233","1","0","1","5","200782","1610612741","203107","0","2","","1610612741","220000","0021900129"
"17","1st","24","10:29","[CHI] Satoransky Foul: Shooting (2 PF) (2 FTA) (B Barnaky)","30","17","0","0","2","6","200782","1610612741","203107","0","2","","1610612745","240000","0021900129"
"18","1st","26","10:29","[HOU] Tucker Free Throw 1 of 2 Missed","0","-80","2","1","11","3","","1610612745","200782","0","2","","1610612745","260000","0021900129"
"19","1st","27","10:29","[HOU] Team Rebound","0","-80","1","0","1","4","","1610612745","0","0","2","","1610612745","260001","0021900129"
"20","1st","28","10:29","[HOU 3-0] Tucker Free Throw 2 of 2 (1 PTS)","0","-80","1","1","12","3","","1610612745","200782","0","3","","1610612745","280000","0021900129"
