"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900157"
"2","1st","4","11:56","Jump Ball Capela vs Zubac (Tucker gains possession)","0","-80","0","0","0","10","1627826","1610612745","203991","0","0","200782","1610612745","60000","0021900157"
"3","1st","7","11:36","[HOU 3-0] Harden 3pt Shot: Made (3 PTS)","144","250","3","0","80","1","","1610612745","201935","3","0","","1610612745","70000","0021900157"
"4","1st","8","11:08","[LAC] Leonard Turnaround Fadeaway shot: Missed","-59","125","2","0","86","2","","1610612746","202695","3","0","","1610612746","80000","0021900157"
"5","1st","9","11:06","[LAC] Harkless Rebound (Off:1 Def:0)","-59","125","1","0","0","4","","1610612746","203090","3","0","","1610612746","90000","0021900157"
"6","1st","10","11:05","[LAC] Harkless Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-241","413","0","0","45","5","","1610612746","203090","3","0","","1610612746","1e+05","0021900157"
"7","1st","11","10:57","[HOU 5-0] Westbrook Pullup Jump shot: Made (2 PTS)","3","218","2","0","79","1","","1610612745","201566","5","0","","1610612745","110000","0021900157"
"8","1st","12","10:42","[LAC] Zubac Layup Shot: Missed","16","23","2","0","5","2","203991","1610612746","1627826","5","0","","1610612746","120000","0021900157"
"9","1st","14","10:39","[HOU] Harden Rebound (Off:0 Def:1)","16","23","0","0","0","4","","1610612745","201935","5","0","","1610612746","140000","0021900157"
"10","1st","15","10:33","[HOU 7-0] Capela Turnaround Hook Shot: Made (2 PTS) Assist: Harden (1 AST)","16","11","2","0","58","1","","1610612745","203991","7","0","201935","1610612745","150000","0021900157"
"11","1st","17","10:21","[LAC 2-7] Beverley Driving Layup Shot: Made (2 PTS)","6","4","2","0","6","1","","1610612746","201976","7","2","","1610612746","170000","0021900157"
"12","1st","18","10:08","[HOU] Westbrook Pullup Jump shot: Missed","86","141","2","0","79","2","","1610612745","201566","7","2","","1610612745","180000","0021900157"
"13","1st","19","10:08","[LAC] Team Rebound","86","141","0","0","0","4","","1610612746","0","7","2","","1610612745","190000","0021900157"
"14","1st","20","10:08","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","7","2","","1610612746","2e+05","0021900157"
"15","1st","21","09:56","[LAC] Leonard Driving Floating Jump Shot: Missed","-8","88","2","0","101","2","","1610612746","202695","7","2","","1610612746","210000","0021900157"
"16","1st","22","09:52","[HOU] Capela Rebound (Off:0 Def:1)","-8","88","0","0","0","4","","1610612745","203991","7","2","","1610612746","220000","0021900157"
"17","1st","23","09:51","[HOU] Capela Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-223","47","0","0","45","5","","1610612745","203991","7","2","","1610612745","230000","0021900157"
"18","1st","24","09:33","[HOU] Westbrook Foul: Shooting (1 PF) (2 FTA) (T Brown)","-37","24","0","0","2","6","1627826","1610612745","201566","7","2","","1610612746","240000","0021900157"
"19","1st","26","09:33","[LAC 3-7] Zubac Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612746","1627826","7","3","","1610612746","260000","0021900157"
"20","1st","27","09:33","[LAC] Zubac Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612746","1627826","7","3","","1610612746","270000","0021900157"
"21","1st","28","09:33","[HOU] Capela Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612745","203991","7","3","","1610612746","270001","0021900157"
"22","1st","29","09:22","[HOU 9-3] Capela Turnaround Hook Shot: Made (4 PTS) Assist: Westbrook (1 AST)","-1","46","2","0","58","1","","1610612745","203991","9","3","201566","1610612745","290000","0021900157"
"23","1st","31","09:07","[LAC] Beverley 3pt Shot: Missed","-92","261","3","0","1","2","","1610612746","201976","9","3","","1610612746","310000","0021900157"
"24","1st","32","09:06","[LAC] Patterson Rebound (Off:1 Def:0)","-92","261","1","0","0","4","","1610612746","202335","9","3","","1610612746","320000","0021900157"
"25","1st","33","09:05","[LAC] Patterson Turnover : Bad Pass (1 TO) Steal:Harden (1 ST)","-54","0","1","0","1","5","201935","1610612746","202335","9","3","","1610612746","330000","0021900157"
"26","1st","35","08:58","[HOU 11-3] Harden Driving Layup Shot: Made (5 PTS)","14","0","2","0","6","1","","1610612745","201935","11","3","","1610612745","350000","0021900157"
"27","1st","36","08:43","[LAC] Zubac Turnaround Bank Hook Shot: Missed","23","18","2","0","96","2","","1610612746","1627826","11","3","","1610612746","360000","0021900157"
"28","1st","37","08:43","[HOU] Capela Rebound (Off:0 Def:3)","23","18","0","0","0","4","","1610612745","203991","11","3","","1610612746","370000","0021900157"
"29","1st","38","08:29","[HOU 13-3] Westbrook Driving Finger Roll Layup Shot: Made (4 PTS)","-13","-7","2","0","75","1","","1610612745","201566","13","3","","1610612745","380000","0021900157"
"30","1st","39","08:29","[LAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612746","1610612746","13","3","","1610612746","390000","0021900157"
"31","1st","40","08:17","[LAC] Harkless Driving Layup Shot: Missed","-14","17","2","0","6","2","","1610612746","203090","13","3","","1610612746","4e+05","0021900157"
"32","1st","41","08:16","[LAC] Team Rebound","-14","17","1","0","0","4","","1610612746","0","13","3","","1610612746","410000","0021900157"
"33","1st","42","08:16","[HOU] McLemore Foul: Loose Ball (1 PF) (T Brown)","-44","12","0","0","3","6","1627826","1610612745","203463","13","3","","1610612746","420000","0021900157"
"34","1st","44","08:13","[HOU] Westbrook Foul: Personal (2 PF) (T Brown)","-55","287","0","0","1","6","202695","1610612745","201566","13","3","","1610612746","440000","0021900157"
"35","1st","46","08:04","[LAC] Beverley 3pt Shot: Missed","-232","55","3","0","1","2","","1610612746","201976","13","3","","1610612746","460000","0021900157"
"36","1st","47","08:01","[HOU] Harden Rebound (Off:0 Def:2)","-232","55","0","0","0","4","","1610612745","201935","13","3","","1610612746","470000","0021900157"
"37","1st","48","07:53","[HOU 15-3] Harden Driving Layup Shot: Made (7 PTS)","-22","30","2","0","6","1","","1610612745","201935","15","3","","1610612745","480000","0021900157"
"38","1st","49","07:43","[HOU] McLemore Foul: Personal (2 PF) (D Richardson)","177","54","0","0","1","6","202695","1610612745","203463","15","3","","1610612746","490000","0021900157"
"39","1st","51","07:43","[LAC] Patterson Substitution replaced by Harrell","0","-80","0","0","0","8","","1610612746","202335","15","3","1626149","1610612746","510000","0021900157"
"40","1st","52","07:43","[LAC] Zubac Substitution replaced by Williams","0","-80","0","0","0","8","","1610612746","1627826","15","3","101150","1610612746","520000","0021900157"
"41","1st","55","07:32","[LAC] Harrell Jump Shot: Missed","2","122","2","0","1","2","","1610612746","1626149","15","3","","1610612746","550000","0021900157"
"42","1st","56","07:30","[HOU] Capela Rebound (Off:0 Def:4)","2","122","0","0","0","4","","1610612745","203991","15","3","","1610612746","560000","0021900157"
"43","1st","57","07:24","[HOU] Harden Driving Finger Roll Layup Shot: Missed","8","53","2","0","75","2","","1610612745","201935","15","3","","1610612745","570000","0021900157"
"44","1st","58","07:19","[LAC] Harrell Rebound (Off:0 Def:1)","8","53","0","0","0","4","","1610612746","1626149","15","3","","1610612745","580000","0021900157"
"45","1st","59","07:17","[LAC 5-15] Beverley Running Layup Shot: Made (4 PTS) Assist: Leonard (1 AST)","11","12","2","1","41","1","","1610612746","201976","15","5","202695","1610612746","590000","0021900157"
"46","1st","60","07:04","[HOU 17-5] Capela Hook Shot: Made (6 PTS) Assist: Westbrook (2 AST)","8","57","2","0","3","1","","1610612745","203991","17","5","201566","1610612745","6e+05","0021900157"
"47","1st","62","06:51","[LAC 8-17] Williams 3pt Shot: Made (3 PTS) Assist: Harrell (1 AST)","3","275","3","0","1","1","","1610612746","101150","17","8","1626149","1610612746","620000","0021900157"
"48","1st","64","06:36","[HOU] Westbrook Pullup Jump shot: Missed","120","15","2","0","79","2","","1610612745","201566","17","8","","1610612745","640000","0021900157"
"49","1st","65","06:34","[LAC] Leonard Rebound (Off:0 Def:1)","120","15","0","0","0","4","","1610612746","202695","17","8","","1610612745","650000","0021900157"
"50","1st","66","06:27","[HOU] Westbrook Foul: Personal (3 PF) (2 FTA) (D Richardson)","-54","219","1","0","1","6","201976","1610612745","201566","17","8","","1610612746","660000","0021900157"
"51","1st","68","06:27","[LAC] Beverley Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612746","201976","17","8","","1610612746","680000","0021900157"
"52","1st","69","06:27","[LAC] Team Rebound","0","-80","1","0","1","4","","1610612746","0","17","8","","1610612746","680001","0021900157"
"53","1st","70","06:27","[HOU] Westbrook Substitution replaced by Rivers","0","-80","0","0","0","8","","1610612745","201566","17","8","203085","1610612746","7e+05","0021900157"
"54","1st","72","06:27","[LAC] Beverley Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612746","201976","17","8","","1610612746","720000","0021900157"
"55","1st","73","06:27","[HOU] Capela Rebound (Off:0 Def:5)","0","-80","0","0","0","4","","1610612745","203991","17","8","","1610612746","720001","0021900157"
"56","1st","74","06:22","[LAC] Beverley Foul: Personal (1 PF) (T Brown)","-210","452","0","0","1","6","201935","1610612746","201976","17","8","","1610612745","740000","0021900157"
"57","1st","77","06:14","[HOU] Harden Driving Floating Jump Shot: Missed","4","104","2","0","101","2","","1610612745","201935","17","8","","1610612745","760000","0021900157"
"58","1st","78","06:11","[LAC] Leonard Rebound (Off:0 Def:2)","4","104","0","0","0","4","","1610612746","202695","17","8","","1610612745","770000","0021900157"
"59","1st","79","06:07","[LAC] Leonard 3pt Shot: Missed","112","239","3","1","79","2","","1610612746","202695","17","8","","1610612746","780000","0021900157"
"60","1st","80","06:06","[HOU] Team Rebound","112","239","0","0","0","4","","1610612745","0","17","8","","1610612746","790000","0021900157"
"61","1st","81","06:06","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","17","8","","1610612745","8e+05","0021900157"
"62","1st","82","05:47","[HOU] Harden 3pt Shot: Missed","236","15","3","0","1","2","","1610612745","201935","17","8","","1610612745","810000","0021900157"
"63","1st","83","05:44","[LAC] Beverley Rebound (Off:0 Def:1)","236","15","0","0","0","4","","1610612746","201976","17","8","","1610612745","820000","0021900157"
"64","1st","84","05:37","[LAC 11-17] Leonard 3pt Shot: Made (3 PTS) Assist: Beverley (1 AST)","-242","25","3","0","1","1","","1610612746","202695","17","11","201976","1610612746","830000","0021900157"
"65","1st","86","05:22","[HOU] Harden Turnover : Bad Pass (1 TO) Steal:Leonard (1 ST)","68","0","1","0","1","5","202695","1610612745","201935","17","11","","1610612745","850000","0021900157"
"66","1st","88","05:16","[LAC] Beverley 3pt Shot: Missed","229","29","3","1","1","2","","1610612746","201976","17","11","","1610612746","870000","0021900157"
"67","1st","89","05:14","[HOU] Rivers Rebound (Off:0 Def:1)","229","29","0","0","0","4","","1610612745","203085","17","11","","1610612746","880000","0021900157"
"68","1st","90","05:05","[LAC] Beverley Foul: Personal (2 PF) (T Brown)","11","197","0","0","1","6","201935","1610612746","201976","17","11","","1610612745","890000","0021900157"
"69","1st","92","05:05","[LAC] Beverley Substitution replaced by McGruder","0","-80","0","0","0","8","","1610612746","201976","17","11","203585","1610612745","910000","0021900157"
"70","1st","94","05:05","Instant Replay - Support Ruling","0","-80","0","0","0","18","","0","0","17","11","","1610612745","930000","0021900157"
"71","1st","95","05:05","[HOU] Capela Substitution replaced by Chandler","0","-80","0","0","0","8","","1610612745","203991","17","11","2199","1610612745","940000","0021900157"
"72","1st","97","04:55","[HOU 20-11] Harden 3pt Shot: Made (10 PTS)","113","222","3","0","80","1","","1610612745","201935","20","11","","1610612745","960000","0021900157"
"73","1st","98","04:41","[LAC] Williams 3pt Shot: Missed","-117","240","3","0","1","2","","1610612746","101150","20","11","","1610612746","970000","0021900157"
"74","1st","99","04:41","[HOU] McLemore Rebound (Off:0 Def:1)","-117","240","0","0","0","4","","1610612745","203463","20","11","","1610612746","980000","0021900157"
"75","1st","100","04:32","[HOU 23-11] Harden 3pt Shot: Made (13 PTS)","-40","261","3","0","80","1","","1610612745","201935","23","11","","1610612745","990000","0021900157"
"76","1st","101","04:20","[LAC] McGruder Cutting Layup Shot: Missed","23","-11","2","0","98","2","2199","1610612746","203585","23","11","","1610612746","1e+06","0021900157"
"77","1st","103","04:20","[LAC] Team Rebound","23","-11","1","0","0","4","","1610612746","0","23","11","","1610612746","1020000","0021900157"
"78","1st","104","04:20","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","23","11","","1610612746","1030000","0021900157"
"79","1st","105","04:20","[LAC] Harkless Substitution replaced by Robinson","0","-80","0","0","0","8","","1610612746","203090","23","11","1629010","1610612746","1040000","0021900157"
"80","1st","107","04:12","[LAC 13-23] Leonard Turnaround Fadeaway shot: Made (5 PTS)","3","120","2","0","86","1","","1610612746","202695","23","13","","1610612746","1060000","0021900157"
"81","1st","108","03:54","[HOU 26-13] McLemore 3pt Shot: Made (3 PTS) Assist: Harden (2 AST)","105","245","3","0","1","1","","1610612745","203463","26","13","201935","1610612745","1070000","0021900157"
"82","1st","110","03:39","[LAC] Robinson 3pt Shot: Missed","-230","47","3","0","1","2","","1610612746","1629010","26","13","","1610612746","1090000","0021900157"
"83","1st","111","03:37","[HOU] Harden Rebound (Off:0 Def:3)","-230","47","0","0","0","4","","1610612745","201935","26","13","","1610612746","1100000","0021900157"
"84","1st","112","03:29","[LAC] McGruder Foul: Personal (1 PF) (D Richardson)","-122","227","0","0","1","6","201935","1610612746","203585","26","13","","1610612745","1110000","0021900157"
"85","1st","114","03:29","[HOU] McLemore Substitution replaced by Clemons","0","-80","0","0","0","8","","1610612745","203463","26","13","1629598","1610612745","1130000","0021900157"
"86","1st","115","03:29","[HOU] Tucker Substitution replaced by Sefolosha","0","-80","0","0","0","8","","1610612745","200782","26","13","200757","1610612745","1140000","0021900157"
"87","1st","116","03:29","[LAC] Leonard Substitution replaced by Beverley","0","-80","0","0","0","8","","1610612746","202695","26","13","201976","1610612745","1150000","0021900157"
"88","1st","120","03:18","[HOU] Harden Driving Floating Jump Shot: Missed","51","116","2","0","101","2","","1610612745","201935","26","13","","1610612745","1190000","0021900157"
"89","1st","121","03:16","[LAC] Beverley Rebound (Off:0 Def:2)","51","116","0","0","0","4","","1610612746","201976","26","13","","1610612745","1200000","0021900157"
"90","1st","122","03:13","[LAC] Williams Jump Shot: Missed","1","156","2","1","1","2","","1610612746","101150","26","13","","1610612746","1210000","0021900157"
"91","1st","123","03:10","[HOU] Chandler Rebound (Off:0 Def:1)","1","156","0","0","0","4","","1610612745","2199","26","13","","1610612746","1220000","0021900157"
"92","1st","124","03:02","[HOU] Rivers 3pt Shot: Missed","51","258","3","0","79","2","","1610612745","203085","26","13","","1610612745","1230000","0021900157"
"93","1st","125","02:59","[LAC] Harrell Rebound (Off:0 Def:2)","51","258","0","0","0","4","","1610612746","1626149","26","13","","1610612745","1240000","0021900157"
"94","1st","126","02:50","[LAC] McGruder 3pt Shot: Missed","236","29","3","0","1","2","","1610612746","203585","26","13","","1610612746","1250000","0021900157"
