"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900179"
"2","1st","4","12:00","Jump Ball Chandler vs Towns (Harden gains possession)","0","-80","0","0","0","10","1626157","1610612745","2199","0","0","201935","1610612745","60000","0021900179"
"3","1st","7","11:41","[HOU 2-0] Harden Driving Floating Bank Jump Shot: Made (2 PTS) Assist: Chandler (1 AST)","-47","48","2","0","102","1","","1610612745","201935","0","2","2199","1610612745","70000","0021900179"
"4","1st","8","11:25","[MIN 2-2] Towns Step Back Jump shot: Made (2 PTS)","125","191","2","0","80","1","","1610612750","1626157","2","2","","1610612750","80000","0021900179"
"5","1st","9","11:05","[HOU 5-2] McLemore 3pt Shot: Made (3 PTS) Assist: Harden (1 AST)","143","220","3","0","1","1","","1610612745","203463","2","5","201935","1610612745","90000","0021900179"
"6","1st","11","10:48","[MIN] Graham Jump Shot: Missed","65","34","2","0","1","2","","1610612750","1626203","2","5","","1610612750","110000","0021900179"
"7","1st","12","10:48","[HOU] Team Rebound","65","34","0","0","0","4","","1610612745","0","2","5","","1610612750","120000","0021900179"
"8","1st","13","10:47","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","5","","1610612745","130000","0021900179"
"9","1st","14","10:28","[HOU] Harden Driving Floating Jump Shot: Missed","-36","48","2","0","101","2","","1610612745","201935","2","5","","1610612745","140000","0021900179"
"10","1st","15","10:26","[MIN] Layman Rebound (Off:0 Def:1)","-36","48","0","0","0","4","","1610612750","1627774","2","5","","1610612745","150000","0021900179"
"11","1st","16","10:20","[MIN 4-5] Covington Driving Layup Shot: Made (2 PTS) Assist: Layman (1 AST)","27","13","2","0","6","1","","1610612750","203496","4","5","1627774","1610612750","160000","0021900179"
"12","1st","19","10:08","[HOU 7-4] Rivers Cutting Layup Shot: Made (2 PTS) Assist: Chandler (2 AST)","-6","8","2","0","98","1","","1610612745","203085","4","7","2199","1610612745","180000","0021900179"
"13","1st","21","09:54","[MIN 7-7] Covington 3pt Shot: Made (5 PTS) Assist: Teague (1 AST)","107","230","3","0","1","1","","1610612750","203496","7","7","201952","1610612750","2e+05","0021900179"
"14","1st","23","09:54","[HOU] Rivers Foul: Shooting (1 PF) (1 FTA) (J Williams)","115","215","0","0","2","6","203496","1610612745","203085","7","7","","1610612750","220000","0021900179"
"15","1st","25","09:54","[MIN 8-7] Covington Free Throw 1 of 1 (6 PTS)","0","-80","1","0","10","3","","1610612750","203496","8","7","","1610612750","240000","0021900179"
"16","1st","26","09:40","[HOU] Rivers Driving Layup Shot: Missed","-3","14","2","0","6","2","","1610612745","203085","8","7","","1610612745","250000","0021900179"
"17","1st","27","09:38","[MIN] Towns Rebound (Off:0 Def:1)","-3","14","0","0","0","4","","1610612750","1626157","8","7","","1610612745","260000","0021900179"
"18","1st","28","09:33","[MIN] Covington 3pt Shot: Missed","-150","199","3","1","1","2","","1610612750","203496","8","7","","1610612750","270000","0021900179"
"19","1st","29","09:30","[HOU] Harden Rebound (Off:0 Def:1)","-150","199","0","0","0","4","","1610612745","201935","8","7","","1610612750","280000","0021900179"
"20","1st","30","09:22","[HOU] Harden 3pt Shot: Missed","-94","236","3","0","80","2","","1610612745","201935","8","7","","1610612745","290000","0021900179"
"21","1st","31","09:20","[MIN] Towns Rebound (Off:0 Def:2)","-94","236","0","0","0","4","","1610612750","1626157","8","7","","1610612745","3e+05","0021900179"
"22","1st","32","09:10","[MIN 10-7] Towns Driving Layup Shot: Made (4 PTS)","9","7","2","0","6","1","","1610612750","1626157","10","7","","1610612750","310000","0021900179"
"23","1st","33","08:58","[HOU] Harden Driving Layup Shot: Missed","-6","20","2","0","6","2","1627774","1610612745","201935","10","7","","1610612745","320000","0021900179"
"24","1st","35","08:56","[MIN] Graham Rebound (Off:0 Def:1)","-6","20","0","0","0","4","","1610612750","1626203","10","7","","1610612745","340000","0021900179"
"25","1st","36","08:54","[MIN 12-7] Teague Driving Layup Shot: Made (2 PTS) Assist: Covington (1 AST)","0","0","2","1","6","1","","1610612750","201952","12","7","203496","1610612750","350000","0021900179"
"26","1st","38","08:38","[HOU] Harden Driving Layup Shot: Missed","-1","35","2","0","6","2","1626157","1610612745","201935","12","7","","1610612745","370000","0021900179"
"27","1st","40","08:34","[HOU] Rivers Rebound (Off:1 Def:0)","-1","35","1","0","0","4","","1610612745","203085","12","7","","1610612745","390000","0021900179"
"28","1st","41","08:31","[HOU] McLemore Turnover : Traveling (1 TO)","-33","54","0","0","4","5","","1610612745","203463","12","7","","1610612745","4e+05","0021900179"
"29","1st","42","08:31","[HOU] Chandler Substitution replaced by Hartenstein","0","-80","0","0","0","8","","1610612745","2199","12","7","1628392","1610612750","410000","0021900179"
"30","1st","44","08:15","[MIN 14-7] Towns Driving Layup Shot: Made (6 PTS)","7","5","2","0","6","1","","1610612750","1626157","14","7","","1610612750","430000","0021900179"
"31","1st","45","08:02","[HOU 10-14] Harden 3pt Shot: Made (5 PTS)","-88","251","3","0","80","1","","1610612745","201935","14","10","","1610612745","440000","0021900179"
"32","1st","46","07:49","[MIN 17-10] Towns 3pt Shot: Made (9 PTS) Assist: Teague (2 AST)","168","197","3","0","80","1","","1610612750","1626157","17","10","201952","1610612750","450000","0021900179"
"33","1st","49","07:37","[MIN] Graham Foul: Personal (1 PF) (R Acosta)","-19","278","0","0","1","6","201935","1610612750","1626203","17","10","","1610612745","470000","0021900179"
"34","1st","51","07:21","[HOU] Hartenstein Turnover : Bad Pass (1 TO) Steal:Covington (1 ST)","-67","22","1","0","1","5","203496","1610612745","1628392","17","10","","1610612745","490000","0021900179"
"35","1st","53","07:18","[MIN] Teague Turnover : Lost Ball (1 TO) Steal:McLemore (1 ST)","70","496","1","0","2","5","203463","1610612750","201952","17","10","","1610612750","510000","0021900179"
"36","1st","55","07:14","[HOU] McLemore 3pt Shot: Missed","-100","241","3","0","79","2","","1610612745","203463","17","10","","1610612745","530000","0021900179"
