"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900224"
"2","1st","4","11:57","Jump Ball Zubac vs Capela (Leonard gains possession)","0","-80","0","0","0","10","203991","1610612746","1627826","0","0","202695","1610612746","60000","0021900224"
"3","1st","7","11:43","[LAC 2-0] Leonard Fadeaway Jump Shot: Made (2 PTS) Assist: George (1 AST)","174","0","2","0","63","1","","1610612746","202695","2","0","202331","1610612746","70000","0021900224"
"4","1st","9","11:43","[HOU] Tucker Foul: Shooting (1 PF) (1 FTA) (L Wood)","112","18","0","0","2","6","202695","1610612745","200782","2","0","","1610612746","90000","0021900224"
"5","1st","11","11:43","[LAC 3-0] Leonard Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612746","202695","3","0","","1610612746","110000","0021900224"
"6","1st","12","11:29","[HOU] Westbrook Driving Layup Shot: Missed","14","24","2","0","6","2","","1610612745","201566","3","0","","1610612745","120000","0021900224"
"7","1st","13","11:26","[HOU] Capela Rebound (Off:1 Def:0)","14","24","1","0","0","4","","1610612745","203991","3","0","","1610612745","130000","0021900224"
"8","1st","14","11:26","[HOU 2-3] Capela Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612745","203991","3","2","","1610612745","140000","0021900224"
"9","1st","15","11:09","[LAC] Leonard Pullup Jump shot: Missed","-82","157","2","0","79","2","","1610612746","202695","3","2","","1610612746","150000","0021900224"
"10","1st","16","11:07","[HOU] Capela Rebound (Off:1 Def:1)","-82","157","0","0","0","4","","1610612745","203991","3","2","","1610612746","160000","0021900224"
"11","1st","17","10:56","[HOU] Westbrook Turnover : Bad Pass (1 TO) Steal:Leonard (1 ST)","-57","74","1","0","1","5","202695","1610612745","201566","3","2","","1610612745","170000","0021900224"
"12","1st","19","10:42","[LAC] Beverley Floating Jump shot: Missed","78","8","2","0","78","2","","1610612746","201976","3","2","","1610612746","190000","0021900224"
"13","1st","20","10:38","[LAC] Zubac Rebound (Off:1 Def:0)","78","8","1","0","0","4","","1610612746","1627826","3","2","","1610612746","2e+05","0021900224"
"14","1st","21","10:38","[LAC 5-2] Zubac Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612746","1627826","5","2","","1610612746","210000","0021900224"
"15","1st","22","10:23","[HOU] Capela Turnover : 3 Second Violation (1 TO)","-44","55","0","0","8","5","","1610612745","203991","5","2","","1610612745","220000","0021900224"
"16","1st","23","10:09","[LAC] George 3pt Shot: Missed","-111","288","3","0","1","2","","1610612746","202331","5","2","","1610612746","230000","0021900224"
"17","1st","24","10:06","[HOU] Westbrook Rebound (Off:0 Def:1)","-90","253","0","0","0","4","","1610612745","201566","5","2","","1610612746","240000","0021900224"
