"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900282"
"2","1st","4","11:56","Jump Ball Chandler vs Jones (Westbrook gains possession)","0","-80","0","0","0","10","1627745","1610612745","2199","0","0","201566","1610612745","60000","0021900282"
"3","1st","7","11:40","[HOU 2-0] Chandler Dunk Shot: Made (2 PTS) Assist: Tucker (1 AST)","2","5","2","0","7","1","","1610612745","2199","2","0","200782","1610612745","70000","0021900282"
"4","1st","9","11:15","[ATL 3-2] Crabbe 3pt Shot: Made (3 PTS) Assist: Jones (1 AST)","155","205","3","0","1","1","","1610612737","203459","2","3","1627745","1610612737","90000","0021900282"
"5","1st","11","11:00","[HOU] Westbrook Pullup Jump shot: Missed","-85","148","2","0","79","2","","1610612745","201566","2","3","","1610612745","110000","0021900282"
"6","1st","13","10:56","[ATL] Parker Rebound (Off:0 Def:1)","-85","148","0","0","0","4","","1610612737","203953","2","3","","1610612745","130000","0021900282"
"7","1st","14","10:50","[ATL] Young Turnover : Bad Pass (1 TO) Steal:Chandler (1 ST)","57","129","1","0","1","5","2199","1610612737","1629027","2","3","","1610612737","140000","0021900282"
"8","1st","16","10:47","[HOU] Harden Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-170","-9","0","0","45","5","","1610612745","201935","2","3","","1610612745","160000","0021900282"
"9","1st","17","10:23","[ATL 5-2] Jones Cutting Dunk Shot: Made (2 PTS) Assist: Parker (1 AST)","-4","13","2","0","108","1","","1610612737","1627745","2","5","203953","1610612737","170000","0021900282"
"10","1st","19","10:15","[ATL] Jones Foul: Shooting (1 PF) (2 FTA) (L Richardson)","-12","30","0","0","2","6","200782","1610612737","1627745","2","5","","1610612745","190000","0021900282"
"11","1st","21","10:15","[HOU 3-5] Tucker Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612745","200782","3","5","","1610612745","210000","0021900282"
"12","1st","22","10:15","[HOU 4-5] Tucker Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612745","200782","4","5","","1610612745","220000","0021900282"
"13","1st","23","10:04","[ATL] Parker Turnover : Bad Pass (1 TO) Steal:Harden (1 ST)","93","210","1","0","1","5","201935","1610612737","203953","4","5","","1610612737","230000","0021900282"
"14","1st","25","10:00","[HOU 6-5] Westbrook Alley Oop Dunk Shot: Made (2 PTS) Assist: Harden (1 AST)","10","3","2","1","52","1","","1610612745","201566","6","5","201935","1610612745","250000","0021900282"
"15","1st","27","09:49","[ATL] Parker 3pt Shot: Missed","-157","214","3","0","1","2","","1610612737","203953","6","5","","1610612737","270000","0021900282"
"16","1st","28","09:45","[HOU] McLemore Rebound (Off:0 Def:1)","-157","214","0","0","0","4","","1610612745","203463","6","5","","1610612737","280000","0021900282"
"17","1st","29","09:38","[HOU 9-5] Harden 3pt Shot: Made (3 PTS)","73","245","3","0","80","1","","1610612745","201935","9","5","","1610612745","290000","0021900282"
