"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900318"
"2","1st","4","11:58","Jump Ball Capela vs Gasol (Tucker gains possession)","0","-80","0","0","0","10","201188","1610612745","203991","0","0","200782","1610612745","60000","0021900318"
"3","1st","7","11:39","[HOU] Capela Turnover : Lost Ball (1 TO) Steal:Gasol (1 ST)","-51","18","1","0","2","5","201188","1610612745","203991","0","0","","1610612745","70000","0021900318"
"4","1st","9","11:28","[HOU] Harden Violation:Kicked Ball (M Lindsay)","0","-80","0","0","5","7","","1610612745","201935","0","0","","1610612761","90000","0021900318"
"5","1st","10","11:15","[TOR] Anunoby 3pt Shot: Missed","233","21","3","0","1","2","","1610612761","1628384","0","0","","1610612761","1e+05","0021900318"
"6","1st","11","11:11","[HOU] Tucker Rebound (Off:0 Def:1)","233","21","0","0","0","4","","1610612745","200782","0","0","","1610612761","110000","0021900318"
"7","1st","12","11:02","[HOU] McLemore 3pt Shot: Missed","-223","4","3","0","1","2","","1610612745","203463","0","0","","1610612745","120000","0021900318"
"8","1st","13","11:02","[HOU] Team Rebound","-223","4","1","0","0","4","","1610612745","0","0","0","","1610612745","130000","0021900318"
"9","1st","14","11:02","[TOR] Siakam Foul: Loose Ball (1 PF) (N Sago)","29","33","0","0","3","6","201566","1610612761","1627783","0","0","","1610612745","140000","0021900318"
"10","1st","16","10:58","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","0","","1610612745","160000","0021900318"
"11","1st","17","10:52","[HOU 3-0] Tucker 3pt Shot: Made (3 PTS) Assist: Westbrook (1 AST)","-232","5","3","0","1","1","","1610612745","200782","0","3","201566","1610612745","170000","0021900318"
"12","1st","19","10:32","[TOR 3-3] VanVleet 3pt Shot: Made (3 PTS) Assist: Anunoby (1 AST)","42","256","3","0","1","1","","1610612761","1627832","3","3","1628384","1610612761","190000","0021900318"
"13","1st","21","10:16","[HOU] Capela Turnover : Lost Ball (2 TO) Steal:Gasol (2 ST)","47","21","1","0","2","5","201188","1610612745","203991","3","3","","1610612745","210000","0021900318"
"14","1st","23","10:07","[TOR] Gasol 3pt Shot: Missed","58","247","3","0","1","2","","1610612761","201188","3","3","","1610612761","230000","0021900318"
"15","1st","24","10:02","[HOU] Tucker Rebound (Off:0 Def:2)","58","247","0","0","0","4","","1610612745","200782","3","3","","1610612761","240000","0021900318"
"16","1st","25","09:53","[HOU] Capela Alley Oop Layup shot: Missed","13","13","2","0","43","2","","1610612745","203991","3","3","","1610612745","250000","0021900318"
"17","1st","26","09:52","[HOU] Team Rebound","13","13","1","0","0","4","","1610612745","0","3","3","","1610612745","260000","0021900318"
"18","1st","27","09:52","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","3","3","","1610612745","270000","0021900318"
"19","1st","28","09:50","[HOU 6-3] McLemore 3pt Shot: Made (3 PTS) Assist: Westbrook (2 AST)","-100","251","3","0","1","1","","1610612745","203463","3","6","201566","1610612745","280000","0021900318"
"20","1st","30","09:38","[TOR] Siakam Turnover : Bad Pass (1 TO) Steal:McLemore (1 ST)","-50","56","1","0","1","5","203463","1610612761","1627783","3","6","","1610612761","3e+05","0021900318"
"21","1st","32","09:36","[HOU] McLemore Turnover : Bad Pass (1 TO) Steal:Siakam (1 ST)","-128","861","1","0","1","5","1627783","1610612745","203463","3","6","","1610612745","320000","0021900318"
"22","1st","34","09:32","[TOR] VanVleet 3pt Shot: Missed","89","246","3","0","1","2","","1610612761","1627832","3","6","","1610612761","340000","0021900318"
"23","1st","35","09:28","[HOU] Tucker Rebound (Off:0 Def:3)","89","246","0","0","0","4","","1610612745","200782","3","6","","1610612761","350000","0021900318"
"24","1st","36","09:19","[HOU] Capela Turnover : Lost Ball (3 TO) Steal:Gasol (3 ST)","-26","28","1","0","2","5","201188","1610612745","203991","3","6","","1610612745","360000","0021900318"
"25","1st","38","09:16","[HOU] Capela Violation:Kicked Ball (M Lindsay)","0","-80","0","0","5","7","","1610612745","203991","3","6","","1610612761","380000","0021900318"
"26","1st","39","09:14","[TOR] Siakam 3pt Shot: Missed","81","241","3","0","1","2","","1610612761","1627783","3","6","","1610612761","390000","0021900318"
"27","1st","40","09:10","[HOU] Capela Rebound (Off:0 Def:1)","81","241","0","0","0","4","","1610612745","203991","3","6","","1610612761","4e+05","0021900318"
"28","1st","41","09:01","[HOU 9-3] McLemore 3pt Shot: Made (6 PTS) Assist: Harden (1 AST)","231","83","3","0","1","1","","1610612745","203463","3","9","201935","1610612745","410000","0021900318"
"29","1st","43","08:36","[TOR 6-9] Anunoby 3pt Shot: Made (3 PTS) Assist: Siakam (1 AST)","232","0","3","0","1","1","","1610612761","1628384","6","9","1627783","1610612761","430000","0021900318"
"30","1st","45","08:24","[HOU] Capela Reverse Layup Shot: Missed","17","5","2","0","44","2","201188","1610612745","203991","6","9","","1610612745","450000","0021900318"
"31","1st","47","08:21","[HOU] Capela Rebound (Off:1 Def:1)","17","5","1","0","0","4","","1610612745","203991","6","9","","1610612745","470000","0021900318"
"32","1st","48","08:20","[HOU] McLemore 3pt Shot: Missed","239","5","3","0","1","2","","1610612745","203463","6","9","","1610612745","480000","0021900318"
"33","1st","49","08:18","[TOR] Lowry Rebound (Off:0 Def:1)","239","5","0","0","0","4","","1610612761","200768","6","9","","1610612745","490000","0021900318"
"34","1st","50","08:13","[TOR 8-9] Anunoby Running Reverse Layup Shot: Made (5 PTS) Assist: VanVleet (1 AST)","6","1","2","1","74","1","","1610612761","1628384","8","9","1627832","1610612761","5e+05","0021900318"
"35","1st","358","08:03","[HOU] Westbrook Jump Shot: Missed","109","155","2","0","1","2","1627832","1610612745","201566","8","9","","1610612745","520000","0021900318"
"36","1st","360","08:01","[HOU] Capela Rebound (Off:2 Def:1)","109","155","1","0","0","4","","1610612745","203991","8","9","","1610612745","527500","0021900318"
"37","1st","53","07:50","[HOU] Westbrook Turnover : Bad Pass (1 TO) Steal:Lowry (1 ST)","127","46","1","0","1","5","200768","1610612745","201566","8","9","","1610612745","530000","0021900318"
"38","1st","55","07:50","[HOU] Tucker Foul: Personal (1 PF) (P Fraher)","119","691","0","0","1","6","200768","1610612745","200782","8","9","","1610612761","550000","0021900318"
"39","1st","57","07:34","[HOU] Capela Foul: Personal (1 PF) (M Lindsay)","-112","63","0","0","1","6","200768","1610612745","203991","8","9","","1610612761","570000","0021900318"
"40","1st","59","07:24","[TOR] Gasol Turnover : Traveling (1 TO)","101","-36","0","0","4","5","","1610612761","201188","8","9","","1610612761","590000","0021900318"
"41","1st","60","07:14","[TOR] Gasol Foul: Shooting (1 PF) (2 FTA) (N Sago)","0","19","0","0","2","6","201566","1610612761","201188","8","9","","1610612745","6e+05","0021900318"
"42","1st","62","07:14","[HOU] Westbrook Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612745","201566","8","9","","1610612745","620000","0021900318"
"43","1st","63","07:14","[HOU] Team Rebound","0","-80","1","0","1","4","","1610612745","0","8","9","","1610612745","620001","0021900318"
"44","1st","64","07:14","[HOU 10-8] Westbrook Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612745","201566","8","10","","1610612745","640000","0021900318"
"45","1st","65","06:54","[TOR] Gasol Turnover : Lost Ball (2 TO) Steal:Harden (1 ST)","-5","45","1","0","2","5","201935","1610612761","201188","8","10","","1610612761","650000","0021900318"
"46","1st","67","06:48","[HOU 12-8] Westbrook Running Finger Roll Layup Shot: Made (3 PTS) Assist: McLemore (1 AST)","5","8","2","1","76","1","","1610612745","201566","8","12","203463","1610612745","670000","0021900318"
"47","1st","69","06:34","[TOR] Siakam Driving Layup Shot: Missed","-27","8","2","0","6","2","","1610612761","1627783","8","12","","1610612761","690000","0021900318"
"48","1st","70","06:33","[HOU] Westbrook Rebound (Off:0 Def:1)","-27","8","0","0","0","4","","1610612745","201566","8","12","","1610612761","7e+05","0021900318"
"49","1st","71","06:31","[HOU] Westbrook Turnover : Bad Pass (2 TO) Steal:VanVleet (1 ST)","-16","859","1","0","1","5","1627832","1610612745","201566","8","12","","1610612745","710000","0021900318"
"50","1st","73","06:27","[TOR] Anunoby 3pt Shot: Missed","-190","195","3","0","1","2","","1610612761","1628384","8","12","","1610612761","730000","0021900318"
"51","1st","74","06:24","[TOR] Siakam Rebound (Off:1 Def:0)","-190","195","1","0","0","4","","1610612761","1627783","8","12","","1610612761","740000","0021900318"
"52","1st","75","06:22","[TOR 10-12] Siakam Turnaround Hook Shot: Made (2 PTS)","-2","21","2","0","58","1","","1610612761","1627783","10","12","","1610612761","750000","0021900318"
"53","1st","76","06:02","[HOU] Westbrook Turnaround Jump Shot: Missed","-3","89","2","0","47","2","","1610612745","201566","10","12","","1610612745","760000","0021900318"
"54","1st","77","06:00","[TOR] Gasol Rebound (Off:0 Def:1)","-3","89","0","0","0","4","","1610612761","201188","10","12","","1610612745","770000","0021900318"
"55","1st","78","05:56","[TOR 12-12] Siakam Running Layup Shot: Made (4 PTS) Assist: VanVleet (2 AST)","4","-4","2","1","41","1","","1610612761","1627783","12","12","1627832","1610612761","780000","0021900318"
"56","1st","80","05:55","[HOU] Team Timeout : Regular","0","-80","0","0","1","9","","1610612745","1610612745","12","12","","1610612745","8e+05","0021900318"
"57","1st","81","05:55","[HOU] McLemore Substitution replaced by Rivers","0","-80","0","0","0","8","","1610612745","203463","12","12","203085","1610612745","810000","0021900318"
"58","1st","82","05:55","[HOU] Tucker Substitution replaced by House Jr.","0","-80","0","0","0","8","","1610612745","200782","12","12","1627863","1610612745","820000","0021900318"
"59","1st","85","05:55","[HOU] Team Violation : Delay Of Game (M Lindsay)","0","-80","0","0","1","7","","1610612745","0","12","12","","1610612745","850000","0021900318"
"60","1st","86","05:43","[HOU] Westbrook 3pt Shot: Missed","-63","266","3","0","1","2","","1610612745","201566","12","12","","1610612745","860000","0021900318"
"61","1st","87","05:40","[TOR] VanVleet Rebound (Off:0 Def:1)","-63","266","0","0","0","4","","1610612761","1627832","12","12","","1610612745","870000","0021900318"
