"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900333"
"2","1st","4","11:57","Jump Ball Capela vs Kaminsky (Tucker gains possession)","0","-80","0","0","0","10","1626163","1610612745","203991","0","0","200782","1610612745","60000","0021900333"
"3","1st","7","11:49","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","0","","1610612745","70000","0021900333"
"4","1st","8","11:39","[HOU] Harden 3pt Shot: Missed","232","114","3","0","80","2","","1610612745","201935","0","0","","1610612745","80000","0021900333"
"5","1st","9","11:37","[HOU] Capela Rebound (Off:1 Def:0)","232","114","1","0","0","4","","1610612745","203991","0","0","","1610612745","90000","0021900333"
"6","1st","10","11:27","[HOU] Westbrook Jump Shot: Missed","-46","70","2","0","1","2","","1610612745","201566","0","0","","1610612745","1e+05","0021900333"
"7","1st","11","11:25","[PHX] Kaminsky Rebound (Off:0 Def:1)","-46","70","0","0","0","4","","1610612756","1626163","0","0","","1610612745","110000","0021900333"
"8","1st","12","11:15","[PHX] Oubre Jr. 3pt Shot: Missed","-231","27","3","0","1","2","","1610612756","1626162","0","0","","1610612756","120000","0021900333"
"9","1st","13","11:12","[HOU] Westbrook Rebound (Off:0 Def:1)","-231","27","0","0","0","4","","1610612745","201566","0","0","","1610612756","130000","0021900333"
"10","1st","14","10:57","[HOU] Harden 3pt Shot: Missed","131","217","3","0","1","2","","1610612745","201935","0","0","","1610612745","140000","0021900333"
"11","1st","15","10:53","[HOU] House Jr. Rebound (Off:1 Def:0)","131","217","1","0","0","4","","1610612745","1627863","0","0","","1610612745","150000","0021900333"
"12","1st","16","10:52","[HOU 2-0] House Jr. Putback Layup Shot: Made (2 PTS)","-9","17","2","0","72","1","","1610612745","1627863","2","0","","1610612745","160000","0021900333"
"13","1st","17","10:31","[PHX] Rubio Driving Layup Shot: Missed","-29","30","2","0","6","2","201566","1610612756","201937","2","0","","1610612756","170000","0021900333"
"14","1st","19","10:28","[HOU] Tucker Rebound (Off:0 Def:1)","-29","30","0","0","0","4","","1610612745","200782","2","0","","1610612756","190000","0021900333"
"15","1st","20","10:16","[HOU] Westbrook 3pt Shot: Missed","-74","244","3","0","1","2","","1610612745","201566","2","0","","1610612745","2e+05","0021900333"
"16","1st","21","10:13","[PHX] Oubre Jr. Rebound (Off:0 Def:1)","-74","244","0","0","0","4","","1610612756","1626162","2","0","","1610612745","210000","0021900333"
"17","1st","22","10:08","[PHX] Booker Layup Shot: Missed","15","27","2","0","5","2","201935","1610612756","1626164","2","0","","1610612756","220000","0021900333"
"18","1st","24","10:08","[PHX] Team Rebound","15","27","1","0","0","4","","1610612756","0","2","0","","1610612756","240000","0021900333"
"19","1st","25","10:08","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","0","","1610612756","250000","0021900333"
"20","1st","26","09:58","[PHX] Oubre Jr. Floating Jump shot: Missed","-65","24","2","0","78","2","","1610612756","1626162","2","0","","1610612756","260000","0021900333"
"21","1st","27","09:56","[HOU] Westbrook Rebound (Off:0 Def:2)","-65","24","0","0","0","4","","1610612745","201566","2","0","","1610612756","270000","0021900333"
"22","1st","28","09:52","[HOU] Westbrook Pullup Jump shot: Missed","-158","123","2","1","79","2","","1610612745","201566","2","0","","1610612745","280000","0021900333"
"23","1st","29","09:48","[HOU] Capela Rebound (Off:2 Def:0)","-158","123","1","0","0","4","","1610612745","203991","2","0","","1610612745","290000","0021900333"
"24","1st","30","09:46","[HOU] Capela Hook Shot: Missed","-76","28","2","0","3","2","","1610612745","203991","2","0","","1610612745","3e+05","0021900333"
"25","1st","31","09:44","[PHX] Saric Rebound (Off:0 Def:1)","-76","28","0","0","0","4","","1610612756","203967","2","0","","1610612745","310000","0021900333"
"26","1st","32","09:34","[PHX] Booker Layup Shot: Missed","86","48","2","0","5","2","","1610612756","1626164","2","0","","1610612756","320000","0021900333"
"27","1st","33","09:34","[PHX] Saric Rebound (Off:1 Def:1)","86","48","1","0","0","4","","1610612756","203967","2","0","","1610612756","330000","0021900333"
"28","1st","34","09:27","[PHX 2-2] Saric Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612756","203967","2","2","","1610612756","340000","0021900333"
"29","1st","35","09:17","[HOU] Westbrook Turnover : Traveling (1 TO)","-157","160","0","0","4","5","","1610612745","201566","2","2","","1610612745","350000","0021900333"
"30","1st","36","09:07","[PHX 4-2] Booker Cutting Layup Shot: Made (2 PTS) Assist: Kaminsky (1 AST)","-13","11","2","0","98","1","","1610612756","1626164","2","4","1626163","1610612756","360000","0021900333"
"31","1st","38","08:52","[HOU 5-4] Westbrook 3pt Shot: Made (3 PTS) Assist: House Jr. (1 AST)","-230","30","3","0","1","1","","1610612745","201566","5","4","1627863","1610612745","380000","0021900333"
"32","1st","40","08:36","[PHX] Kaminsky 3pt Shot: Missed","-7","262","3","0","1","2","","1610612756","1626163","5","4","","1610612756","4e+05","0021900333"
"33","1st","41","08:36","[PHX] Team Rebound","-7","262","1","0","0","4","","1610612756","0","5","4","","1610612756","410000","0021900333"
"34","1st","42","08:36","[HOU] Capela Foul: Loose Ball (1 PF) (T Brown)","-1","37","0","0","3","6","203967","1610612745","203991","5","4","","1610612756","420000","0021900333"
"35","1st","44","08:22","[PHX] Team Turnover : Shot Clock Turnover","52","159","0","0","11","5","","1610612756","0","5","4","","1610612756","440000","0021900333"
"36","1st","45","08:08","[HOU 7-4] Capela Alley Oop Dunk Shot: Made (2 PTS) Assist: Westbrook (1 AST)","-15","14","2","0","52","1","","1610612745","203991","7","4","201566","1610612745","450000","0021900333"
"37","1st","47","07:54","[PHX] Rubio Fadeaway Jump Shot: Missed","-123","69","2","0","63","2","","1610612756","201937","7","4","","1610612756","470000","0021900333"
"38","1st","48","07:51","[HOU] Capela Rebound (Off:2 Def:1)","-123","69","0","0","0","4","","1610612745","203991","7","4","","1610612756","480000","0021900333"
"39","1st","49","07:45","[HOU] Harden 3pt Shot: Missed","101","255","3","1","1","2","","1610612745","201935","7","4","","1610612745","490000","0021900333"
"40","1st","50","07:42","[PHX] Booker Rebound (Off:0 Def:1)","101","255","0","0","0","4","","1610612756","1626164","7","4","","1610612745","5e+05","0021900333"
"41","1st","51","07:38","[HOU] Tucker Foul: Personal (1 PF) (J Goldenberg)","-220","35","0","0","1","6","1626164","1610612745","200782","7","4","","1610612756","510000","0021900333"
"42","1st","53","07:38","[HOU] House Jr. Foul: Loose Ball (1 PF) (J Goldenberg)","-8","369","0","0","3","6","1626164","1610612745","1627863","7","4","","1610612756","530000","0021900333"
"43","1st","55","07:29","[PHX 7-7] Saric 3pt Shot: Made (5 PTS) Assist: Rubio (1 AST)","-47","252","3","0","1","1","","1610612756","203967","7","7","201937","1610612756","550000","0021900333"
"44","1st","57","07:11","[HOU] Tucker Pullup Jump shot: Missed","96","51","2","0","79","2","","1610612745","200782","7","7","","1610612745","570000","0021900333"
"45","1st","58","07:11","[PHX] Team Rebound","96","51","0","0","0","4","","1610612756","0","7","7","","1610612745","580000","0021900333"
"46","1st","59","07:11","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","7","7","","1610612756","590000","0021900333"
"47","1st","60","06:59","[PHX 9-7] Booker Pullup Jump shot: Made (4 PTS) Assist: Saric (1 AST)","5","151","2","0","79","1","","1610612756","1626164","7","9","203967","1610612756","6e+05","0021900333"
"48","1st","61","06:47","[PHX] Oubre Jr. Violation:Kicked Ball (M Kogut)","0","-80","0","0","5","7","","1610612756","1626162","7","9","","1610612745","610000","0021900333"
"49","1st","62","06:47","[HOU] Team Timeout : Regular","0","-80","0","0","1","9","","1610612745","1610612745","7","9","","1610612745","620000","0021900333"
"50","1st","64","06:47","[HOU] House Jr. Substitution replaced by McLemore","0","-80","0","0","0","8","","1610612745","1627863","7","9","203463","1610612745","630000","0021900333"
"51","1st","66","06:38","[HOU] Capela Jump Shot: Missed","1","41","2","0","1","2","201937","1610612745","203991","7","9","","1610612745","650000","0021900333"
"52","1st","68","06:35","[PHX] Rubio Rebound (Off:0 Def:1)","1","41","0","0","0","4","","1610612756","201937","7","9","","1610612745","670000","0021900333"
"53","1st","69","06:32","[PHX 11-7] Oubre Jr. Alley Oop Dunk Shot: Made (2 PTS) Assist: Rubio (2 AST)","-1","9","2","1","52","1","","1610612756","1626162","7","11","201937","1610612756","680000","0021900333"
"54","1st","71","06:15","[HOU] Capela Turnover : 3 Second Violation (1 TO)","7","54","0","0","8","5","","1610612745","203991","7","11","","1610612745","7e+05","0021900333"
"55","1st","72","06:02","[PHX] Rubio 3pt Shot: Missed","183","171","3","0","1","2","","1610612756","201937","7","11","","1610612756","710000","0021900333"
"56","1st","73","05:57","[HOU] Capela Rebound (Off:2 Def:2)","183","171","0","0","0","4","","1610612745","203991","7","11","","1610612756","720000","0021900333"
"57","1st","74","05:51","[HOU] Harden Driving Layup Shot: Missed","-8","18","2","0","6","2","","1610612745","201935","7","11","","1610612745","730000","0021900333"
"58","1st","75","05:49","[PHX] Kaminsky Rebound (Off:0 Def:2)","-8","18","0","0","0","4","","1610612756","1626163","7","11","","1610612745","740000","0021900333"
"59","1st","76","05:45","[PHX] Rubio Turnover : Bad Pass (1 TO) Steal:Westbrook (1 ST)","-33","71","1","0","1","5","201566","1610612756","201937","7","11","","1610612756","750000","0021900333"
"60","1st","78","05:43","[PHX] Booker Foul: Shooting (1 PF) (2 FTA) (J Goldenberg)","-14","3","0","0","2","6","201935","1610612756","1626164","7","11","","1610612745","770000","0021900333"
"61","1st","80","05:43","[HOU 8-11] Harden Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612745","201935","8","11","","1610612745","790000","0021900333"
"62","1st","81","05:43","[HOU] Westbrook Substitution replaced by Hartenstein","0","-80","0","0","0","8","","1610612745","201566","8","11","1628392","1610612745","8e+05","0021900333"
"63","1st","82","05:43","[HOU] Capela Substitution replaced by Rivers","0","-80","0","0","0","8","","1610612745","203991","8","11","203085","1610612745","810000","0021900333"
"64","1st","83","05:43","[PHX] Kaminsky Substitution replaced by Bridges","0","-80","0","0","0","8","","1610612756","1626163","8","11","1628969","1610612745","820000","0021900333"
"65","1st","87","05:43","[HOU 9-11] Harden Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612745","201935","9","11","","1610612745","860000","0021900333"
