"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900356"
"2","1st","4","11:57","Jump Ball Capela vs Thompson (Tucker gains possession)","0","-80","0","0","0","10","202684","1610612745","203991","0","0","200782","1610612745","60000","0021900356"
"3","1st","7","11:47","[HOU 3-0] Tucker 3pt Shot: Made (3 PTS) Assist: Westbrook (1 AST)","237","18","3","0","1","1","","1610612745","200782","0","3","201566","1610612745","70000","0021900356"
"4","1st","9","11:27","[CLE] Love Turnover : Lost Ball (1 TO) Steal:Westbrook (1 ST)","-126","114","1","0","2","5","201566","1610612739","201567","0","3","","1610612739","90000","0021900356"
"5","1st","11","11:23","[HOU 6-0] Harden 3pt Shot: Made (3 PTS) Assist: Westbrook (2 AST)","165","247","3","1","1","1","","1610612745","201935","0","6","201566","1610612745","110000","0021900356"
"6","1st","13","11:03","[CLE 2-6] Love Jump Shot: Made (2 PTS) Assist: Osman (1 AST)","-158","29","2","0","1","1","","1610612739","201567","2","6","1626224","1610612739","130000","0021900356"
"7","1st","15","10:55","[HOU] Tucker Foul: Offensive (1 PF)","159","141","0","0","4","6","1629012","1610612745","200782","2","6","","1610612745","150000","0021900356"
"8","1st","17","10:55","[HOU] Tucker Turnover : Offensive Foul Turnover (1 TO)","159","141","0","0","37","5","","1610612745","200782","2","6","","1610612745","170000","0021900356"
"9","1st","18","10:40","[CLE 4-6] Love Step Back Jump shot: Made (4 PTS)","-207","31","2","0","80","1","","1610612739","201567","4","6","","1610612739","180000","0021900356"
"10","1st","19","10:40","[HOU] Tucker Foul: Shooting (2 PF) (1 FTA) (K Fitzgerald)","-199","19","0","0","2","6","201567","1610612745","200782","4","6","","1610612739","190000","0021900356"
"11","1st","21","10:40","[CLE] Love Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612739","201567","4","6","","1610612739","210000","0021900356"
"12","1st","22","10:37","[HOU] Capela Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","203991","4","6","","1610612739","210001","0021900356"
"13","1st","23","10:33","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","4","6","","1610612745","230000","0021900356"
"14","1st","24","10:28","[HOU] Harden Turnover : Step Out of Bounds Turnover (1 TO)","-228","34","0","0","39","5","","1610612745","201935","4","6","","1610612745","240000","0021900356"
"15","1st","25","10:20","[HOU] Westbrook Foul: Personal (1 PF) (A Smith)","-130","29","0","0","1","6","1629012","1610612745","201566","4","6","","1610612739","250000","0021900356"
"16","1st","27","10:11","[CLE] Love Jump Shot: Missed","-179","4","2","0","1","2","","1610612739","201567","4","6","","1610612739","270000","0021900356"
"17","1st","28","10:09","[HOU] Capela Rebound (Off:0 Def:2)","-179","4","0","0","0","4","","1610612745","203991","4","6","","1610612739","280000","0021900356"
"18","1st","29","10:03","[HOU] Harden Driving Layup Shot: Missed","-11","45","2","0","6","2","1626224","1610612745","201935","4","6","","1610612745","290000","0021900356"
"19","1st","31","10:00","[CLE] Thompson Rebound (Off:0 Def:1)","-11","45","0","0","0","4","","1610612739","202684","4","6","","1610612745","310000","0021900356"
"20","1st","32","09:58","[CLE 6-6] Sexton Running Layup Shot: Made (2 PTS)","-3","-9","2","1","41","1","","1610612739","1629012","6","6","","1610612739","320000","0021900356"
"21","1st","34","09:39","[HOU] Westbrook Pullup Jump shot: Missed","175","102","2","0","79","2","","1610612745","201566","6","6","","1610612745","340000","0021900356"
"22","1st","35","09:35","[CLE] Osman Rebound (Off:0 Def:1)","175","102","0","0","0","4","","1610612739","1626224","6","6","","1610612745","350000","0021900356"
"23","1st","36","09:31","[CLE] Osman Turnover : Bad Pass (1 TO)","176","153","0","0","1","5","","1610612739","1626224","6","6","","1610612739","360000","0021900356"
"24","1st","37","09:19","[HOU 9-6] Harden 3pt Shot: Made (6 PTS)","-131","233","3","0","80","1","","1610612745","201935","6","9","","1610612745","370000","0021900356"
"25","1st","38","09:03","[CLE] Osman 3pt Shot: Missed","-232","106","3","0","1","2","","1610612739","1626224","6","9","","1610612739","380000","0021900356"
"26","1st","39","09:01","[HOU] Capela Rebound (Off:0 Def:3)","-232","106","0","0","0","4","","1610612745","203991","6","9","","1610612739","390000","0021900356"
"27","1st","40","08:59","[HOU 11-6] House Jr. Running Dunk Shot: Made (2 PTS) Assist: Harden (1 AST)","-2","4","2","1","50","1","","1610612745","1627863","6","11","201935","1610612745","4e+05","0021900356"
"28","1st","42","08:55","[CLE] Garland Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-132","634","0","0","45","5","","1610612739","1629636","6","11","","1610612739","420000","0021900356"
"29","1st","43","08:42","[HOU] Tucker 3pt Shot: Missed","-238","17","3","0","1","2","","1610612745","200782","6","11","","1610612745","430000","0021900356"
"30","1st","44","08:40","[CLE] Thompson Rebound (Off:0 Def:2)","-238","17","0","0","0","4","","1610612739","202684","6","11","","1610612745","440000","0021900356"
"31","1st","45","08:33","[CLE 8-11] Garland Driving Layup Shot: Made (2 PTS)","-9","0","2","0","6","1","","1610612739","1629636","8","11","","1610612739","450000","0021900356"
"32","1st","46","08:15","[HOU] Westbrook 3pt Shot: Missed","-237","-8","3","0","1","2","","1610612745","201566","8","11","","1610612745","460000","0021900356"
"33","1st","47","08:13","[CLE] Garland Rebound (Off:0 Def:1)","-237","-8","0","0","0","4","","1610612739","1629636","8","11","","1610612745","470000","0021900356"
"34","1st","48","08:09","[CLE] Garland 3pt Shot: Missed","-157","226","3","1","79","2","","1610612739","1629636","8","11","","1610612739","480000","0021900356"
"35","1st","49","08:05","[HOU] Capela Rebound (Off:0 Def:4)","-157","226","0","0","0","4","","1610612745","203991","8","11","","1610612739","490000","0021900356"
"36","1st","50","08:04","[CLE] Love Foul: Shooting (1 PF) (2 FTA) (A Smith)","8","34","0","0","2","6","201566","1610612739","201567","8","11","","1610612745","5e+05","0021900356"
"37","1st","52","08:04","[HOU 12-8] Westbrook Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612745","201566","8","12","","1610612745","520000","0021900356"
"38","1st","53","08:04","[HOU 13-8] Westbrook Free Throw 2 of 2 (2 PTS)","0","-80","1","1","12","3","","1610612745","201566","8","13","","1610612745","530000","0021900356"
"39","1st","54","07:50","[CLE] Sexton Driving Layup Shot: Missed","13","4","2","0","6","2","203991","1610612739","1629012","8","13","","1610612739","540000","0021900356"
"40","1st","56","07:46","[HOU] Harden Rebound (Off:0 Def:1)","13","4","0","0","0","4","","1610612745","201935","8","13","","1610612739","560000","0021900356"
"41","1st","57","07:43","[HOU] Harden 3pt Shot: Missed","121","220","3","0","1","2","","1610612745","201935","8","13","","1610612745","570000","0021900356"
"42","1st","58","07:34","[HOU] Capela Rebound (Off:1 Def:4)","121","220","1","0","0","4","","1610612745","203991","8","13","","1610612745","580000","0021900356"
"43","1st","59","07:34","[HOU 15-8] Capela Putback Layup Shot: Made (2 PTS)","0","-5","2","0","72","1","","1610612745","203991","8","15","","1610612745","590000","0021900356"
"44","1st","60","07:23","[CLE 10-15] Love Turnaround Jump Shot: Made (6 PTS) Assist: Sexton (1 AST)","145","0","2","0","47","1","","1610612739","201567","10","15","1629012","1610612739","6e+05","0021900356"
"45","1st","62","07:15","[HOU] House Jr. 3pt Shot: Missed","230","13","3","0","1","2","","1610612745","1627863","10","15","","1610612745","620000","0021900356"
"46","1st","63","07:12","[CLE] Osman Rebound (Off:0 Def:2)","230","13","0","0","0","4","","1610612739","1626224","10","15","","1610612745","630000","0021900356"
"47","1st","64","07:06","[CLE 12-15] Sexton Floating Jump shot: Made (4 PTS) Assist: Osman (2 AST)","-45","45","2","0","78","1","","1610612739","1629012","12","15","1626224","1610612739","640000","0021900356"
"48","1st","66","06:44","[HOU] Harden Turnover : Bad Pass (2 TO) Steal:Love (1 ST)","116","119","1","0","1","5","201567","1610612745","201935","12","15","","1610612745","660000","0021900356"
