"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900386"
"2","1st","4","11:56","Jump Ball Capela vs Maker (Tucker gains possession)","0","-80","0","0","0","10","1627748","1610612745","203991","0","0","200782","1610612745","60000","0021900386"
"3","1st","7","11:44","[HOU] House Jr. 3pt Shot: Missed","-231","10","3","0","1","2","","1610612745","1627863","0","0","","1610612745","70000","0021900386"
"4","1st","8","11:39","[DET] Kennard Rebound (Off:0 Def:1)","-231","10","0","0","0","4","","1610612765","1628379","0","0","","1610612745","80000","0021900386"
"5","1st","9","11:27","[DET] Brown Reverse Layup Shot: Missed","9","24","2","0","44","2","203991","1610612765","1628971","0","0","","1610612765","90000","0021900386"
"6","1st","11","11:25","[HOU] Capela Rebound (Off:0 Def:1)","9","24","0","0","0","4","","1610612745","203991","0","0","","1610612765","110000","0021900386"
"7","1st","12","11:13","[HOU 2-0] Capela Dunk Shot: Made (2 PTS) Assist: Harden (1 AST)","-2","10","2","0","7","1","","1610612745","203991","2","0","201935","1610612745","120000","0021900386"
"8","1st","14","10:52","[HOU] Tucker Foul: Shooting (1 PF) (2 FTA) (J Schroeder)","23","39","0","0","2","6","1628971","1610612745","200782","2","0","","1610612765","140000","0021900386"
"9","1st","16","10:52","[DET 1-2] Brown Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612765","1628971","2","1","","1610612765","160000","0021900386"
"10","1st","17","10:52","[DET 2-2] Brown Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612765","1628971","2","2","","1610612765","170000","0021900386"
"11","1st","18","10:39","[HOU 4-2] Capela Alley Oop Dunk Shot: Made (4 PTS) Assist: Tucker (1 AST)","2","15","2","0","52","1","","1610612745","203991","4","2","200782","1610612745","180000","0021900386"
"12","1st","20","10:14","[DET] Griffin Turnaround Fadeaway Bank Jump Shot: Missed","-136","84","2","0","105","2","","1610612765","201933","4","2","","1610612765","2e+05","0021900386"
"13","1st","21","10:12","[HOU] Harden Rebound (Off:0 Def:1)","-136","84","0","0","0","4","","1610612745","201935","4","2","","1610612765","210000","0021900386"
"14","1st","22","10:08","[HOU 6-2] Harden Running Layup Shot: Made (2 PTS)","0","-2","2","1","41","1","","1610612745","201935","6","2","","1610612745","220000","0021900386"
"15","1st","23","09:56","[DET] Griffin Turnover : Lost Ball (1 TO) Steal:McLemore (1 ST)","-113","97","1","0","2","5","203463","1610612765","201933","6","2","","1610612765","230000","0021900386"
"16","1st","25","09:48","[HOU] Harden 3pt Shot: Missed","128","230","3","0","80","2","","1610612745","201935","6","2","","1610612745","250000","0021900386"
"17","1st","26","09:46","[DET] Brown Rebound (Off:0 Def:1)","128","230","0","0","0","4","","1610612765","1628971","6","2","","1610612745","260000","0021900386"
"18","1st","27","09:31","[DET 5-6] Kennard 3pt Shot: Made (3 PTS) Assist: Griffin (1 AST)","127","222","3","0","1","1","","1610612765","1628379","6","5","201933","1610612765","270000","0021900386"
"19","1st","28","09:17","[HOU 8-5] Capela Alley Oop Dunk Shot: Made (6 PTS) Assist: Harden (2 AST)","5","-11","2","0","52","1","","1610612745","203991","8","5","201935","1610612745","280000","0021900386"
"20","1st","30","08:58","[DET 7-8] Brown Driving Layup Shot: Made (4 PTS) Assist: Kennard (1 AST)","-10","9","2","0","6","1","","1610612765","1628971","8","7","1628379","1610612765","3e+05","0021900386"
"21","1st","32","08:34","[HOU] Tucker Turnover : Bad Pass (1 TO) Steal:Snell (1 ST)","75","177","1","0","1","5","203503","1610612745","200782","8","7","","1610612745","320000","0021900386"
"22","1st","34","08:29","[DET 9-8] Kennard Running Layup Shot: Made (5 PTS) Assist: Brown (1 AST)","-6","9","2","1","41","1","","1610612765","1628379","8","9","1628971","1610612765","340000","0021900386"
"23","1st","37","08:10","[HOU] House Jr. 3pt Shot: Missed","228","30","3","0","1","2","","1610612745","1627863","8","9","","1610612745","360000","0021900386"
"24","1st","38","08:10","[DET] Brown Rebound (Off:0 Def:2)","228","30","0","0","0","4","","1610612765","1628971","8","9","","1610612745","370000","0021900386"
"25","1st","39","07:51","[HOU] House Jr. Foul: Shooting (1 PF) (2 FTA) (J Schroeder)","-13","45","0","0","2","6","201933","1610612745","1627863","8","9","","1610612765","380000","0021900386"
"26","1st","41","07:51","[DET 10-8] Griffin Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612765","201933","8","10","","1610612765","4e+05","0021900386"
"27","1st","42","07:51","[DET 11-8] Griffin Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612765","201933","8","11","","1610612765","410000","0021900386"
"28","1st","43","07:41","[HOU] Harden Turnover : Lost Ball (1 TO) Steal:Brown (1 ST)","-46","119","1","0","2","5","1628971","1610612745","201935","8","11","","1610612745","420000","0021900386"
"29","1st","45","07:33","[DET 14-8] Kennard 3pt Shot: Made (8 PTS) Assist: Griffin (2 AST)","157","194","3","0","1","1","","1610612765","1628379","8","14","201933","1610612765","440000","0021900386"
"30","1st","47","07:20","[HOU] Harden 3pt Shot: Missed","13","292","3","0","1","2","","1610612745","201935","8","14","","1610612745","460000","0021900386"
"31","1st","48","07:20","[DET] Team Rebound","13","292","0","0","0","4","","1610612765","0","8","14","","1610612745","470000","0021900386"
"32","1st","49","07:20","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","8","14","","1610612765","480000","0021900386"
"33","1st","50","07:20","[HOU] Harden Technical (1 FTA) (E Malloy)","0","-80","0","0","11","6","","1610612745","201935","8","14","","1610612765","490000","0021900386"
"34","1st","51","07:20","[DET 15-8] Kennard Free Throw Technical (9 PTS)","0","-80","1","0","16","3","","1610612765","1628379","8","15","","1610612765","5e+05","0021900386"
"35","1st","52","07:10","[DET] Griffin 3pt Shot: Missed","242","18","3","0","1","2","","1610612765","201933","8","15","","1610612765","510000","0021900386"
"36","1st","53","07:06","[DET] Maker Rebound (Off:1 Def:0)","242","18","1","0","0","4","","1610612765","1627748","8","15","","1610612765","520000","0021900386"
"37","1st","54","06:58","[DET] Brown Cutting Layup Shot: Missed","-11","10","2","0","98","2","","1610612765","1628971","8","15","","1610612765","530000","0021900386"
"38","1st","55","06:56","[HOU] Tucker Rebound (Off:0 Def:1)","-11","10","0","0","0","4","","1610612745","200782","8","15","","1610612765","540000","0021900386"
"39","1st","56","06:49","[HOU 10-15] Capela Alley Oop Dunk Shot: Made (8 PTS) Assist: Harden (3 AST)","2","4","2","0","52","1","","1610612745","203991","10","15","201935","1610612745","550000","0021900386"
"40","1st","58","06:42","[DET] Griffin 3pt Shot: Missed","144","215","3","0","79","2","","1610612765","201933","10","15","","1610612765","570000","0021900386"
"41","1st","59","06:41","[HOU] Team Rebound","144","215","0","0","0","4","","1610612745","0","10","15","","1610612765","580000","0021900386"
"42","1st","60","06:41","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","10","15","","1610612745","590000","0021900386"
"43","1st","61","06:41","[HOU] Team Timeout : Regular","0","-80","0","0","1","9","","1610612745","1610612745","10","15","","1610612745","6e+05","0021900386"
