"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900396"
"2","1st","4","11:56","Jump Ball Capela vs Aldridge (Westbrook gains possession)","0","-80","0","0","0","10","200746","1610612745","203991","0","0","201566","1610612745","60000","0021900396"
"3","1st","7","11:46","[HOU 2-0] Westbrook Cutting Layup Shot: Made (2 PTS) Assist: Capela (1 AST)","-3","7","2","0","98","1","","1610612745","201566","2","0","203991","1610612745","70000","0021900396"
"4","1st","9","11:28","[SAS 2-2] Aldridge Turnaround Fadeaway shot: Made (2 PTS) Assist: DeRozan (1 AST)","-149","21","2","0","86","1","","1610612759","200746","2","2","201942","1610612759","90000","0021900396"
"5","1st","10","11:15","[HOU] Capela Turnover : Lost Ball (1 TO) Steal:Aldridge (1 ST)","-54","68","1","0","2","5","200746","1610612745","203991","2","2","","1610612745","1e+05","0021900396"
"6","1st","12","11:10","[SAS 5-2] Forbes 3pt Shot: Made (3 PTS) Assist: DeRozan (2 AST)","-175","203","3","0","1","1","","1610612759","1627854","2","5","201942","1610612759","120000","0021900396"
"7","1st","14","11:06","[HOU] Capela Turnover : Out of Bounds - Bad Pass Turnover (2 TO)","-8","761","0","0","45","5","","1610612745","203991","2","5","","1610612745","140000","0021900396"
"8","1st","13","11:06","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","5","","1610612759","145000","0021900396"
"9","1st","15","11:00","[SAS 7-2] Aldridge Jump Shot: Made (4 PTS)","120","22","2","0","1","1","","1610612759","200746","2","7","","1610612759","150000","0021900396"
"10","1st","17","10:42","[HOU] Harden Driving Layup Shot: Missed","-25","18","2","0","6","2","","1610612745","201935","2","7","","1610612745","160000","0021900396"
"11","1st","18","10:42","[HOU] Harden Rebound (Off:1 Def:0)","-25","18","1","0","0","4","","1610612745","201935","2","7","","1610612745","170000","0021900396"
"12","1st","19","10:41","[HOU] Harden Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612745","201935","2","7","","1610612745","180000","0021900396"
"13","1st","20","10:40","[SAS] Aldridge Rebound (Off:0 Def:1)","0","-5","0","0","0","4","","1610612759","200746","2","7","","1610612745","190000","0021900396"
"14","1st","21","10:32","[SAS] DeRozan Pullup Jump shot: Missed","-64","128","2","1","79","2","","1610612759","201942","2","7","","1610612759","2e+05","0021900396"
"15","1st","22","10:30","[HOU] Westbrook Rebound (Off:0 Def:1)","-62","266","0","0","0","4","","1610612745","201566","2","7","","1610612759","210000","0021900396"
"16","1st","23","10:23","[HOU] Westbrook Turnover : Bad Pass (1 TO) Steal:Forbes (1 ST)","-92","183","1","0","1","5","1627854","1610612745","201566","2","7","","1610612745","220000","0021900396"
"17","1st","25","10:19","[SAS 9-2] Lyles Running Dunk Shot: Made (2 PTS) Assist: Murray (1 AST)","4","1","2","0","50","1","","1610612759","1626168","2","9","1627749","1610612759","240000","0021900396"
"18","1st","27","10:02","[HOU] House Jr. Driving Layup Shot: Missed","1","38","2","0","6","2","","1610612745","1627863","2","9","","1610612745","260000","0021900396"
"19","1st","28","10:02","[SAS] DeRozan Rebound (Off:0 Def:1)","1","38","0","0","0","4","","1610612759","201942","2","9","","1610612745","270000","0021900396"
"20","1st","29","09:54","[HOU] House Jr. Foul: Shooting (1 PF) (2 FTA) (B Nansel)","-1","121","0","0","2","6","201942","1610612745","1627863","2","9","","1610612759","280000","0021900396"
