"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900437"
"2","1st","4","11:57","Jump Ball Baynes vs Capela (Okobo gains possession)","0","-80","0","0","0","10","203991","1610612756","203382","0","0","1629059","1610612756","60000","0021900437"
"3","1st","7","11:51","[PHX] Baynes Jump Shot: Missed","-180","-9","2","0","1","2","","1610612756","203382","0","0","","1610612756","70000","0021900437"
"4","1st","8","11:47","[HOU] Westbrook Rebound (Off:0 Def:1)","-180","-9","0","0","0","4","","1610612745","201566","0","0","","1610612756","80000","0021900437"
"5","1st","9","11:37","[HOU] Westbrook Jump Shot: Missed","8","59","2","0","1","2","","1610612745","201566","0","0","","1610612745","90000","0021900437"
"6","1st","10","11:37","[PHX] Team Rebound","8","59","0","0","0","4","","1610612756","0","0","0","","1610612745","1e+05","0021900437"
"7","1st","11","11:37","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","0","","1610612756","110000","0021900437"
"8","1st","12","11:26","[PHX 2-0] Oubre Jr. Jump Shot: Made (2 PTS) Assist: Booker (1 AST)","-152","110","2","0","1","1","","1610612756","1626162","2","0","1626164","1610612756","120000","0021900437"
"9","1st","14","10:59","[HOU 2-2] Capela Alley Oop Dunk Shot: Made (2 PTS) Assist: Harden (1 AST)","16","15","2","0","52","1","","1610612745","203991","2","2","201935","1610612745","140000","0021900437"
"10","1st","16","10:41","[PHX 4-2] Booker Driving Layup Shot: Made (2 PTS)","10","3","2","0","6","1","","1610612756","1626164","4","2","","1610612756","160000","0021900437"
"11","1st","17","10:29","[HOU 4-4] Westbrook Pullup Jump shot: Made (2 PTS)","193","34","2","0","79","1","","1610612745","201566","4","4","","1610612745","170000","0021900437"
"12","1st","18","10:13","[HOU] Westbrook Foul: Personal (1 PF) (L Holtkamp)","-11","184","0","0","1","6","1626162","1610612745","201566","4","4","","1610612756","180000","0021900437"
"13","1st","20","10:07","[PHX 7-4] Baynes 3pt Shot: Made (3 PTS) Assist: Booker (2 AST)","79","257","3","0","1","1","","1610612756","203382","7","4","1626164","1610612756","2e+05","0021900437"
"14","1st","22","09:54","[HOU 6-7] House Jr. Reverse Layup Shot: Made (2 PTS) Assist: Harden (2 AST)","13","9","2","0","44","1","","1610612745","1627863","7","6","201935","1610612745","220000","0021900437"
"15","1st","24","09:45","[PHX 9-6] Oubre Jr. Driving Dunk Shot: Made (4 PTS) Assist: Booker (3 AST)","-1","12","2","0","9","1","","1610612756","1626162","9","6","1626164","1610612756","240000","0021900437"
"16","1st","26","09:31","[HOU 8-9] Harden Driving Floating Jump Shot: Made (2 PTS)","1","25","2","0","101","1","","1610612745","201935","9","8","","1610612745","260000","0021900437"
"17","1st","27","09:11","[PHX] Saric 3pt Shot: Missed","4","252","3","0","1","2","","1610612756","203967","9","8","","1610612756","270000","0021900437"
"18","1st","28","09:08","[HOU] Harden Rebound (Off:0 Def:1)","4","252","0","0","0","4","","1610612745","201935","9","8","","1610612756","280000","0021900437"
"19","1st","29","09:03","[HOU] Westbrook Running Layup Shot: Missed","30","4","2","1","41","2","","1610612745","201566","9","8","","1610612745","290000","0021900437"
