"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900457"
"2","1st","4","11:58","Jump Ball Cauley-Stein vs Capela (Robinson III gains possession)","0","-80","0","0","0","10","203991","1610612744","1626161","0","0","203922","1610612744","60000","0021900457"
"3","1st","7","11:37","[GSW] Russell 3pt Shot: Missed","133","273","3","0","1","2","","1610612744","1626156","0","0","","1610612744","70000","0021900457"
"4","1st","8","11:35","[HOU] Capela Rebound (Off:0 Def:1)","133","273","0","0","0","4","","1610612745","203991","0","0","","1610612744","80000","0021900457"
"5","1st","9","11:23","[HOU] Westbrook Jump Shot: Missed","57","120","2","0","1","2","","1610612745","201566","0","0","","1610612745","90000","0021900457"
"6","1st","10","11:21","[GSW] Lee Rebound (Off:0 Def:1)","57","120","0","0","0","4","","1610612744","1627814","0","0","","1610612745","1e+05","0021900457"
"7","1st","11","11:06","[GSW 2-0] Robinson III Pullup Jump shot: Made (2 PTS) Assist: Green (1 AST)","201","43","2","0","79","1","","1610612744","203922","2","0","203110","1610612744","110000","0021900457"
"8","1st","13","10:40","[HOU] House Jr. Turnaround Fadeaway shot: Missed","44","133","2","0","86","2","","1610612745","1627863","2","0","","1610612745","130000","0021900457"
"9","1st","14","10:38","[GSW] Lee Rebound (Off:0 Def:2)","44","133","0","0","0","4","","1610612744","1627814","2","0","","1610612745","140000","0021900457"
"10","1st","15","10:29","[GSW 4-0] Russell Jump Shot: Made (2 PTS)","-116","142","2","0","1","1","","1610612744","1626156","4","0","","1610612744","150000","0021900457"
"11","1st","16","10:18","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","4","0","","1610612745","160000","0021900457"
"12","1st","17","10:11","[HOU] Westbrook 3pt Shot: Missed","-151","217","3","0","1","2","","1610612745","201566","4","0","","1610612745","170000","0021900457"
"13","1st","18","10:09","[GSW] Robinson III Rebound (Off:0 Def:1)","-151","217","0","0","0","4","","1610612744","203922","4","0","","1610612745","180000","0021900457"
