"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900566"
"2","1st","4","11:55","Jump Ball Adams vs Capela (Paul gains possession)","0","-80","0","0","0","10","203991","1610612760","203500","0","0","101108","1610612760","60000","0021900566"
"3","1st","7","11:35","[OKC] Adams Turnaround Hook Shot: Missed","-52","9","2","0","58","2","","1610612760","203500","0","0","","1610612760","70000","0021900566"
"4","1st","8","11:33","[HOU] Westbrook Rebound (Off:0 Def:1)","-52","9","0","0","0","4","","1610612745","201566","0","0","","1610612760","80000","0021900566"
"5","1st","9","11:26","[HOU] Westbrook Turnover : Bad Pass (1 TO) Steal:Adams (1 ST)","55","75","1","0","1","5","203500","1610612745","201566","0","0","","1610612745","90000","0021900566"
"6","1st","11","11:18","[OKC 2-0] Gilgeous-Alexander Driving Finger Roll Layup Shot: Made (2 PTS)","68","5","2","0","75","1","","1610612760","1628983","2","0","","1610612760","110000","0021900566"
"7","1st","12","11:03","[HOU] Westbrook Pullup Jump shot: Missed","35","158","2","0","79","2","","1610612745","201566","2","0","","1610612745","120000","0021900566"
"8","1st","13","11:00","[HOU] Harden Rebound (Off:1 Def:0)","35","158","1","0","0","4","","1610612745","201935","2","0","","1610612745","130000","0021900566"
"9","1st","14","10:59","[HOU 2-2] Harden Driving Layup Shot: Made (2 PTS)","-3","15","2","0","6","1","","1610612745","201935","2","2","","1610612745","140000","0021900566"
"10","1st","15","10:47","[OKC] Gilgeous-Alexander Driving Finger Roll Layup Shot: Missed","43","15","2","0","75","2","","1610612760","1628983","2","2","","1610612760","150000","0021900566"
"11","1st","16","10:45","[HOU] Capela Rebound (Off:0 Def:1)","43","15","0","0","0","4","","1610612745","203991","2","2","","1610612760","160000","0021900566"
"12","1st","17","10:31","[HOU 5-2] Tucker 3pt Shot: Made (3 PTS) Assist: Westbrook (1 AST)","-232","16","3","0","1","1","","1610612745","200782","2","5","201566","1610612745","170000","0021900566"
