"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900611"
"2","1st","4","11:57","Jump Ball Whiteside vs Capela (Anthony gains possession)","0","-80","0","0","0","10","203991","1610612757","202355","0","0","2546","1610612757","60000","0021900611"
"3","1st","7","11:49","[POR] Lillard 3pt Shot: Missed","32","280","3","0","1","2","","1610612757","203081","0","0","","1610612757","70000","0021900611"
"4","1st","8","11:47","[HOU] Tucker Rebound (Off:0 Def:1)","32","280","0","0","0","4","","1610612745","200782","0","0","","1610612757","80000","0021900611"
"5","1st","11","11:37","[HOU 3-0] Harden 3pt Shot: Made (3 PTS)","-40","257","3","0","80","1","","1610612745","201935","3","0","","1610612745","110000","0021900611"
"6","1st","12","11:20","[POR 2-3] Whiteside Cutting Layup Shot: Made (2 PTS) Assist: McCollum (1 AST)","7","18","2","0","98","1","","1610612757","202355","3","2","203468","1610612757","120000","0021900611"
"7","1st","14","11:04","[HOU] Capela Hook Shot: Missed","-6","62","2","0","3","2","","1610612745","203991","3","2","","1610612745","140000","0021900611"
"8","1st","15","11:03","[POR] Anthony Rebound (Off:0 Def:1)","-6","62","0","0","0","4","","1610612757","2546","3","2","","1610612745","150000","0021900611"
"9","1st","16","10:49","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","3","2","","1610612757","160000","0021900611"
"10","1st","17","10:46","[POR 4-3] Anthony Turnaround Jump Shot: Made (2 PTS) Assist: Bazemore (1 AST)","154","81","2","0","47","1","","1610612757","2546","3","4","203145","1610612757","170000","0021900611"
"11","1st","19","10:26","[HOU] Westbrook Driving Layup Shot: Missed","21","-1","2","0","6","2","","1610612745","201566","3","4","","1610612745","190000","0021900611"
"12","1st","20","10:23","[HOU] Capela Rebound (Off:1 Def:0)","21","-1","1","0","0","4","","1610612745","203991","3","4","","1610612745","2e+05","0021900611"
"13","1st","21","10:23","[HOU 5-4] Capela Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612745","203991","5","4","","1610612745","210000","0021900611"
"14","1st","23","10:16","[POR] Lillard Driving Layup Shot: Missed","-20","9","2","0","6","2","203991","1610612757","203081","5","4","","1610612757","220000","0021900611"
"15","1st","25","10:15","[HOU] Harden Rebound (Off:0 Def:1)","-20","9","0","0","0","4","","1610612745","201935","5","4","","1610612757","240000","0021900611"
"16","1st","26","10:10","[HOU] McLemore 3pt Shot: Missed","-228","3","3","1","1","2","","1610612745","203463","5","4","","1610612745","250000","0021900611"
"17","1st","27","10:10","[POR] Anthony Rebound (Off:0 Def:2)","-228","3","0","0","0","4","","1610612757","2546","5","4","","1610612745","260000","0021900611"
"18","1st","28","10:02","[POR] McCollum Driving Floating Jump Shot: Missed","-118","40","2","0","101","2","","1610612757","203468","5","4","","1610612757","270000","0021900611"
"19","1st","29","10:01","[POR] Team Rebound","-118","40","1","0","0","4","","1610612757","0","5","4","","1610612757","280000","0021900611"
"20","1st","30","09:52","[POR] Anthony Turnover : Lost Ball (1 TO) Steal:Tucker (1 ST)","-161","82","1","0","2","5","200782","1610612757","2546","5","4","","1610612757","290000","0021900611"
"21","1st","32","09:47","[HOU] Harden Driving Layup Shot: Missed","-50","48","2","0","6","2","203145","1610612745","201935","5","4","","1610612745","310000","0021900611"
"22","1st","34","09:46","[HOU] Harden Rebound (Off:1 Def:1)","-50","48","1","0","0","4","","1610612745","201935","5","4","","1610612745","330000","0021900611"
"23","1st","35","09:46","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","5","4","","1610612745","340000","0021900611"
"24","1st","36","09:42","[HOU 7-4] Westbrook Jump Shot: Made (2 PTS) Assist: Capela (1 AST)","-128","-1","2","0","1","1","","1610612745","201566","7","4","203991","1610612745","350000","0021900611"
"25","1st","38","09:26","[POR 7-7] Bazemore 3pt Shot: Made (3 PTS) Assist: Lillard (1 AST)","235","26","3","0","1","1","","1610612757","203145","7","7","203081","1610612757","370000","0021900611"
"26","1st","40","09:14","[HOU 9-7] Westbrook Driving Layup Shot: Made (4 PTS)","-17","9","2","0","6","1","","1610612745","201566","9","7","","1610612745","390000","0021900611"
"27","1st","41","09:04","[POR] Lillard Driving Layup Shot: Missed","-11","7","2","0","6","2","","1610612757","203081","9","7","","1610612757","4e+05","0021900611"
"28","1st","42","09:03","[HOU] Capela Rebound (Off:1 Def:1)","-11","7","0","0","0","4","","1610612745","203991","9","7","","1610612757","410000","0021900611"
"29","1st","43","08:55","[HOU] McLemore Layup Shot: Missed","-18","17","2","1","5","2","","1610612745","203463","9","7","","1610612745","420000","0021900611"
"30","1st","44","08:55","[POR] Bazemore Rebound (Off:0 Def:1)","-18","17","0","0","0","4","","1610612757","203145","9","7","","1610612745","430000","0021900611"
"31","1st","45","08:53","[POR] Bazemore Turnover : Step Out of Bounds Turnover (1 TO)","-122","879","0","0","39","5","","1610612757","203145","9","7","","1610612757","440000","0021900611"
"32","1st","46","08:41","[HOU] McLemore 3pt Shot: Missed","-165","192","3","0","1","2","","1610612745","203463","9","7","","1610612745","450000","0021900611"
"33","1st","47","08:40","[POR] Lillard Rebound (Off:0 Def:1)","-165","192","0","0","0","4","","1610612757","203081","9","7","","1610612745","460000","0021900611"
"34","1st","48","08:30","[POR 9-9] Anthony Layup Shot: Made (4 PTS) Assist: Lillard (2 AST)","11","23","2","0","5","1","","1610612757","2546","9","9","203081","1610612757","470000","0021900611"
"35","1st","50","08:30","[HOU] Harden Foul: Shooting (1 PF) (1 FTA) (N Buchert)","20","13","0","0","2","6","2546","1610612745","201935","9","9","","1610612757","490000","0021900611"
"36","1st","52","08:30","[POR 10-9] Anthony Free Throw 1 of 1 (5 PTS)","0","-80","1","0","10","3","","1610612757","2546","9","10","","1610612757","510000","0021900611"
"37","1st","54","08:24","[POR] Whiteside Foul: Defense 3 Second (1 PF) (1 FTA) (N Buchert)","0","-80","0","0","17","6","","1610612757","202355","9","10","","1610612745","530000","0021900611"
"38","1st","55","08:24","[HOU] Harden Free Throw Technical Missed","0","-80","2","0","16","3","","1610612745","201935","9","10","","1610612745","540000","0021900611"
"39","1st","56","08:24","[HOU] Team Rebound","0","-80","1","0","1","4","","1610612745","0","9","10","","1610612745","540001","0021900611"
"40","1st","57","08:15","[HOU] Capela Turnover : Lost Ball (1 TO) Steal:Lillard (1 ST)","-11","113","1","0","2","5","203081","1610612745","203991","9","10","","1610612745","560000","0021900611"
"41","1st","59","08:13","[HOU] Harden Foul: Shooting (2 PF) (2 FTA) (D Guthrie)","-2","23","0","0","2","6","203145","1610612745","201935","9","10","","1610612757","580000","0021900611"
