"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900645"
"2","1st","4","11:56","Jump Ball Adams vs Capela (Gilgeous-Alexander gains possession)","0","-80","0","0","0","10","203991","1610612760","203500","0","0","1628983","1610612760","60000","0021900645"
"3","1st","7","11:45","[OKC] Adams Turnaround Hook Shot: Missed","34","108","2","0","58","2","","1610612760","203500","0","0","","1610612760","70000","0021900645"
"4","1st","8","11:43","[HOU] McLemore Rebound (Off:0 Def:1)","34","108","0","0","0","4","","1610612745","203463","0","0","","1610612760","80000","0021900645"
"5","1st","9","11:37","[HOU] Harden 3pt Shot: Missed","225","145","3","0","80","2","","1610612745","201935","0","0","","1610612745","90000","0021900645"
"6","1st","10","11:34","[OKC] Gilgeous-Alexander Rebound (Off:0 Def:1)","225","145","0","0","0","4","","1610612760","1628983","0","0","","1610612745","1e+05","0021900645"
"7","1st","11","11:20","[OKC] Adams Hook Shot: Missed","-74","20","2","0","3","2","","1610612760","203500","0","0","","1610612760","110000","0021900645"
"8","1st","12","11:18","[HOU] McLemore Rebound (Off:0 Def:2)","-74","20","0","0","0","4","","1610612745","203463","0","0","","1610612760","120000","0021900645"
"9","1st","13","11:16","[HOU] Harden Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-239","647","0","0","45","5","","1610612745","201935","0","0","","1610612745","130000","0021900645"
"10","1st","14","10:54","[OKC 2-0] Gallinari Step Back Jump shot: Made (2 PTS)","-149","157","2","0","80","1","","1610612760","201568","0","2","","1610612760","140000","0021900645"
"11","1st","15","10:38","[HOU] Tucker 3pt Shot: Missed","-231","-23","3","0","1","2","","1610612745","200782","0","2","","1610612745","150000","0021900645"
"12","1st","16","10:36","[OKC] Paul Rebound (Off:0 Def:1)","-231","-23","0","0","0","4","","1610612760","101108","0","2","","1610612745","160000","0021900645"
"13","1st","17","10:24","[OKC] Gallinari 3pt Shot: Missed","235","133","3","0","1","2","","1610612760","201568","0","2","","1610612760","170000","0021900645"
"14","1st","18","10:24","[OKC] Team Rebound","235","133","1","0","0","4","","1610612760","0","0","2","","1610612760","180000","0021900645"
"15","1st","19","10:24","[HOU] Capela Foul: Flagrant Type 1 (1 PF) (2 FTA) (K Scott)","2","68","0","0","14","6","203500","1610612745","203991","0","2","","1610612760","190000","0021900645"
"16","1st","21","10:24","Instant Replay - Overturn Ruling","0","-80","0","0","1","18","","0","0","0","2","","1610612760","210000","0021900645"
"17","1st","22","10:24","[OKC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612760","1610612760","0","2","","1610612760","220000","0021900645"
"18","1st","23","10:24","[OKC] Adams Free Throw Flagrant 1 of 2 Missed","0","-80","2","0","18","3","","1610612760","203500","0","2","","1610612760","230000","0021900645"
"19","1st","24","10:24","[OKC] Team Rebound","0","-80","1","0","1","4","","1610612760","0","0","2","","1610612760","230001","0021900645"
"20","1st","25","10:24","[OKC] Adams Free Throw Flagrant 2 of 2 Missed","0","-80","2","0","19","3","","1610612760","203500","0","2","","1610612760","250000","0021900645"
"21","1st","26","10:24","[OKC] Team Rebound","0","-80","1","0","0","4","","1610612760","0","0","2","","1610612760","250001","0021900645"
"22","1st","27","10:24","[OKC] Adams Substitution replaced by Muscala","0","-80","0","0","0","8","","1610612760","203500","0","2","203488","1610612760","270000","0021900645"
"23","1st","29","10:18","[OKC 4-0] Gilgeous-Alexander Driving Layup Shot: Made (2 PTS)","12","-1","2","0","6","1","","1610612760","1628983","0","4","","1610612760","290000","0021900645"
"24","1st","31","09:55","[HOU 2-4] Westbrook Turnaround Fadeaway shot: Made (2 PTS)","-35","78","2","0","86","1","","1610612745","201566","2","4","","1610612745","310000","0021900645"
"25","1st","33","09:46","[OKC] Paul 3pt Shot: Missed","139","247","3","0","79","2","","1610612760","101108","2","4","","1610612760","330000","0021900645"
"26","1st","34","09:42","[HOU] Westbrook Rebound (Off:0 Def:1)","139","247","0","0","0","4","","1610612745","201566","2","4","","1610612760","340000","0021900645"
"27","1st","35","09:37","[HOU] Harden Turnover : Lost Ball (2 TO) Steal:Gilgeous-Alexander (1 ST)","21","127","1","0","2","5","1628983","1610612745","201935","2","4","","1610612745","350000","0021900645"
"28","1st","37","09:26","[OKC] Muscala 3pt Shot: Missed","-232","14","3","0","1","2","","1610612760","203488","2","4","","1610612760","370000","0021900645"
"29","1st","38","09:24","[HOU] Harden Rebound (Off:0 Def:1)","-232","14","0","0","0","4","","1610612745","201935","2","4","","1610612760","380000","0021900645"
"30","1st","39","09:18","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","4","","1610612745","390000","0021900645"
"31","1st","40","09:10","[HOU] Harden 3pt Shot: Missed","234","33","3","0","80","2","","1610612745","201935","2","4","","1610612745","4e+05","0021900645"
"32","1st","41","09:09","[OKC] Gallinari Rebound (Off:0 Def:1)","234","33","0","0","0","4","","1610612760","201568","2","4","","1610612745","410000","0021900645"
"33","1st","42","09:00","[OKC 6-2] Gallinari Driving Finger Roll Layup Shot: Made (4 PTS)","-13","8","2","0","75","1","","1610612760","201568","2","6","","1610612760","420000","0021900645"
"34","1st","43","08:48","[HOU] Tucker 3pt Shot: Missed","-228","-6","3","0","1","2","","1610612745","200782","2","6","","1610612745","430000","0021900645"
"35","1st","44","08:46","[OKC] Gilgeous-Alexander Rebound (Off:0 Def:2)","-228","-6","0","0","0","4","","1610612760","1628983","2","6","","1610612745","440000","0021900645"
"36","1st","45","08:30","[OKC 8-2] Gallinari Turnaround Fadeaway shot: Made (6 PTS)","12","118","2","0","86","1","","1610612760","201568","2","8","","1610612760","450000","0021900645"
"37","1st","46","08:10","[HOU] Westbrook Driving Layup Shot: Missed","24","3","2","0","6","2","","1610612745","201566","2","8","","1610612745","460000","0021900645"
"38","1st","47","08:09","[HOU] Capela Rebound (Off:1 Def:0)","24","3","1","0","0","4","","1610612745","203991","2","8","","1610612745","470000","0021900645"
"39","1st","48","08:09","[HOU 4-8] Capela Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612745","203991","4","8","","1610612745","480000","0021900645"
"40","1st","49","07:59","[OKC 11-4] Paul 3pt Shot: Made (3 PTS)","-118","224","3","0","1","1","","1610612760","101108","4","11","","1610612760","490000","0021900645"
"41","1st","50","07:46","[HOU 6-11] Westbrook Layup Shot: Made (4 PTS)","37","20","2","0","5","1","","1610612745","201566","6","11","","1610612745","5e+05","0021900645"
"42","1st","51","07:23","[OKC] Gallinari 3pt Shot: Missed","-102","276","3","0","80","2","","1610612760","201568","6","11","","1610612760","510000","0021900645"
"43","1st","52","07:20","[HOU] Team Rebound","-102","276","0","0","0","4","","1610612745","0","6","11","","1610612760","520000","0021900645"
"44","1st","53","07:20","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","6","11","","1610612745","530000","0021900645"
"45","1st","54","07:14","[HOU] Harden 3pt Shot: Missed","217","140","3","0","1","2","","1610612745","201935","6","11","","1610612745","540000","0021900645"
"46","1st","55","07:12","[OKC] Team Rebound","217","140","0","0","0","4","","1610612760","0","6","11","","1610612745","550000","0021900645"
"47","1st","56","07:12","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","6","11","","1610612760","560000","0021900645"
"48","1st","57","07:12","[HOU] McLemore Substitution replaced by Gordon","0","-80","0","0","0","8","","1610612745","203463","6","11","201569","1610612760","570000","0021900645"
"49","1st","59","06:59","[OKC 13-6] Gilgeous-Alexander Turnaround Fadeaway shot: Made (4 PTS)","103","115","2","0","86","1","","1610612760","1628983","6","13","","1610612760","590000","0021900645"
"50","1st","60","06:43","[HOU 8-13] Harden Cutting Layup Shot: Made (2 PTS) Assist: Westbrook (1 AST)","-5","-12","2","0","98","1","","1610612745","201935","8","13","201566","1610612745","6e+05","0021900645"
"51","1st","62","06:35","[OKC] Paul Fadeaway Jump Shot: Missed","72","115","2","0","63","2","","1610612760","101108","8","13","","1610612760","620000","0021900645"
"52","1st","63","06:34","[HOU] Westbrook Rebound (Off:0 Def:2)","72","115","0","0","0","4","","1610612745","201566","8","13","","1610612760","630000","0021900645"
"53","1st","64","06:31","[OKC] Paul Foul: Personal (1 PF) (K Cutler)","-45","35","0","0","1","6","203991","1610612760","101108","8","13","","1610612745","640000","0021900645"
"54","1st","66","06:31","[HOU] Tucker Substitution replaced by House Jr.","0","-80","0","0","0","8","","1610612745","200782","8","13","1627863","1610612745","660000","0021900645"
"55","1st","68","06:24","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","8","13","","1610612745","680000","0021900645"
"56","1st","69","06:16","[HOU] Harden Driving Floating Jump Shot: Missed","64","-2","2","0","101","2","","1610612745","201935","8","13","","1610612745","690000","0021900645"
