"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900662"
"2","1st","4","11:57","Jump Ball Grant vs Capela (Craig gains possession)","0","-80","0","0","0","10","203991","1610612743","203924","0","0","1628470","1610612743","60000","0021900662"
"3","1st","7","11:41","[DEN] Jokic Jump Shot: Missed","-3","228","2","0","1","2","","1610612743","203999","0","0","","1610612743","70000","0021900662"
"4","1st","8","11:40","[HOU] Westbrook Rebound (Off:0 Def:1)","-3","228","0","0","0","4","","1610612745","201566","0","0","","1610612743","80000","0021900662"
"5","1st","9","11:34","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","0","0","","1610612745","90000","0021900662"
"6","1st","10","11:23","[HOU 2-0] Westbrook Driving Layup Shot: Made (2 PTS)","-6","-4","2","0","6","1","","1610612745","201566","2","0","","1610612745","1e+05","0021900662"
"7","1st","11","11:08","[HOU] Capela Foul: Defense 3 Second (1 PF) (1 FTA) (J Tiven)","0","-80","0","0","17","6","","1610612745","203991","2","0","","1610612743","110000","0021900662"
"8","1st","12","11:08","[DEN] Jokic Free Throw Technical Missed","0","-80","2","0","16","3","","1610612743","203999","2","0","","1610612743","120000","0021900662"
"9","1st","13","11:08","[DEN] Team Rebound","0","-80","1","0","1","4","","1610612743","0","2","0","","1610612743","120001","0021900662"
"10","1st","14","11:03","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","0","","1610612743","140000","0021900662"
"11","1st","15","10:53","[DEN] Barton Jump Shot: Missed","-210","39","2","0","1","2","","1610612743","203115","2","0","","1610612743","150000","0021900662"
"12","1st","16","10:50","[HOU] Harden Rebound (Off:0 Def:1)","-228","35","0","0","0","4","","1610612745","201935","2","0","","1610612743","160000","0021900662"
"13","1st","17","10:47","[DEN] Craig Foul: Shooting (1 PF) (2 FTA) (K Lane)","-33","113","0","0","2","6","201935","1610612743","1628470","2","0","","1610612745","170000","0021900662"
"14","1st","19","10:47","[HOU 3-0] Harden Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612745","201935","3","0","","1610612745","190000","0021900662"
"15","1st","20","10:47","[HOU] Harden Free Throw 2 of 2 Missed","0","-80","2","1","12","3","","1610612745","201935","3","0","","1610612745","2e+05","0021900662"
"16","1st","21","10:47","[DEN] Jokic Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","203999","3","0","","1610612745","200001","0021900662"
"17","1st","22","10:39","[DEN] Barton Step Back Jump shot: Missed","1","208","2","0","80","2","","1610612743","203115","3","0","","1610612743","220000","0021900662"
"18","1st","23","10:37","[HOU] Westbrook Rebound (Off:0 Def:2)","1","208","0","0","0","4","","1610612745","201566","3","0","","1610612743","230000","0021900662"
"19","1st","24","10:31","[HOU] Westbrook Turnover : Bad Pass (1 TO) Steal:Barton (1 ST)","-12","184","1","0","1","5","203115","1610612745","201566","3","0","","1610612745","240000","0021900662"
"20","1st","26","10:22","[HOU] Westbrook Foul: Personal (1 PF) (J Tiven)","5","28","0","0","1","6","1628470","1610612745","201566","3","0","","1610612743","260000","0021900662"
"21","1st","28","10:17","[DEN 2-3] Jokic Cutting Layup Shot: Made (2 PTS) Assist: Barton (1 AST)","5","13","2","0","98","1","","1610612743","203999","3","2","203115","1610612743","280000","0021900662"
"22","1st","30","09:57","[HOU] Capela Layup Shot: Missed","-7","50","2","0","5","2","","1610612745","203991","3","2","","1610612745","3e+05","0021900662"
"23","1st","32","09:56","[DEN] Craig Rebound (Off:0 Def:1)","-7","50","0","0","0","4","","1610612743","1628470","3","2","","1610612745","320000","0021900662"
"24","1st","33","09:49","[DEN 5-3] Grant 3pt Shot: Made (3 PTS) Assist: Jokic (1 AST)","136","215","3","1","1","1","","1610612743","203924","3","5","203999","1610612743","330000","0021900662"
"25","1st","35","09:38","[HOU 5-5] Westbrook Pullup Jump shot: Made (4 PTS)","123","61","2","0","79","1","","1610612745","201566","5","5","","1610612745","350000","0021900662"
"26","1st","36","09:23","[DEN] Jokic Turnover : Out of Bounds Lost Ball Turnover (1 TO)","-78","10","0","0","40","5","","1610612743","203999","5","5","","1610612743","360000","0021900662"
"27","1st","37","09:19","[HOU] McLemore Foul: Offensive (1 PF)","95","327","0","0","4","6","203115","1610612745","203463","5","5","","1610612745","370000","0021900662"
"28","1st","39","09:19","[HOU] McLemore Turnover : Offensive Foul Turnover (1 TO)","95","327","0","0","37","5","","1610612745","203463","5","5","","1610612745","390000","0021900662"
"29","1st","40","09:09","[DEN] Craig 3pt Shot: Missed","150","218","3","0","1","2","","1610612743","1628470","5","5","","1610612743","4e+05","0021900662"
"30","1st","41","09:08","[HOU] Tucker Rebound (Off:0 Def:1)","150","218","0","0","0","4","","1610612745","200782","5","5","","1610612743","410000","0021900662"
"31","1st","42","08:56","[HOU] Capela Jump Shot: Missed","-11","85","2","0","1","2","","1610612745","203991","5","5","","1610612745","420000","0021900662"
"32","1st","43","08:55","[DEN] Craig Rebound (Off:0 Def:2)","-11","85","0","0","0","4","","1610612743","1628470","5","5","","1610612745","430000","0021900662"
"33","1st","44","08:49","[DEN 7-5] Craig Running Layup Shot: Made (2 PTS)","2","5","2","1","41","1","","1610612743","1628470","5","7","","1610612743","440000","0021900662"
"34","1st","45","08:35","[HOU] Westbrook Jump Shot: Missed","-38","74","2","0","1","2","1628470","1610612745","201566","5","7","","1610612745","450000","0021900662"
"35","1st","47","08:35","[HOU] Westbrook Rebound (Off:1 Def:2)","-38","74","1","0","0","4","","1610612745","201566","5","7","","1610612745","470000","0021900662"
