"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900722"
"2","1st","4","11:56","Jump Ball Porzingis vs Harden (Barea gains possession)","0","-80","0","0","0","10","201935","1610612742","204001","0","0","200826","1610612742","60000","0021900722"
"3","1st","7","11:32","[DAL 2-0] Barea Driving Finger Roll Layup Shot: Made (2 PTS) Assist: Hardaway Jr. (1 AST)","14","13","2","0","75","1","","1610612742","200826","0","2","203501","1610612742","70000","0021900722"
"4","1st","9","11:18","[HOU] Harden 3pt Shot: Missed","53","267","3","0","80","2","","1610612745","201935","0","2","","1610612745","90000","0021900722"
"5","1st","10","11:15","[DAL] Porzingis Rebound (Off:0 Def:1)","53","267","0","0","0","4","","1610612742","204001","0","2","","1610612745","1e+05","0021900722"
"6","1st","11","10:55","[DAL] Barea Fadeaway Jump Shot: Missed","-52","124","2","0","63","2","","1610612742","200826","0","2","","1610612742","110000","0021900722"
"7","1st","12","10:54","[HOU] Gordon Rebound (Off:0 Def:1)","-52","124","0","0","0","4","","1610612745","201569","0","2","","1610612742","120000","0021900722"
"8","1st","13","10:48","[HOU] Harden Driving Floating Jump Shot: Missed","-72","63","2","0","101","2","","1610612745","201935","0","2","","1610612745","130000","0021900722"
"9","1st","14","10:46","[HOU] Harden Rebound (Off:1 Def:0)","-72","63","1","0","0","4","","1610612745","201935","0","2","","1610612745","140000","0021900722"
"10","1st","15","10:42","[HOU] Westbrook Pullup Jump shot: Missed","-38","121","2","0","79","2","","1610612745","201566","0","2","","1610612745","150000","0021900722"
"11","1st","16","10:40","[DAL] Hardaway Jr. Rebound (Off:0 Def:1)","-38","121","0","0","0","4","","1610612742","203501","0","2","","1610612745","160000","0021900722"
"12","1st","17","10:26","[DAL 4-0] Porzingis Turnaround Fadeaway shot: Made (2 PTS) Assist: Hardaway Jr. (2 AST)","17","103","2","0","86","1","","1610612742","204001","0","4","203501","1610612742","170000","0021900722"
"13","1st","19","10:15","[HOU 3-4] Gordon 3pt Shot: Made (3 PTS) Assist: Harden (1 AST)","-234","194","3","0","80","1","","1610612745","201569","3","4","201935","1610612745","190000","0021900722"
"14","1st","21","10:02","[DAL] Hardaway Jr. 3pt Shot: Missed","-35","265","3","0","1","2","","1610612742","203501","3","4","","1610612742","210000","0021900722"
"15","1st","22","10:00","[HOU] Harden Rebound (Off:1 Def:1)","-35","265","0","0","0","4","","1610612745","201935","3","4","","1610612742","220000","0021900722"
"16","1st","23","09:55","[HOU 5-4] Gordon Driving Finger Roll Layup Shot: Made (5 PTS) Assist: Harden (2 AST)","-11","-5","2","1","75","1","","1610612745","201569","5","4","201935","1610612745","230000","0021900722"
"17","1st","25","09:40","[HOU] Tucker Foul: Shooting (1 PF) (2 FTA) (D Taylor)","-85","102","0","0","2","6","204001","1610612745","200782","5","4","","1610612742","250000","0021900722"
"18","1st","27","09:40","[DAL 5-5] Porzingis Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612742","204001","5","5","","1610612742","270000","0021900722"
"19","1st","28","09:40","[DAL 6-5] Porzingis Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612742","204001","5","6","","1610612742","280000","0021900722"
"20","1st","29","09:33","[HOU] Harden Driving Floating Jump Shot: Missed","-40","-2","2","0","101","2","1629151","1610612745","201935","5","6","","1610612745","290000","0021900722"
"21","1st","31","09:32","[HOU] Team Rebound","-40","-2","1","0","0","4","","1610612745","0","5","6","","1610612745","310000","0021900722"
