"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900738"
"2","1st","4","11:57","Jump Ball Favors vs Harden (Ball gains possession)","0","-80","0","0","0","10","201935","1610612740","202324","0","0","1628366","1610612740","60000","0021900738"
"3","1st","7","11:47","[NOP] Holiday Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-93","3","0","0","45","5","","1610612740","201950","0","0","","1610612740","70000","0021900738"
"4","1st","8","11:28","[HOU 2-0] House Jr. Cutting Layup Shot: Made (2 PTS) Assist: Harden (1 AST)","25","12","2","0","98","1","","1610612745","1627863","2","0","201935","1610612745","80000","0021900738"
"5","1st","10","11:18","[NOP] Williamson Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-206","204","0","0","45","5","","1610612740","1629627","2","0","","1610612740","1e+05","0021900738"
"6","1st","11","11:01","[HOU] Westbrook Step Back Jump shot: Missed","0","89","2","0","80","2","","1610612745","201566","2","0","","1610612745","110000","0021900738"
"7","1st","12","10:58","[NOP] Ball Rebound (Off:0 Def:1)","0","89","0","0","0","4","","1610612740","1628366","2","0","","1610612745","120000","0021900738"
"8","1st","13","10:55","[NOP 2-2] Williamson Alley Oop Dunk Shot: Made (2 PTS) Assist: Ball (1 AST)","-2","2","2","1","52","1","","1610612740","1629627","2","2","1628366","1610612740","130000","0021900738"
"9","1st","15","10:43","[HOU] Tucker Floating Jump shot: Missed","2","82","2","0","78","2","","1610612745","200782","2","2","","1610612745","150000","0021900738"
"10","1st","16","10:42","[NOP] Ingram Rebound (Off:0 Def:1)","2","82","0","0","0","4","","1610612740","1627742","2","2","","1610612745","160000","0021900738"
"11","1st","17","10:33","[NOP] Ingram Jump Shot: Missed","119","159","2","0","1","2","","1610612740","1627742","2","2","","1610612740","170000","0021900738"
"12","1st","18","10:31","[HOU] Tucker Rebound (Off:0 Def:1)","119","159","0","0","0","4","","1610612745","200782","2","2","","1610612740","180000","0021900738"
