"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900752"
"2","1st","4","11:55","Jump Ball Zeller vs Harden (Graham gains possession)","0","-80","0","0","0","10","201935","1610612766","203469","0","0","1628984","1610612766","60000","0021900752"
"3","1st","7","11:34","[CHA 2-0] Bridges Step Back Jump shot: Made (2 PTS)","-165","135","2","0","80","1","","1610612766","1628970","0","2","","1610612766","70000","0021900752"
"4","1st","8","11:17","[HOU 2-2] Gordon Driving Layup Shot: Made (2 PTS) Assist: Harden (1 AST)","14","-10","2","0","6","1","","1610612745","201569","2","2","201935","1610612745","80000","0021900752"
"5","1st","10","11:17","[CHA] Zeller Foul: Shooting (1 PF) (1 FTA) (T Maddox)","14","-10","0","0","2","6","201569","1610612766","203469","2","2","","1610612745","1e+05","0021900752"
"6","1st","12","11:17","[HOU] Gordon Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612745","201569","2","2","","1610612745","120000","0021900752"
"7","1st","13","11:17","[CHA] Bridges Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612766","1628970","2","2","","1610612745","120001","0021900752"
"8","1st","14","10:55","[CHA] Bridges 3pt Shot: Missed","232","35","3","0","1","2","","1610612766","1628970","2","2","","1610612766","140000","0021900752"
"9","1st","15","10:52","[CHA] Bridges Rebound (Off:1 Def:1)","232","35","1","0","0","4","","1610612766","1628970","2","2","","1610612766","150000","0021900752"
"10","1st","16","10:45","[CHA 4-2] Bridges Alley Oop Dunk Shot: Made (4 PTS) Assist: Graham (1 AST)","-5","8","2","0","52","1","","1610612766","1628970","2","4","1628984","1610612766","160000","0021900752"
"11","1st","18","10:35","[HOU] Harden Driving Floating Jump Shot: Missed","-47","92","2","0","101","2","","1610612745","201935","2","4","","1610612745","180000","0021900752"
"12","1st","19","10:33","[CHA] Martin Rebound (Off:0 Def:1)","-47","92","0","0","0","4","","1610612766","1628998","2","4","","1610612745","190000","0021900752"
"13","1st","20","10:27","[CHA 7-2] Rozier 3pt Shot: Made (3 PTS) Assist: Martin (1 AST)","218","165","3","1","1","1","","1610612766","1626179","2","7","1628998","1610612766","2e+05","0021900752"
"14","1st","22","10:09","[HOU] Gordon 3pt Shot: Missed","-213","145","3","0","1","2","","1610612745","201569","2","7","","1610612745","220000","0021900752"
"15","1st","23","10:07","[CHA] Zeller Rebound (Off:0 Def:1)","-213","145","0","0","0","4","","1610612766","203469","2","7","","1610612745","230000","0021900752"
"16","1st","24","09:58","[CHA 10-2] Rozier 3pt Shot: Made (6 PTS) Assist: Graham (2 AST)","-76","259","3","0","80","1","","1610612766","1626179","2","10","1628984","1610612766","240000","0021900752"
"17","1st","26","09:45","[HOU 5-10] House Jr. 3pt Shot: Made (3 PTS) Assist: McLemore (1 AST)","-169","205","3","0","1","1","","1610612745","1627863","5","10","203463","1610612745","260000","0021900752"
"18","1st","28","09:24","[CHA] Rozier 3pt Shot: Missed","-172","204","3","0","1","2","","1610612766","1626179","5","10","","1610612766","280000","0021900752"
"19","1st","29","09:21","[HOU] Gordon Rebound (Off:0 Def:1)","-172","204","0","0","0","4","","1610612745","201569","5","10","","1610612766","290000","0021900752"
"20","1st","30","09:07","[HOU] Harden Turnover : Lost Ball (1 TO) Steal:Zeller (1 ST)","0","32","1","0","2","5","203469","1610612745","201935","5","10","","1610612745","3e+05","0021900752"
"21","1st","32","08:51","[CHA] Graham 3pt Shot: Missed","-102","276","3","0","1","2","","1610612766","1628984","5","10","","1610612766","320000","0021900752"
"22","1st","33","08:48","[CHA] Bridges Rebound (Off:2 Def:1)","-102","276","1","0","0","4","","1610612766","1628970","5","10","","1610612766","330000","0021900752"
"23","1st","34","08:42","[HOU] McLemore Foul: Shooting (1 PF) (2 FTA) (T Maddox)","-75","117","0","0","2","6","1626179","1610612745","203463","5","10","","1610612766","340000","0021900752"
"24","1st","36","08:42","[CHA 11-5] Rozier Free Throw 1 of 2 (7 PTS)","0","-80","1","0","11","3","","1610612766","1626179","5","11","","1610612766","360000","0021900752"
"25","1st","37","08:42","[CHA 12-5] Rozier Free Throw 2 of 2 (8 PTS)","0","-80","1","0","12","3","","1610612766","1626179","5","12","","1610612766","370000","0021900752"
"26","1st","38","08:39","[HOU] Harden Turnover : Bad Pass (2 TO) Steal:Bridges (1 ST)","70","227","1","0","1","5","1628970","1610612745","201935","5","12","","1610612745","380000","0021900752"
"27","1st","40","08:36","[HOU] Tucker Foul: Personal (1 PF) (S Corbin)","30","87","0","0","1","6","203469","1610612745","200782","5","12","","1610612766","4e+05","0021900752"
"28","1st","42","08:25","[CHA] Zeller Turnaround Jump Shot: Missed","43","107","2","0","47","2","","1610612766","203469","5","12","","1610612766","420000","0021900752"
"29","1st","43","08:22","[CHA] Bridges Rebound (Off:3 Def:1)","43","107","1","0","0","4","","1610612766","1628970","5","12","","1610612766","430000","0021900752"
"30","1st","44","08:17","[CHA 14-5] Zeller Finger Roll Layup Shot: Made (2 PTS) Assist: Graham (3 AST)","0","24","2","0","71","1","","1610612766","203469","5","14","1628984","1610612766","440000","0021900752"
"31","1st","46","08:17","[HOU] Harden Foul: Shooting (1 PF) (1 FTA) (C Washington)","0","24","0","0","2","6","203469","1610612745","201935","5","14","","1610612766","460000","0021900752"
"32","1st","48","08:17","[CHA 15-5] Zeller Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612766","203469","5","15","","1610612766","480000","0021900752"
"33","1st","49","08:05","[HOU] McLemore 3pt Shot: Missed","174","173","3","0","1","2","","1610612745","203463","5","15","","1610612745","490000","0021900752"
"34","1st","50","08:03","[CHA] Bridges Rebound (Off:3 Def:2)","174","173","0","0","0","4","","1610612766","1628970","5","15","","1610612745","5e+05","0021900752"
"35","1st","51","07:58","[CHA 18-5] Graham 3pt Shot: Made (3 PTS)","-13","266","3","1","79","1","","1610612766","1628984","5","18","","1610612766","510000","0021900752"
"36","1st","52","07:58","[HOU] Team Timeout : Regular","0","-80","0","0","1","9","","1610612745","1610612745","5","18","","1610612745","520000","0021900752"
"37","1st","53","07:44","[CHA] Martin Foul: Shooting (1 PF) (2 FTA) (C Washington)","21","20","0","0","2","6","201935","1610612766","1628998","5","18","","1610612745","530000","0021900752"
"38","1st","55","07:44","[HOU 6-18] Harden Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612745","201935","6","18","","1610612745","550000","0021900752"
"39","1st","56","07:44","[HOU 7-18] Harden Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612745","201935","7","18","","1610612745","560000","0021900752"
"40","1st","57","07:28","[CHA] Martin 3pt Shot: Missed","-231","60","3","0","1","2","","1610612766","1628998","7","18","","1610612766","570000","0021900752"
"41","1st","58","07:26","[HOU] Harden Rebound (Off:0 Def:1)","-231","60","0","0","0","4","","1610612745","201935","7","18","","1610612766","580000","0021900752"
"42","1st","59","07:20","[HOU 10-18] Harden 3pt Shot: Made (5 PTS)","-103","247","3","0","80","1","","1610612745","201935","10","18","","1610612745","590000","0021900752"
"43","1st","60","07:00","[CHA] Zeller Turnaround Jump Shot: Missed","-25","-3","2","0","47","2","201569","1610612766","203469","10","18","","1610612766","6e+05","0021900752"
"44","1st","61","06:59","[CHA] Bridges Rebound (Off:4 Def:2)","-25","-3","1","0","0","4","","1610612766","1628970","10","18","","1610612766","610000","0021900752"
"45","1st","62","06:59","[CHA 20-10] Bridges Tip Layup Shot: Made (6 PTS)","0","-5","2","0","97","1","","1610612766","1628970","10","20","","1610612766","620000","0021900752"
"46","1st","63","06:49","[HOU] House Jr. 3pt Shot: Missed","232","-5","3","0","1","2","","1610612745","1627863","10","20","","1610612745","630000","0021900752"
"47","1st","64","06:47","[CHA] Zeller Rebound (Off:0 Def:2)","232","-5","0","0","0","4","","1610612766","203469","10","20","","1610612745","640000","0021900752"
"48","1st","65","06:35","[CHA] Graham Turnover : Bad Pass (1 TO) Steal:Harden (1 ST)","56","219","1","0","1","5","201935","1610612766","1628984","10","20","","1610612766","650000","0021900752"
"49","1st","67","06:31","[HOU 12-20] McLemore Running Layup Shot: Made (2 PTS) Assist: Harden (2 AST)","10","11","2","1","41","1","","1610612745","203463","12","20","201935","1610612745","670000","0021900752"
"50","1st","69","06:11","[CHA] Zeller Turnover : Bad Pass (1 TO) Steal:Harden (2 ST)","60","228","1","0","1","5","201935","1610612766","203469","12","20","","1610612766","690000","0021900752"
"51","1st","72","06:08","[HOU 14-20] Harden Running Layup Shot: Made (7 PTS)","16","-1","2","1","41","1","","1610612745","201935","14","20","","1610612745","710000","0021900752"
"52","1st","73","06:08","[CHA] Bridges Violation:Defensive Goaltending (S Corbin)","0","-80","0","0","2","7","","1610612766","1628970","14","20","","1610612745","720000","0021900752"
"53","1st","74","06:08","[CHA] Team Timeout : Regular","0","-80","0","0","1","9","","1610612766","1610612766","14","20","","1610612766","730000","0021900752"
"54","1st","75","06:08","[HOU] Gordon Substitution replaced by Rivers","0","-80","0","0","0","8","","1610612745","201569","14","20","203085","1610612766","740000","0021900752"
"55","1st","76","06:08","[CHA] Zeller Substitution replaced by Hernangomez","0","-80","0","0","0","8","","1610612766","203469","14","20","1626195","1610612766","750000","0021900752"
"56","1st","77","06:08","[CHA] Graham Substitution replaced by Monk","0","-80","0","0","0","8","","1610612766","1628984","14","20","1628370","1610612766","760000","0021900752"
"57","1st","81","05:47","[CHA] Bridges 3pt Shot: Missed","150","239","3","0","80","2","","1610612766","1628970","14","20","","1610612766","8e+05","0021900752"
"58","1st","82","05:44","[CHA] Hernangomez Rebound (Off:1 Def:0)","150","239","1","0","0","4","","1610612766","1626195","14","20","","1610612766","810000","0021900752"
"59","1st","83","05:34","[CHA 22-14] Rozier Driving Layup Shot: Made (10 PTS)","9","5","2","0","6","1","","1610612766","1626179","14","22","","1610612766","820000","0021900752"
"60","1st","84","05:34","[HOU] Harden Foul: Shooting (2 PF) (1 FTA) (C Washington)","9","5","0","0","2","6","1626179","1610612745","201935","14","22","","1610612766","830000","0021900752"
"61","1st","86","05:34","[HOU] Tucker Substitution replaced by Sefolosha","0","-80","0","0","0","8","","1610612745","200782","14","22","200757","1610612766","850000","0021900752"
"62","1st","88","05:34","[CHA 23-14] Rozier Free Throw 1 of 1 (11 PTS)","0","-80","1","0","10","3","","1610612766","1626179","14","23","","1610612766","870000","0021900752"
"63","1st","89","05:19","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","14","23","","1610612745","880000","0021900752"
"64","1st","90","05:12","[HOU] Harden 3pt Shot: Missed","-155","224","3","0","80","2","","1610612745","201935","14","23","","1610612745","890000","0021900752"
"65","1st","91","05:09","[CHA] Bridges Rebound (Off:4 Def:3)","-155","224","0","0","0","4","","1610612766","1628970","14","23","","1610612745","9e+05","0021900752"
"66","1st","92","04:52","[HOU] Sefolosha Foul: Personal (1 PF) (2 FTA) (C Washington)","127","175","1","0","1","6","1626195","1610612745","200757","14","23","","1610612766","910000","0021900752"
"67","1st","94","04:52","[CHA 24-14] Hernangomez Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612766","1626195","14","24","","1610612766","930000","0021900752"
"68","1st","95","04:52","[HOU] McLemore Substitution replaced by Hartenstein","0","-80","0","0","0","8","","1610612745","203463","14","24","1628392","1610612766","940000","0021900752"
"69","1st","97","04:52","[CHA 25-14] Hernangomez Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612766","1626195","14","25","","1610612766","960000","0021900752"
"70","1st","98","04:49","[HOU] Harden Turnover : Out of Bounds - Bad Pass Turnover (3 TO)","-231","497","0","0","45","5","","1610612745","201935","14","25","","1610612745","970000","0021900752"
"71","1st","99","04:42","[CHA] Hernangomez Floating Jump shot: Missed","58","15","2","0","78","2","","1610612766","1626195","14","25","","1610612766","980000","0021900752"
"72","1st","100","04:40","[CHA] Hernangomez Rebound (Off:2 Def:0)","58","15","1","0","0","4","","1610612766","1626195","14","25","","1610612766","990000","0021900752"
"73","1st","101","04:40","[CHA] Hernangomez Tip Layup Shot: Missed","0","-5","2","0","97","2","","1610612766","1626195","14","25","","1610612766","1e+06","0021900752"
"74","1st","102","04:38","[HOU] Harden Rebound (Off:0 Def:2)","0","-5","0","0","0","4","","1610612745","201935","14","25","","1610612766","1010000","0021900752"
"75","1st","103","04:29","[HOU] Hartenstein Cutting Layup Shot: Missed","16","-6","2","0","98","2","","1610612745","1628392","14","25","","1610612745","1020000","0021900752"
"76","1st","104","04:26","[CHA] Martin Rebound (Off:0 Def:2)","16","-6","0","0","0","4","","1610612766","1628998","14","25","","1610612745","1030000","0021900752"
