"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900768"
"2","1st","4","11:57","Jump Ball McGee vs Harden (Davis gains possession)","0","-80","0","0","0","10","201935","1610612747","201580","0","0","203076","1610612747","60000","0021900768"
"3","1st","7","11:45","[LAL] Green Turnover : Step Out of Bounds Turnover (1 TO)","240","98","0","0","39","5","","1610612747","201980","0","0","","1610612747","70000","0021900768"
"4","1st","8","11:24","[HOU] Gordon Driving Finger Roll Layup Shot: Missed","-5","40","2","0","75","2","","1610612745","201569","0","0","","1610612745","80000","0021900768"
"5","1st","9","11:22","[LAL] Davis Rebound (Off:0 Def:1)","-5","40","0","0","0","4","","1610612747","203076","0","0","","1610612745","90000","0021900768"
"6","1st","10","11:18","[LAL] McGee Running Layup Shot: Missed","3","41","2","1","41","2","","1610612747","201580","0","0","","1610612747","1e+05","0021900768"
"7","1st","11","11:16","[HOU] Harden Rebound (Off:0 Def:1)","3","41","0","0","0","4","","1610612745","201935","0","0","","1610612747","110000","0021900768"
"8","1st","12","11:10","[HOU 2-0] Harden Running Finger Roll Layup Shot: Made (2 PTS)","5","21","2","1","76","1","","1610612745","201935","0","2","","1610612745","120000","0021900768"
"9","1st","13","10:52","[LAL] Bradley Reverse Layup Shot: Missed","-8","29","2","0","44","2","","1610612747","202340","0","2","","1610612747","130000","0021900768"
"10","1st","14","10:51","[HOU] House Jr. Rebound (Off:0 Def:1)","-8","29","0","0","0","4","","1610612745","1627863","0","2","","1610612747","140000","0021900768"
"11","1st","15","10:45","[HOU] Westbrook Pullup Jump shot: Missed","-137","143","2","0","79","2","","1610612745","201566","0","2","","1610612745","150000","0021900768"
"12","1st","16","10:42","[LAL] McGee Rebound (Off:0 Def:1)","-137","143","0","0","0","4","","1610612747","201580","0","2","","1610612745","160000","0021900768"
"13","1st","17","10:34","[LAL] Davis Alley Oop Layup shot: Missed","-22","5","2","0","43","2","","1610612747","203076","0","2","","1610612747","170000","0021900768"
"14","1st","18","10:32","[HOU] Tucker Rebound (Off:0 Def:1)","-22","5","0","0","0","4","","1610612745","200782","0","2","","1610612747","180000","0021900768"
