"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900790"
"2","1st","4","11:57","Jump Ball Gobert vs Covington (Mitchell gains possession)","0","-80","0","0","0","10","203496","1610612762","203497","0","0","1628378","1610612762","60000","0021900790"
"3","1st","7","11:41","[UTA 3-0] Mitchell 3pt Shot: Made (3 PTS) Assist: Conley (1 AST)","-231","-6","3","0","1","1","","1610612762","1628378","0","3","201144","1610612762","70000","0021900790"
"4","1st","9","11:18","[HOU] Westbrook Pullup Jump shot: Missed","94","76","2","0","79","2","","1610612745","201566","0","3","","1610612745","90000","0021900790"
"5","1st","10","11:16","[UTA] Gobert Rebound (Off:0 Def:1)","94","76","0","0","0","4","","1610612762","203497","0","3","","1610612745","1e+05","0021900790"
"6","1st","11","11:01","[UTA] Mitchell 3pt Shot: Missed","-128","225","3","0","79","2","","1610612762","1628378","0","3","","1610612762","110000","0021900790"
"7","1st","12","11:00","[HOU] Harden Rebound (Off:0 Def:1)","-128","225","0","0","0","4","","1610612745","201935","0","3","","1610612762","120000","0021900790"
"8","1st","13","10:54","[HOU 2-3] Harden Running Layup Shot: Made (2 PTS)","6","14","2","1","41","1","","1610612745","201935","2","3","","1610612745","130000","0021900790"
"9","1st","14","10:30","[UTA] Bogdanovic Turnover : Bad Pass (1 TO) Steal:Harden (1 ST)","24","63","1","0","1","5","201935","1610612762","202711","2","3","","1610612762","140000","0021900790"
"10","1st","16","10:25","[HOU] Harden Turnover : Bad Pass (1 TO) Steal:Gobert (1 ST)","68","217","1","0","1","5","203497","1610612745","201935","2","3","","1610612745","160000","0021900790"
"11","1st","18","10:20","[UTA] Conley Jump Shot: Missed","207","74","2","1","1","2","","1610612762","201144","2","3","","1610612762","180000","0021900790"
"12","1st","19","10:19","[HOU] Westbrook Rebound (Off:0 Def:1)","207","74","0","0","0","4","","1610612745","201566","2","3","","1610612762","190000","0021900790"
"13","1st","20","10:08","[HOU] Westbrook Driving Finger Roll Layup Shot: Missed","8","14","2","0","75","2","","1610612745","201566","2","3","","1610612745","2e+05","0021900790"
"14","1st","22","10:07","[UTA] Conley Rebound (Off:0 Def:1)","8","14","0","0","0","4","","1610612762","201144","2","3","","1610612745","220000","0021900790"
"15","1st","23","09:57","[UTA 5-2] Gobert Alley Oop Dunk Shot: Made (2 PTS) Assist: Conley (2 AST)","-7","-6","2","0","52","1","","1610612762","203497","2","5","201144","1610612762","230000","0021900790"
"16","1st","25","09:36","[HOU] Westbrook Pullup Jump shot: Missed","-138","118","2","0","79","2","","1610612745","201566","2","5","","1610612745","250000","0021900790"
"17","1st","26","09:34","[UTA] Team Rebound","-138","118","0","0","0","4","","1610612762","0","2","5","","1610612745","260000","0021900790"
"18","1st","27","09:34","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","5","","1610612762","270000","0021900790"
"19","1st","28","09:21","[UTA 7-2] Gobert Alley Oop Layup shot: Made (4 PTS) Assist: Ingles (1 AST)","-5","5","2","0","43","1","","1610612762","203497","2","7","204060","1610612762","280000","0021900790"
"20","1st","30","08:58","[HOU 5-7] Westbrook 3pt Shot: Made (3 PTS) Assist: Harden (1 AST)","237","28","3","0","1","1","","1610612745","201566","5","7","201935","1610612745","3e+05","0021900790"
"21","1st","32","08:28","[HOU] Covington Foul: Personal (1 PF) (S Wright)","26","180","0","0","1","6","202711","1610612745","203496","5","7","","1610612762","320000","0021900790"
"22","1st","34","08:18","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","5","7","","1610612762","340000","0021900790"
"23","1st","35","08:17","[HOU] Tucker Foul: Personal (1 PF) (J Orr)","-28","73","0","0","1","6","203497","1610612745","200782","5","7","","1610612762","350000","0021900790"
"24","1st","37","08:07","[UTA] Conley Turnover : Bad Pass (1 TO) Steal:Covington (1 ST)","-19","47","1","0","1","5","203496","1610612762","201144","5","7","","1610612762","370000","0021900790"
"25","1st","39","08:03","[HOU] Harden 3pt Shot: Missed","-57","267","3","0","80","2","","1610612745","201935","5","7","","1610612745","390000","0021900790"
"26","1st","40","08:03","[UTA] Gobert Rebound (Off:0 Def:2)","-57","267","0","0","0","4","","1610612762","203497","5","7","","1610612745","4e+05","0021900790"
"27","1st","41","07:48","[UTA] Gobert Turnaround Jump Shot: Missed","-117","12","2","0","47","2","","1610612762","203497","5","7","","1610612762","410000","0021900790"
"28","1st","42","07:47","[HOU] House Jr. Rebound (Off:0 Def:1)","-117","12","0","0","0","4","","1610612745","1627863","5","7","","1610612762","420000","0021900790"
"29","1st","43","07:23","[HOU] Team Turnover : Shot Clock Turnover","-25","155","0","0","11","5","","1610612745","0","5","7","","1610612745","430000","0021900790"
"30","1st","44","07:06","[UTA 9-5] Gobert Dunk Shot: Made (6 PTS)","2","9","2","0","7","1","","1610612762","203497","5","9","","1610612762","440000","0021900790"
"31","1st","45","06:57","[HOU 7-9] Westbrook Pullup Jump shot: Made (5 PTS)","-79","92","2","0","79","1","","1610612745","201566","7","9","","1610612745","450000","0021900790"
"32","1st","46","06:40","[UTA 12-7] Ingles 3pt Shot: Made (3 PTS) Assist: Mitchell (1 AST)","226","75","3","0","1","1","","1610612762","204060","7","12","1628378","1610612762","460000","0021900790"
"33","1st","48","06:25","[HOU 9-12] Westbrook Pullup Jump shot: Made (7 PTS)","-119","61","2","0","79","1","","1610612745","201566","9","12","","1610612745","480000","0021900790"
"34","1st","49","06:07","[UTA] Bogdanovic 3pt Shot: Missed","-239","12","3","0","79","2","","1610612762","202711","9","12","","1610612762","490000","0021900790"
"35","1st","50","06:05","[HOU] Westbrook Rebound (Off:0 Def:2)","-239","12","0","0","0","4","","1610612745","201566","9","12","","1610612762","5e+05","0021900790"
"36","1st","51","05:59","[HOU 11-12] Harden Driving Finger Roll Layup Shot: Made (4 PTS)","5","7","2","1","75","1","","1610612745","201935","11","12","","1610612745","510000","0021900790"
"37","1st","52","05:58","[UTA] Team Timeout : Regular","0","-80","0","0","1","9","","1610612762","1610612762","11","12","","1610612762","520000","0021900790"
"38","1st","53","05:58","[HOU] House Jr. Substitution replaced by McLemore","0","-80","0","0","0","8","","1610612745","1627863","11","12","203463","1610612762","530000","0021900790"
"39","1st","54","05:58","[UTA] Ingles Substitution replaced by O'Neale","0","-80","0","0","0","8","","1610612762","204060","11","12","1626220","1610612762","540000","0021900790"
"40","1st","55","05:58","[UTA] Conley Substitution replaced by Clarkson","0","-80","0","0","0","8","","1610612762","201144","11","12","203903","1610612762","550000","0021900790"
"41","1st","59","05:51","[UTA] Mitchell Turnaround Jump Shot: Missed","11","95","2","0","47","2","","1610612762","1628378","11","12","","1610612762","590000","0021900790"
"42","1st","60","05:50","[HOU] McLemore Rebound (Off:0 Def:1)","11","95","0","0","0","4","","1610612745","203463","11","12","","1610612762","6e+05","0021900790"
"43","1st","61","05:40","[HOU 13-12] Westbrook Cutting Layup Shot: Made (9 PTS) Assist: Harden (2 AST)","-2","-1","2","0","98","1","","1610612745","201566","13","12","201935","1610612745","610000","0021900790"
"44","1st","63","05:39","[UTA] Mitchell Turnover : Traveling (1 TO)","187","722","0","0","4","5","","1610612762","1628378","13","12","","1610612762","630000","0021900790"
"45","1st","64","05:32","[HOU 16-12] McLemore 3pt Shot: Made (3 PTS) Assist: Tucker (1 AST)","142","212","3","0","1","1","","1610612745","203463","16","12","200782","1610612745","640000","0021900790"
"46","1st","66","05:18","[UTA] Gobert Turnover : Bad Pass (1 TO) Steal:Covington (2 ST)","60","119","1","0","1","5","203496","1610612762","203497","16","12","","1610612762","660000","0021900790"
"47","1st","68","05:10","[HOU 19-12] Harden 3pt Shot: Made (7 PTS)","68","277","3","0","1","1","","1610612745","201935","19","12","","1610612745","680000","0021900790"
"48","1st","69","04:51","[UTA] Clarkson 3pt Shot: Missed","-147","220","3","0","1","2","","1610612762","203903","19","12","","1610612762","690000","0021900790"
"49","1st","70","04:48","[UTA] Gobert Rebound (Off:1 Def:2)","-147","220","1","0","0","4","","1610612762","203497","19","12","","1610612762","7e+05","0021900790"
"50","1st","71","04:47","[UTA 15-19] Mitchell 3pt Shot: Made (6 PTS) Assist: Bogdanovic (1 AST)","187","159","3","0","1","1","","1610612762","1628378","19","15","202711","1610612762","710000","0021900790"
"51","1st","73","04:38","[HOU] Westbrook Foul: Offensive (1 PF)","-145","251","0","0","4","6","1626220","1610612745","201566","19","15","","1610612745","730000","0021900790"
"52","1st","75","04:38","[HOU] Westbrook Turnover : Offensive Foul Turnover (1 TO)","-145","251","0","0","37","5","","1610612745","201566","19","15","","1610612745","750000","0021900790"
"53","1st","76","04:38","[HOU] Westbrook Substitution replaced by Rivers","0","-80","0","0","0","8","","1610612745","201566","19","15","203085","1610612762","760000","0021900790"
"54","1st","78","04:21","[UTA 18-19] Mitchell 3pt Shot: Made (9 PTS) Assist: Clarkson (1 AST)","-96","240","3","0","1","1","","1610612762","1628378","19","18","203903","1610612762","780000","0021900790"
"55","1st","80","04:09","[HOU 22-18] Tucker 3pt Shot: Made (3 PTS) Assist: McLemore (1 AST)","-231","20","3","0","1","1","","1610612745","200782","22","18","203463","1610612745","8e+05","0021900790"
"56","1st","82","03:52","[UTA] Bogdanovic Driving Layup Shot: Missed","-38","24","2","0","6","2","201935","1610612762","202711","22","18","","1610612762","820000","0021900790"
"57","1st","84","03:52","[HOU] Team Rebound","-38","24","0","0","0","4","","1610612745","0","22","18","","1610612762","840000","0021900790"
"58","1st","85","03:52","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","22","18","","1610612745","850000","0021900790"
"59","1st","86","03:52","[HOU] Tucker Substitution replaced by Sefolosha","0","-80","0","0","0","8","","1610612745","200782","22","18","200757","1610612745","860000","0021900790"
"60","1st","88","03:39","[HOU] Harden 3pt Shot: Missed","95","247","3","0","80","2","","1610612745","201935","22","18","","1610612745","880000","0021900790"
"61","1st","89","03:35","[UTA] Mitchell Rebound (Off:0 Def:1)","95","247","0","0","0","4","","1610612762","1628378","22","18","","1610612745","890000","0021900790"
"62","1st","90","03:30","[UTA] O'Neale 3pt Shot: Missed","-231","3","3","1","1","2","","1610612762","1626220","22","18","","1610612762","9e+05","0021900790"
"63","1st","91","03:27","[HOU] Harden Rebound (Off:0 Def:2)","-231","3","0","0","0","4","","1610612745","201935","22","18","","1610612762","910000","0021900790"
"64","1st","92","03:18","[HOU 25-18] McLemore 3pt Shot: Made (6 PTS) Assist: Harden (3 AST)","-133","230","3","0","1","1","","1610612745","203463","25","18","201935","1610612745","920000","0021900790"
"65","1st","94","03:00","[UTA] Bogdanovic Jump Shot: Missed","20","90","2","0","1","2","203496","1610612762","202711","25","18","","1610612762","940000","0021900790"
"66","1st","96","02:58","[HOU] McLemore Rebound (Off:0 Def:2)","20","90","0","0","0","4","","1610612745","203463","25","18","","1610612762","960000","0021900790"
"67","1st","97","02:54","[HOU] Harden 3pt Shot: Missed","-9","256","3","1","80","2","","1610612745","201935","25","18","","1610612745","970000","0021900790"
"68","1st","98","02:54","[UTA] Team Rebound","-9","256","0","0","0","4","","1610612762","0","25","18","","1610612745","980000","0021900790"
"69","1st","99","02:52","[HOU] Sefolosha Foul: Loose Ball (1 PF) (B Adair)","87","845","0","0","3","6","1628378","1610612745","200757","25","18","","1610612762","990000","0021900790"
"70","1st","101","02:52","[HOU] Team Timeout : Regular","0","-80","0","0","1","9","","1610612745","1610612745","25","18","","1610612762","1010000","0021900790"
"71","1st","102","02:52","[HOU] Harden Substitution replaced by Westbrook","0","-80","0","0","0","8","","1610612745","201935","25","18","201566","1610612762","1020000","0021900790"
"72","1st","103","02:52","[HOU] Covington Substitution replaced by House Jr.","0","-80","0","0","0","8","","1610612745","203496","25","18","1627863","1610612762","1030000","0021900790"
"73","1st","104","02:52","[UTA] Gobert Substitution replaced by Conley","0","-80","0","0","0","8","","1610612762","203497","25","18","201144","1610612762","1040000","0021900790"
