"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900841"
"2","1st","4","11:56","Jump Ball Gobert vs Covington (Bogdanovic gains possession)","0","-80","0","0","0","10","203496","1610612762","203497","0","0","202711","1610612762","60000","0021900841"
"3","1st","7","11:45","[UTA 2-0] Gobert Layup Shot: Made (2 PTS) Assist: Conley (1 AST)","-23","11","2","0","5","1","","1610612762","203497","2","0","201144","1610612762","70000","0021900841"
"4","1st","9","11:24","[HOU] Westbrook Pullup Jump shot: Missed","-81","105","2","0","79","2","","1610612745","201566","2","0","","1610612745","90000","0021900841"
"5","1st","10","11:22","[UTA] Mitchell Rebound (Off:0 Def:1)","-81","105","0","0","0","4","","1610612762","1628378","2","0","","1610612745","1e+05","0021900841"
"6","1st","11","11:04","[UTA 4-0] Ingles Driving Layup Shot: Made (2 PTS) Assist: Mitchell (1 AST)","19","11","2","0","6","1","","1610612762","204060","4","0","1628378","1610612762","110000","0021900841"
"7","1st","12","10:45","[HOU] Tucker 3pt Shot: Missed","230","-19","3","0","1","2","","1610612745","200782","4","0","","1610612745","120000","0021900841"
"8","1st","13","10:42","[UTA] Team Rebound","230","-19","0","0","0","4","","1610612762","0","4","0","","1610612745","130000","0021900841"
"9","1st","14","10:42","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","4","0","","1610612762","140000","0021900841"
"10","1st","15","10:31","[UTA] Conley 3pt Shot: Missed","-166","219","3","0","1","2","","1610612762","201144","4","0","","1610612762","150000","0021900841"
"11","1st","16","10:27","[HOU] Covington Rebound (Off:0 Def:1)","-166","219","0","0","0","4","","1610612745","203496","4","0","","1610612762","160000","0021900841"
"12","1st","17","10:23","[HOU 3-4] Covington 3pt Shot: Made (3 PTS) Assist: Westbrook (1 AST)","-156","189","3","1","103","1","","1610612745","203496","4","3","201566","1610612745","170000","0021900841"
"13","1st","19","10:00","[UTA 6-3] Gobert Layup Shot: Made (4 PTS) Assist: Ingles (1 AST)","-5","20","2","0","5","1","","1610612762","203497","6","3","204060","1610612762","190000","0021900841"
"14","1st","21","10:00","[HOU] Harden Foul: Shooting (1 PF) (1 FTA) (E Lewis)","-5","20","0","0","2","6","203497","1610612745","201935","6","3","","1610612762","210000","0021900841"
"15","1st","23","10:00","[UTA 7-3] Gobert Free Throw 1 of 1 (5 PTS)","0","-80","1","0","10","3","","1610612762","203497","7","3","","1610612762","230000","0021900841"
"16","1st","24","09:41","[HOU] Harden Driving Layup Shot: Missed","-32","-3","2","0","6","2","","1610612745","201935","7","3","","1610612745","240000","0021900841"
"17","1st","25","09:40","[HOU] Westbrook Rebound (Off:1 Def:0)","-32","-3","1","0","0","4","","1610612745","201566","7","3","","1610612745","250000","0021900841"
"18","1st","26","09:38","[HOU 5-7] Westbrook Layup Shot: Made (2 PTS)","18","-2","2","0","5","1","","1610612745","201566","7","5","","1610612745","260000","0021900841"
"19","1st","27","09:09","[HOU] Tucker Foul: Personal (1 PF) (E Lewis)","69","121","0","0","1","6","201144","1610612745","200782","7","5","","1610612762","270000","0021900841"
"20","1st","29","09:04","[UTA] Conley Driving Layup Shot: Missed","-18","19","2","0","6","2","","1610612762","201144","7","5","","1610612762","290000","0021900841"
"21","1st","30","09:03","[HOU] Covington Rebound (Off:0 Def:2)","-18","19","0","0","0","4","","1610612745","203496","7","5","","1610612762","3e+05","0021900841"
"22","1st","31","08:48","[HOU] Covington Driving Layup Shot: Missed","-19","28","2","0","6","2","","1610612745","203496","7","5","","1610612745","310000","0021900841"
"23","1st","33","08:46","[UTA] Gobert Rebound (Off:0 Def:1)","-19","28","0","0","0","4","","1610612762","203497","7","5","","1610612745","330000","0021900841"
"24","1st","34","08:36","[UTA 10-5] Ingles 3pt Shot: Made (5 PTS)","230","53","3","0","80","1","","1610612762","204060","10","5","","1610612762","340000","0021900841"
"25","1st","35","08:24","[HOU 8-10] Westbrook 3pt Shot: Made (5 PTS) Assist: Harden (1 AST)","54","252","3","0","1","1","","1610612745","201566","10","8","201935","1610612745","350000","0021900841"
