"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900892"
"2","1st","4","11:57","Jump Ball Theis vs Covington (Brown gains possession)","0","-80","0","0","0","10","203496","1610612738","1628464","0","0","1627759","1610612738","60000","0021900892"
"3","1st","7","11:46","[BOS 2-0] Brown Driving Layup Shot: Made (2 PTS) Assist: Tatum (1 AST)","35","1","2","0","6","1","","1610612738","1627759","2","0","1628369","1610612738","70000","0021900892"
"4","1st","9","11:33","[HOU] Westbrook Turnover : Bad Pass (1 TO) Steal:Hayward (1 ST)","54","171","1","0","1","5","202330","1610612745","201566","2","0","","1610612745","90000","0021900892"
"5","1st","11","11:30","[BOS] Brown 3pt Shot: Missed","206","142","3","1","1","2","","1610612738","1627759","2","0","","1610612738","110000","0021900892"
"6","1st","12","11:28","[HOU] Westbrook Rebound (Off:0 Def:1)","206","142","0","0","0","4","","1610612745","201566","2","0","","1610612738","120000","0021900892"
"7","1st","13","11:15","[HOU] Westbrook Driving Layup Shot: Missed","44","22","2","0","6","2","1628369","1610612745","201566","2","0","","1610612745","130000","0021900892"
"8","1st","15","11:14","[HOU] Team Rebound","44","22","1","0","0","4","","1610612745","0","2","0","","1610612745","150000","0021900892"
"9","1st","16","11:14","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","0","","1610612745","160000","0021900892"
"10","1st","17","11:07","[HOU] Harden Driving Reverse Layup Shot: Missed","-32","13","2","0","73","2","","1610612745","201935","2","0","","1610612745","170000","0021900892"
"11","1st","18","11:05","[BOS] Theis Rebound (Off:0 Def:1)","-32","13","0","0","0","4","","1610612738","1628464","2","0","","1610612745","180000","0021900892"
"12","1st","19","11:00","[BOS] Tatum Driving Floating Jump Shot: Missed","58","45","2","0","101","2","","1610612738","1628369","2","0","","1610612738","190000","0021900892"
"13","1st","20","10:58","[HOU] Tucker Rebound (Off:0 Def:1)","58","45","0","0","0","4","","1610612745","200782","2","0","","1610612738","2e+05","0021900892"
"14","1st","23","10:50","[HOU] Covington Turnover : Bad Pass (1 TO) Steal:Smart (1 ST)","149","228","1","0","1","5","203935","1610612745","203496","2","0","","1610612745","230000","0021900892"
"15","1st","25","10:42","[BOS] Smart 3pt Shot: Missed","163","208","3","0","1","2","","1610612738","203935","2","0","","1610612738","250000","0021900892"
"16","1st","26","10:40","[HOU] Covington Rebound (Off:0 Def:1)","163","208","0","0","0","4","","1610612745","203496","2","0","","1610612738","260000","0021900892"
"17","1st","27","10:29","[HOU] Westbrook Pullup Jump shot: Missed","-155","125","2","0","79","2","","1610612745","201566","2","0","","1610612745","270000","0021900892"
"18","1st","28","10:27","[BOS] Hayward Rebound (Off:0 Def:1)","-155","125","0","0","0","4","","1610612738","202330","2","0","","1610612745","280000","0021900892"
"19","1st","29","10:10","[BOS] Tatum Driving Finger Roll Layup Shot: Missed","-38","22","2","0","75","2","","1610612738","1628369","2","0","","1610612738","290000","0021900892"
"20","1st","30","10:09","[BOS] Smart Rebound (Off:1 Def:0)","-38","22","1","0","0","4","","1610612738","203935","2","0","","1610612738","3e+05","0021900892"
"21","1st","33","10:05","[BOS 4-0] Theis Jump Shot: Made (2 PTS) Assist: Smart (1 AST)","-47","124","2","0","1","1","","1610612738","1628464","4","0","203935","1610612738","330000","0021900892"
"22","1st","35","09:50","[HOU] House Jr. 3pt Shot: Missed","-162","205","3","0","1","2","","1610612745","1627863","4","0","","1610612745","350000","0021900892"
"23","1st","36","09:48","[BOS] Hayward Rebound (Off:0 Def:2)","-162","205","0","0","0","4","","1610612738","202330","4","0","","1610612745","360000","0021900892"
"24","1st","37","09:38","[BOS] Smart 3pt Shot: Missed","225","2","3","0","1","2","","1610612738","203935","4","0","","1610612738","370000","0021900892"
"25","1st","38","09:36","[HOU] Covington Rebound (Off:0 Def:2)","225","2","0","0","0","4","","1610612745","203496","4","0","","1610612738","380000","0021900892"
"26","1st","39","09:28","[HOU 2-4] Westbrook Running Finger Roll Layup Shot: Made (2 PTS)","6","12","2","1","76","1","","1610612745","201566","4","2","","1610612745","390000","0021900892"
"27","1st","40","09:12","[BOS] Theis Cutting Layup Shot: Missed","38","6","2","0","98","2","200782","1610612738","1628464","4","2","","1610612738","4e+05","0021900892"
"28","1st","42","09:10","[HOU] Covington Rebound (Off:0 Def:3)","38","6","0","0","0","4","","1610612745","203496","4","2","","1610612738","420000","0021900892"
"29","1st","43","09:01","[HOU] Harden 3pt Shot: Missed","-134","244","3","0","80","2","","1610612745","201935","4","2","","1610612745","430000","0021900892"
"30","1st","44","08:59","[BOS] Theis Rebound (Off:0 Def:2)","-134","244","0","0","0","4","","1610612738","1628464","4","2","","1610612745","440000","0021900892"
"31","1st","45","08:55","[BOS 6-2] Hayward Cutting Layup Shot: Made (2 PTS) Assist: Smart (2 AST)","3","3","2","1","98","1","","1610612738","202330","6","2","203935","1610612738","450000","0021900892"
"32","1st","47","08:41","[HOU] Westbrook 3pt Shot: Missed","230","59","3","0","1","2","","1610612745","201566","6","2","","1610612745","470000","0021900892"
"33","1st","48","08:39","[BOS] Tatum Rebound (Off:0 Def:1)","230","59","0","0","0","4","","1610612738","1628369","6","2","","1610612745","480000","0021900892"
"34","1st","49","08:30","[BOS] Tatum Driving Finger Roll Layup Shot: Missed","58","10","2","0","75","2","","1610612738","1628369","6","2","","1610612738","490000","0021900892"
"35","1st","50","08:28","[HOU] Tucker Rebound (Off:0 Def:2)","58","10","0","0","0","4","","1610612745","200782","6","2","","1610612738","5e+05","0021900892"
