"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900903"
"2","1st","4","11:55","Jump Ball Harden vs Gibson (House Jr. gains possession)","0","-80","0","0","0","10","201959","1610612745","201935","0","0","1627863","1610612745","60000","0021900903"
"3","1st","7","11:35","[NYK] Barrett Foul: Shooting (1 PF) (2 FTA) (B Nansel)","-63","107","0","0","2","6","201935","1610612752","1629628","0","0","","1610612745","70000","0021900903"
"4","1st","9","11:35","[HOU 1-0] Harden Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612745","201935","0","1","","1610612745","90000","0021900903"
"5","1st","10","11:35","[HOU 2-0] Harden Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612745","201935","0","2","","1610612745","1e+05","0021900903"
"6","1st","11","11:15","[NYK] Barrett Pullup Jump shot: Missed","-106","194","2","0","79","2","","1610612752","1629628","0","2","","1610612752","110000","0021900903"
"7","1st","12","11:14","[NYK] Harkless Rebound (Off:1 Def:0)","-106","194","1","0","0","4","","1610612752","203090","0","2","","1610612752","120000","0021900903"
"8","1st","13","11:14","[HOU] Covington Foul: Shooting (1 PF) (2 FTA) (B Nansel)","-22","11","0","0","2","6","203090","1610612745","203496","0","2","","1610612752","130000","0021900903"
"9","1st","15","11:14","[NYK 1-2] Harkless Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612752","203090","1","2","","1610612752","150000","0021900903"
"10","1st","16","11:14","[NYK] Harkless Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612752","203090","1","2","","1610612752","160000","0021900903"
"11","1st","17","11:13","[HOU] Tucker Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","200782","1","2","","1610612752","160001","0021900903"
"12","1st","18","11:01","[HOU] Team Timeout : Regular","0","-80","0","0","1","9","","1610612745","1610612745","1","2","","1610612745","180000","0021900903"
"13","1st","19","10:54","[HOU] Harden 3pt Shot: Missed","223","160","3","0","1","2","","1610612745","201935","1","2","","1610612745","190000","0021900903"
"14","1st","20","10:52","[NYK] Harkless Rebound (Off:1 Def:1)","223","160","0","0","0","4","","1610612752","203090","1","2","","1610612745","2e+05","0021900903"
"15","1st","23","10:36","[NYK] Randle Turnaround Fadeaway shot: Missed","-14","78","2","0","86","2","","1610612752","203944","1","2","","1610612752","230000","0021900903"
"16","1st","24","10:34","[HOU] Westbrook Rebound (Off:0 Def:1)","-14","78","0","0","0","4","","1610612745","201566","1","2","","1610612752","240000","0021900903"
"17","1st","25","10:25","[HOU] Westbrook Driving Floating Jump Shot: Missed","3","45","2","0","101","2","","1610612745","201566","1","2","","1610612745","250000","0021900903"
"18","1st","26","10:23","[HOU] Westbrook Rebound (Off:1 Def:1)","3","45","1","0","0","4","","1610612745","201566","1","2","","1610612745","260000","0021900903"
"19","1st","27","10:23","[HOU 4-1] Westbrook Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612745","201566","1","4","","1610612745","270000","0021900903"
"20","1st","28","10:08","[NYK] Payton 3pt Shot: Missed","-94","242","3","0","1","2","","1610612752","203901","1","4","","1610612752","280000","0021900903"
"21","1st","29","10:06","[HOU] House Jr. Rebound (Off:0 Def:1)","-94","242","0","0","0","4","","1610612745","1627863","1","4","","1610612752","290000","0021900903"
"22","1st","30","09:56","[HOU 7-1] House Jr. 3pt Shot: Made (3 PTS) Assist: Covington (1 AST)","-149","199","3","0","1","1","","1610612745","1627863","1","7","203496","1610612745","3e+05","0021900903"
"23","1st","32","09:41","[NYK] Gibson Layup Shot: Missed","10","8","2","0","5","2","1627863","1610612752","201959","1","7","","1610612752","320000","0021900903"
"24","1st","34","09:39","[HOU] Westbrook Rebound (Off:1 Def:2)","10","8","0","0","0","4","","1610612745","201566","1","7","","1610612752","340000","0021900903"
"25","1st","35","09:21","[HOU] House Jr. 3pt Shot: Missed","224","-2","3","0","1","2","","1610612745","1627863","1","7","","1610612745","350000","0021900903"
