"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900940"
"2","1st","4","11:55","Jump Ball Covington vs Zeller (Tucker gains possession)","0","-80","0","0","0","10","203469","1610612745","203496","0","0","200782","1610612745","60000","0021900940"
"3","1st","7","11:41","[HOU] Tucker Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-225","224","0","0","45","5","","1610612745","200782","0","0","","1610612745","70000","0021900940"
"4","1st","8","11:25","[CHA] Bridges 3pt Shot: Missed","227","78","3","0","1","2","","1610612766","1628970","0","0","","1610612766","80000","0021900940"
"5","1st","9","11:23","[HOU] House Jr. Rebound (Off:0 Def:1)","227","78","0","0","0","4","","1610612745","1627863","0","0","","1610612766","90000","0021900940"
"6","1st","10","11:15","[HOU] McLemore Turnover : Bad Pass (1 TO) Steal:Rozier (1 ST)","141","67","1","0","1","5","1626179","1610612745","203463","0","0","","1610612745","1e+05","0021900940"
"7","1st","12","10:57","[CHA 3-0] Washington 3pt Shot: Made (3 PTS) Assist: Bridges (1 AST)","166","189","3","0","1","1","","1610612766","1629023","3","0","1628970","1610612766","120000","0021900940"
"8","1st","14","10:44","[HOU] Harden Turnover : Bad Pass (1 TO) Steal:Zeller (1 ST)","14","33","1","0","1","5","203469","1610612745","201935","3","0","","1610612745","140000","0021900940"
"9","1st","16","10:39","[CHA 5-0] Bridges Running Layup Shot: Made (2 PTS) Assist: Rozier (1 AST)","2","17","2","1","41","1","","1610612766","1628970","5","0","1626179","1610612766","160000","0021900940"
"10","1st","18","10:20","[HOU] Covington 3pt Shot: Missed","120","228","3","0","1","2","","1610612745","203496","5","0","","1610612745","180000","0021900940"
"11","1st","19","10:18","[CHA] Zeller Rebound (Off:0 Def:1)","120","228","0","0","0","4","","1610612766","203469","5","0","","1610612745","190000","0021900940"
"12","1st","20","10:10","[CHA] Washington 3pt Shot: Missed","-159","220","3","0","1","2","","1610612766","1629023","5","0","","1610612766","2e+05","0021900940"
"13","1st","21","10:08","[HOU] McLemore Rebound (Off:0 Def:1)","-159","220","0","0","0","4","","1610612745","203463","5","0","","1610612766","210000","0021900940"
"14","1st","22","09:59","[HOU] McLemore 3pt Shot: Missed","-68","246","3","0","79","2","","1610612745","203463","5","0","","1610612745","220000","0021900940"
"15","1st","23","09:57","[CHA] Bridges Rebound (Off:0 Def:1)","-68","246","0","0","0","4","","1610612766","1628970","5","0","","1610612745","230000","0021900940"
"16","1st","24","09:49","[CHA 8-0] Graham 3pt Shot: Made (3 PTS) Assist: Rozier (2 AST)","222","-5","3","0","1","1","","1610612766","1628984","8","0","1626179","1610612766","240000","0021900940"
"17","1st","26","09:36","[HOU] House Jr. Turnover : Step Out of Bounds Turnover (1 TO)","231","9","0","0","39","5","","1610612745","1627863","8","0","","1610612745","260000","0021900940"
"18","1st","27","09:19","[CHA] Rozier 3pt Shot: Missed","-235","20","3","0","1","2","","1610612766","1626179","8","0","","1610612766","270000","0021900940"
"19","1st","28","09:17","[HOU] Harden Rebound (Off:0 Def:1)","-235","20","0","0","0","4","","1610612745","201935","8","0","","1610612766","280000","0021900940"
"20","1st","29","09:04","[HOU] Harden Turnover : Bad Pass (2 TO) Steal:Graham (1 ST)","-8","214","1","0","1","5","1628984","1610612745","201935","8","0","","1610612745","290000","0021900940"
"21","1st","31","08:59","[CHA] Graham 3pt Shot: Missed","145","214","3","1","103","2","","1610612766","1628984","8","0","","1610612766","310000","0021900940"
"22","1st","32","08:54","[HOU] House Jr. Rebound (Off:0 Def:2)","145","214","0","0","0","4","","1610612745","1627863","8","0","","1610612766","320000","0021900940"
"23","1st","33","08:47","[HOU] Harden Turnover : Out of Bounds Lost Ball Turnover (3 TO)","56","-32","0","0","40","5","","1610612745","201935","8","0","","1610612745","330000","0021900940"
"24","1st","34","08:25","[CHA 11-0] Rozier 3pt Shot: Made (3 PTS) Assist: Graham (1 AST)","-240","87","3","0","1","1","","1610612766","1626179","11","0","1628984","1610612766","340000","0021900940"
"25","1st","36","08:25","[HOU] Team Timeout : Regular","0","-80","0","0","1","9","","1610612745","1610612745","11","0","","1610612745","360000","0021900940"
"26","1st","37","08:15","[HOU] Tucker 3pt Shot: Missed","237","26","3","0","1","2","","1610612745","200782","11","0","","1610612745","370000","0021900940"
