"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021900953"
"2","1st","4","11:57","Jump Ball Vucevic vs House Jr. (Ennis III gains possession)","0","-80","0","0","0","10","1627863","1610612753","202696","0","0","203516","1610612753","60000","0021900953"
"3","1st","7","11:37","[HOU] Covington Foul: Personal (1 PF) (B Kennedy)","-44","110","0","0","1","6","203516","1610612745","203496","0","0","","1610612753","70000","0021900953"
"4","1st","9","11:23","[ORL] Iwundu Pullup Jump shot: Missed","40","54","2","0","79","2","","1610612753","1628411","0","0","","1610612753","90000","0021900953"
"5","1st","10","11:20","[ORL] Iwundu Rebound (Off:1 Def:0)","40","54","1","0","0","4","","1610612753","1628411","0","0","","1610612753","1e+05","0021900953"
"6","1st","11","11:20","[ORL 2-0] Iwundu Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612753","1628411","0","2","","1610612753","110000","0021900953"
"7","1st","12","11:08","[HOU 2-2] Covington Cutting Layup Shot: Made (2 PTS) Assist: Westbrook (1 AST)","3","15","2","0","98","1","","1610612745","203496","2","2","201566","1610612745","120000","0021900953"
"8","1st","14","11:08","[ORL] Iwundu Violation:Defensive Goaltending (B Kennedy)","0","-80","0","0","2","7","","1610612753","1628411","2","2","","1610612745","140000","0021900953"
"9","1st","15","10:57","[ORL] Fultz Reverse Layup Shot: Missed","6","6","2","0","44","2","","1610612753","1628365","2","2","","1610612753","150000","0021900953"
"10","1st","16","10:56","[HOU] Tucker Rebound (Off:0 Def:1)","6","6","0","0","0","4","","1610612745","200782","2","2","","1610612753","160000","0021900953"
"11","1st","17","10:42","[HOU] Covington 3pt Shot: Missed","-47","254","3","0","1","2","","1610612745","203496","2","2","","1610612745","170000","0021900953"
"12","1st","18","10:38","[ORL] Iwundu Rebound (Off:1 Def:1)","-47","254","0","0","0","4","","1610612753","1628411","2","2","","1610612745","180000","0021900953"
"13","1st","19","10:22","[ORL] Fultz Turnover : Lost Ball (1 TO) Steal:Westbrook (1 ST)","-77","136","1","0","2","5","201566","1610612753","1628365","2","2","","1610612753","190000","0021900953"
