"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021901238"
"2","1st","4","11:57","Jump Ball Porzingis vs Covington (Curry gains possession)","0","-80","0","0","0","10","203496","1610612742","204001","0","0","203552","1610612742","60000","0021901238"
"3","1st","7","11:39","[DAL 2-0] Porzingis Jump Shot: Made (2 PTS) Assist: Finney-Smith (1 AST)","-84","152","2","0","1","1","","1610612742","204001","2","0","1627827","1610612742","70000","0021901238"
"4","1st","9","11:25","[HOU] House Jr. 3pt Shot: Missed","-89","235","3","0","1","2","","1610612745","1627863","2","0","","1610612745","90000","0021901238"
"5","1st","10","11:22","[DAL] Doncic Rebound (Off:0 Def:1)","-89","235","0","0","0","4","","1610612742","1629029","2","0","","1610612745","1e+05","0021901238"
"6","1st","11","11:19","[HOU] Tucker Foul: Personal (1 PF) (R Mott)","5","79","0","0","1","6","204001","1610612745","200782","2","0","","1610612742","110000","0021901238"
"7","1st","13","11:09","[DAL] Doncic Pullup Jump shot: Missed","-74","89","2","0","79","2","","1610612742","1629029","2","0","","1610612742","130000","0021901238"
"8","1st","14","11:06","[HOU] Tucker Rebound (Off:0 Def:1)","-74","89","0","0","0","4","","1610612745","200782","2","0","","1610612742","140000","0021901238"
"9","1st","15","11:01","[HOU] Covington 3pt Shot: Missed","-188","163","3","1","1","2","","1610612745","203496","2","0","","1610612745","150000","0021901238"
"10","1st","16","10:58","[DAL] Porzingis Rebound (Off:0 Def:1)","-188","163","0","0","0","4","","1610612742","204001","2","0","","1610612745","160000","0021901238"
"11","1st","17","10:49","[HOU] Harden Foul: Shooting (1 PF) (2 FTA) (M Davis)","-8","95","0","0","2","6","203552","1610612745","201935","2","0","","1610612742","170000","0021901238"
"12","1st","19","10:49","[DAL 3-0] Curry Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612742","203552","3","0","","1610612742","190000","0021901238"
"13","1st","20","10:49","[DAL] Curry Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612742","203552","3","0","","1610612742","2e+05","0021901238"
"14","1st","21","10:47","[HOU] Westbrook Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","201566","3","0","","1610612742","200001","0021901238"
"15","1st","22","10:33","[HOU] Westbrook Driving Floating Bank Jump Shot: Missed","-40","28","2","0","102","2","","1610612745","201566","3","0","","1610612745","220000","0021901238"
"16","1st","23","10:31","[DAL] Doncic Rebound (Off:0 Def:2)","-40","28","0","0","0","4","","1610612742","1629029","3","0","","1610612745","230000","0021901238"
"17","1st","24","10:24","[DAL] Doncic Driving Layup Shot: Missed","20","36","2","0","6","2","200782","1610612742","1629029","3","0","","1610612742","240000","0021901238"
"18","1st","26","10:24","[DAL] Team Rebound","20","36","1","0","0","4","","1610612742","0","3","0","","1610612742","260000","0021901238"
"19","1st","27","10:24","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","3","0","","1610612742","270000","0021901238"
"20","1st","28","10:14","[DAL] Porzingis Jump Shot: Missed","-144","-10","2","0","1","2","","1610612742","204001","3","0","","1610612742","280000","0021901238"
"21","1st","29","10:12","[HOU] Covington Rebound (Off:0 Def:1)","-144","-10","0","0","0","4","","1610612745","203496","3","0","","1610612742","290000","0021901238"
"22","1st","30","10:09","[HOU 2-3] Harden Driving Finger Roll Layup Shot: Made (2 PTS)","8","-4","2","1","75","1","","1610612745","201935","3","2","","1610612745","3e+05","0021901238"
"23","1st","31","10:09","[DAL] Finney-Smith Foul: Shooting (1 PF) (1 FTA) (M Lindsay)","8","-4","0","0","2","6","201935","1610612742","1627827","3","2","","1610612745","310000","0021901238"
"24","1st","33","10:09","[HOU 3-3] Harden Free Throw 1 of 1 (3 PTS)","0","-80","1","1","10","3","","1610612745","201935","3","3","","1610612745","330000","0021901238"
"25","1st","34","09:55","[DAL 5-3] Porzingis Pullup Jump shot: Made (4 PTS) Assist: Finney-Smith (2 AST)","9","163","2","0","79","1","","1610612742","204001","5","3","1627827","1610612742","340000","0021901238"
"26","1st","36","09:48","[HOU 5-5] Westbrook Driving Finger Roll Layup Shot: Made (2 PTS)","9","9","2","0","75","1","","1610612745","201566","5","5","","1610612745","360000","0021901238"
"27","1st","37","09:27","[DAL] Doncic Turnover : Lost Ball (1 TO) Steal:Covington (1 ST)","-2","117","1","0","2","5","203496","1610612742","1629029","5","5","","1610612742","370000","0021901238"
"28","1st","39","09:23","[HOU 7-5] Harden Running Finger Roll Layup Shot: Made (5 PTS)","-20","-4","2","1","76","1","","1610612745","201935","5","7","","1610612745","390000","0021901238"
"29","1st","40","09:06","[DAL] Porzingis Turnaround Jump Shot: Missed","-120","73","2","0","47","2","","1610612742","204001","5","7","","1610612742","4e+05","0021901238"
"30","1st","41","09:03","[HOU] Tucker Rebound (Off:0 Def:2)","-120","73","0","0","0","4","","1610612745","200782","5","7","","1610612742","410000","0021901238"
"31","1st","42","08:57","[HOU 9-5] Covington Cutting Dunk Shot: Made (2 PTS) Assist: Harden (1 AST)","6","-4","2","0","108","1","","1610612745","203496","5","9","201935","1610612745","420000","0021901238"
"32","1st","44","08:57","[DAL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612742","1610612742","5","9","","1610612742","440000","0021901238"
"33","1st","45","08:39","[DAL 8-9] Hardaway Jr. 3pt Shot: Made (3 PTS) Assist: Doncic (1 AST)","222","38","3","0","1","1","","1610612742","203501","8","9","1629029","1610612742","450000","0021901238"
"34","1st","47","08:23","[HOU] Westbrook Driving Layup Shot: Missed","-9","19","2","0","6","2","","1610612745","201566","8","9","","1610612745","470000","0021901238"
"35","1st","48","08:21","[DAL] Hardaway Jr. Rebound (Off:0 Def:1)","-9","19","0","0","0","4","","1610612742","203501","8","9","","1610612745","480000","0021901238"
"36","1st","49","08:16","[DAL] Curry 3pt Shot: Missed","228","52","3","1","1","2","","1610612742","203552","8","9","","1610612742","490000","0021901238"
"37","1st","50","08:12","[DAL] Finney-Smith Rebound (Off:1 Def:0)","228","52","1","0","0","4","","1610612742","1627827","8","9","","1610612742","5e+05","0021901238"
"38","1st","51","08:11","[DAL] Finney-Smith Foul: Offensive (2 PF)","-3","10","0","0","4","6","203496","1610612742","1627827","8","9","","1610612742","510000","0021901238"
"39","1st","53","08:11","[DAL] Finney-Smith Turnover : Offensive Foul Turnover (1 TO)","-3","10","0","0","37","5","","1610612742","1627827","8","9","","1610612742","530000","0021901238"
"40","1st","54","07:57","[HOU 11-8] Harden Driving Layup Shot: Made (7 PTS)","-16","13","2","0","6","1","","1610612745","201935","8","11","","1610612745","540000","0021901238"
"41","1st","55","07:35","[DAL 11-11] Doncic 3pt Shot: Made (3 PTS)","-201","248","3","0","80","1","","1610612742","1629029","11","11","","1610612742","550000","0021901238"
"42","1st","56","07:22","[HOU] House Jr. Turnover : Bad Pass (1 TO) Steal:Doncic (1 ST)","56","20","1","0","1","5","1629029","1610612745","1627863","11","11","","1610612745","560000","0021901238"
"43","1st","58","07:21","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","11","11","","1610612742","580000","0021901238"
"44","1st","59","07:21","[DAL] Finney-Smith Substitution replaced by Kleber","0","-80","0","0","0","8","","1610612742","1627827","11","11","1628467","1610612742","590000","0021901238"
"45","1st","61","07:12","[HOU] Tucker Foul: Shooting (2 PF) (2 FTA) (M Lindsay)","10","29","0","0","2","6","203501","1610612745","200782","11","11","","1610612742","610000","0021901238"
"46","1st","63","07:12","[DAL 12-11] Hardaway Jr. Free Throw 1 of 2 (4 PTS)","0","-80","1","0","11","3","","1610612742","203501","12","11","","1610612742","630000","0021901238"
"47","1st","64","07:12","[HOU] Tucker Substitution replaced by Green","0","-80","0","0","0","8","","1610612745","200782","12","11","201145","1610612742","640000","0021901238"
"48","1st","66","07:12","[DAL 13-11] Hardaway Jr. Free Throw 2 of 2 (5 PTS)","0","-80","1","0","12","3","","1610612742","203501","13","11","","1610612742","660000","0021901238"
"49","1st","67","07:01","[HOU 13-13] Westbrook Driving Layup Shot: Made (4 PTS)","-25","7","2","0","6","1","","1610612745","201566","13","13","","1610612745","670000","0021901238"
"50","1st","68","07:01","[DAL] Curry Foul: Shooting (1 PF) (1 FTA) (M Lindsay)","-25","7","0","0","2","6","201566","1610612742","203552","13","13","","1610612745","680000","0021901238"
"51","1st","70","07:01","[HOU] House Jr. Substitution replaced by McLemore","0","-80","0","0","0","8","","1610612745","1627863","13","13","203463","1610612745","7e+05","0021901238"
"52","1st","72","07:01","[HOU] Westbrook Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612745","201566","13","13","","1610612745","720000","0021901238"
"53","1st","73","06:59","[DAL] Porzingis Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612742","204001","13","13","","1610612745","720001","0021901238"
"54","1st","74","06:54","[HOU] McLemore Foul: Personal (1 PF) (M Davis)","-228","179","0","0","1","6","1629029","1610612745","203463","13","13","","1610612742","740000","0021901238"
"55","1st","76","06:48","[DAL] Porzingis 3pt Shot: Missed","-149","245","3","0","1","2","","1610612742","204001","13","13","","1610612742","760000","0021901238"
"56","1st","77","06:45","[HOU] Harden Rebound (Off:0 Def:1)","-149","245","0","0","0","4","","1610612745","201935","13","13","","1610612742","770000","0021901238"
"57","1st","78","06:36","[DAL] Kleber Foul: Shooting (1 PF) (3 FTA) (M Lindsay)","-85","245","0","0","2","6","201935","1610612742","1628467","13","13","","1610612745","780000","0021901238"
"58","1st","80","06:36","[HOU 14-13] Harden Free Throw 1 of 3 (8 PTS)","0","-80","1","0","13","3","","1610612745","201935","13","14","","1610612745","8e+05","0021901238"
"59","1st","81","06:36","[HOU 15-13] Harden Free Throw 2 of 3 (9 PTS)","0","-80","1","0","14","3","","1610612745","201935","13","15","","1610612745","810000","0021901238"
"60","1st","82","06:36","[DAL] Doncic Substitution replaced by Wright","0","-80","0","0","0","8","","1610612742","1629029","13","15","1626153","1610612745","820000","0021901238"
