"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021901261"
"2","1st","4","11:57","Jump Ball Covington vs Nurkic (Tucker gains possession)","0","-80","0","0","0","10","203994","1610612745","203496","0","0","200782","1610612745","60000","0021901261"
"3","1st","7","11:46","[HOU] Covington 3pt Shot: Missed","-140","236","3","0","1","2","","1610612745","203496","0","0","","1610612745","70000","0021901261"
"4","1st","8","11:42","[POR] Nurkic Rebound (Off:0 Def:1)","-140","236","0","0","0","4","","1610612757","203994","0","0","","1610612745","80000","0021901261"
"5","1st","9","11:39","[POR] Lillard 3pt Shot: Missed","139","274","3","1","103","2","","1610612757","203081","0","0","","1610612757","90000","0021901261"
"6","1st","10","11:33","[POR] McCollum Rebound (Off:1 Def:0)","139","274","1","0","0","4","","1610612757","203468","0","0","","1610612757","1e+05","0021901261"
"7","1st","11","11:32","[POR 3-0] Anthony 3pt Shot: Made (3 PTS) Assist: McCollum (1 AST)","-145","215","3","0","1","1","","1610612757","2546","3","0","203468","1610612757","110000","0021901261"
"8","1st","13","11:12","[HOU 3-3] Harden 3pt Shot: Made (3 PTS) Assist: House Jr. (1 AST)","0","262","3","0","1","1","","1610612745","201935","3","3","1627863","1610612745","130000","0021901261"
"9","1st","15","10:58","[POR 6-3] McCollum 3pt Shot: Made (3 PTS) Assist: Lillard (1 AST)","233","14","3","0","1","1","","1610612757","203468","6","3","203081","1610612757","150000","0021901261"
"10","1st","17","10:45","[HOU 5-6] Westbrook Driving Finger Roll Layup Shot: Made (2 PTS)","-3","14","2","0","75","1","","1610612745","201566","6","5","","1610612745","170000","0021901261"
"11","1st","18","10:28","[POR] Collins Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","-22","257","0","0","45","5","","1610612757","1628380","6","5","","1610612757","180000","0021901261"
"12","1st","19","10:14","[HOU] Westbrook 3pt Shot: Missed","-135","224","3","0","1","2","","1610612745","201566","6","5","","1610612745","190000","0021901261"
"13","1st","20","10:09","[POR] Anthony Rebound (Off:0 Def:1)","-135","224","0","0","0","4","","1610612757","2546","6","5","","1610612745","2e+05","0021901261"
"14","1st","21","09:53","[POR] McCollum 3pt Shot: Missed","-14","278","3","0","1","2","","1610612757","203468","6","5","","1610612757","210000","0021901261"
"15","1st","22","09:50","[HOU] Tucker Rebound (Off:0 Def:1)","-14","278","0","0","0","4","","1610612745","200782","6","5","","1610612757","220000","0021901261"
"16","1st","23","09:42","[HOU] Covington 3pt Shot: Missed","-222","122","3","0","1","2","","1610612745","203496","6","5","","1610612745","230000","0021901261"
"17","1st","24","09:38","[POR] Anthony Rebound (Off:0 Def:2)","-222","122","0","0","0","4","","1610612757","2546","6","5","","1610612745","240000","0021901261"
"18","1st","25","09:32","[POR] Collins Layup Shot: Missed","-6","-1","2","0","5","2","","1610612757","1628380","6","5","","1610612757","250000","0021901261"
"19","1st","26","09:30","[POR] Nurkic Rebound (Off:1 Def:1)","-6","-1","1","0","0","4","","1610612757","203994","6","5","","1610612757","260000","0021901261"
"20","1st","27","09:29","[POR 8-5] Nurkic Tip Layup Shot: Made (2 PTS)","0","-5","2","0","97","1","","1610612757","203994","8","5","","1610612757","270000","0021901261"
"21","1st","28","09:24","[POR] Collins Foul: Shooting (1 PF) (2 FTA) (M Ayotte)","3","13","0","0","2","6","201566","1610612757","1628380","8","5","","1610612745","280000","0021901261"
"22","1st","30","09:24","[HOU 6-8] Westbrook Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612745","201566","8","6","","1610612745","3e+05","0021901261"
"23","1st","31","09:24","[HOU 7-8] Westbrook Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612745","201566","8","7","","1610612745","310000","0021901261"
"24","1st","32","09:15","[HOU] Harden Foul: Personal (1 PF) (K Cutler)","-9","243","0","0","1","6","203994","1610612745","201935","8","7","","1610612757","320000","0021901261"
"25","1st","34","09:02","[POR 10-7] McCollum Step Back Jump shot: Made (5 PTS)","46","201","2","0","80","1","","1610612757","203468","10","7","","1610612757","340000","0021901261"
"26","1st","35","08:56","[POR] Nurkic Foul: Shooting (1 PF) (2 FTA) (K Cutler)","-2","2","0","0","2","6","201566","1610612757","203994","10","7","","1610612745","350000","0021901261"
"27","1st","37","08:56","[HOU] Westbrook Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612745","201566","10","7","","1610612745","370000","0021901261"
