"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021901290"
"2","1st","4","11:57","Jump Ball Len vs Covington (Fox gains possession)","0","-80","0","0","0","10","203496","1610612758","203458","0","0","1628368","1610612758","60000","0021901290"
"3","1st","7","11:42","[SAC] Len Turnaround Hook Shot: Missed","-77","67","2","0","58","2","","1610612758","203458","0","0","","1610612758","70000","0021901290"
"4","1st","8","11:40","[HOU] Covington Rebound (Off:0 Def:1)","-77","67","0","0","0","4","","1610612745","203496","0","0","","1610612758","80000","0021901290"
"5","1st","9","11:28","[HOU] Covington 3pt Shot: Missed","152","224","3","0","1","2","203992","1610612745","203496","0","0","","1610612745","90000","0021901290"
"6","1st","11","11:25","[HOU] Covington Rebound (Off:1 Def:1)","152","224","1","0","0","4","","1610612745","203496","0","0","","1610612745","110000","0021901290"
"7","1st","12","11:20","[HOU 3-0] McLemore 3pt Shot: Made (3 PTS) Assist: Covington (1 AST)","-220","8","3","0","80","1","","1610612745","203463","0","3","203496","1610612745","120000","0021901290"
"8","1st","14","11:03","[SAC] Fox 3pt Shot: Missed","232","42","3","0","80","2","","1610612758","1628368","0","3","","1610612758","140000","0021901290"
"9","1st","15","11:02","[HOU] House Jr. Rebound (Off:0 Def:1)","232","42","0","0","0","4","","1610612745","1627863","0","3","","1610612758","150000","0021901290"
"10","1st","16","10:55","[HOU] House Jr. 3pt Shot: Missed","191","180","3","0","1","2","","1610612745","1627863","0","3","","1610612745","160000","0021901290"
"11","1st","17","10:51","[SAC] Barnes Rebound (Off:0 Def:1)","191","180","0","0","0","4","","1610612758","203084","0","3","","1610612745","170000","0021901290"
"12","1st","18","10:44","[SAC 2-3] Bogdanovic Turnaround Jump Shot: Made (2 PTS) Assist: Fox (1 AST)","-57","137","2","0","47","1","","1610612758","203992","2","3","1628368","1610612758","180000","0021901290"
"13","1st","20","10:23","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","3","","1610612745","2e+05","0021901290"
"14","1st","21","10:19","[HOU] Harden 3pt Shot: Missed","-225","-4","3","0","80","2","","1610612745","201935","2","3","","1610612745","210000","0021901290"
"15","1st","22","10:17","[SAC] Team Rebound","-225","-4","0","0","0","4","","1610612758","0","2","3","","1610612745","220000","0021901290"
"16","1st","23","10:17","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","2","3","","1610612758","230000","0021901290"
"17","1st","24","10:04","[SAC] Joseph 3pt Shot: Missed","0","252","3","0","1","2","","1610612758","202709","2","3","","1610612758","240000","0021901290"
"18","1st","25","10:01","[HOU] Covington Rebound (Off:1 Def:2)","0","252","0","0","0","4","","1610612745","203496","2","3","","1610612758","250000","0021901290"
