"","qrt","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid","ord","id"
"1","1st","2","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0","20000","0021901298"
"2","1st","4","11:57","Jump Ball Green vs Poeltl (Tucker gains possession)","0","-80","0","0","0","10","1627751","1610612745","201145","0","0","200782","1610612745","60000","0021901298"
"3","1st","7","11:43","[HOU 2-0] Westbrook Turnaround Fadeaway Bank Jump Shot: Made (2 PTS)","-78","24","2","0","105","1","","1610612745","201566","0","2","","1610612745","70000","0021901298"
"4","1st","8","11:25","[SAS 2-2] DeRozan Jump Shot: Made (2 PTS) Assist: White (1 AST)","134","37","2","0","1","1","","1610612759","201942","2","2","1628401","1610612759","80000","0021901298"
"5","1st","10","11:07","[HOU 5-2] Tucker 3pt Shot: Made (3 PTS) Assist: Westbrook (1 AST)","-218","30","3","0","1","1","","1610612745","200782","2","5","201566","1610612745","1e+05","0021901298"
"6","1st","12","10:52","[SAS] Walker IV 3pt Shot: Missed","146","206","3","0","1","2","","1610612759","1629022","2","5","","1610612759","120000","0021901298"
"7","1st","13","10:51","[HOU] Westbrook Rebound (Off:0 Def:1)","146","206","0","0","0","4","","1610612745","201566","2","5","","1610612759","130000","0021901298"
"8","1st","14","10:45","[HOU] Westbrook Pullup Jump shot: Missed","8","161","2","1","79","2","","1610612745","201566","2","5","","1610612745","140000","0021901298"
"9","1st","15","10:44","[SAS] Poeltl Rebound (Off:0 Def:1)","8","161","0","0","0","4","","1610612759","1627751","2","5","","1610612745","150000","0021901298"
"10","1st","16","10:29","[SAS] Walker IV Driving Layup Shot: Missed","10","6","2","0","6","2","","1610612759","1629022","2","5","","1610612759","160000","0021901298"
"11","1st","18","10:28","[HOU] McLemore Rebound (Off:0 Def:1)","10","6","0","0","0","4","","1610612745","203463","2","5","","1610612759","180000","0021901298"
"12","1st","19","10:22","[HOU 7-2] McLemore Running Layup Shot: Made (2 PTS)","-8","10","2","1","41","1","","1610612745","203463","2","7","","1610612745","190000","0021901298"
"13","1st","20","10:10","[SAS 4-7] Poeltl Cutting Layup Shot: Made (2 PTS) Assist: DeRozan (1 AST)","13","10","2","0","98","1","","1610612759","1627751","4","7","201942","1610612759","2e+05","0021901298"
"14","1st","22","10:02","[HOU 9-4] McLemore Cutting Layup Shot: Made (4 PTS) Assist: Westbrook (2 AST)","28","19","2","0","98","1","","1610612745","203463","4","9","201566","1610612745","220000","0021901298"
"15","1st","24","09:38","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","4","9","","1610612759","240000","0021901298"
"16","1st","25","09:35","[SAS] Poeltl Hook Shot: Missed","92","38","2","0","3","2","","1610612759","1627751","4","9","","1610612759","250000","0021901298"
"17","1st","26","09:32","[HOU] Covington Rebound (Off:0 Def:1)","92","38","0","0","0","4","","1610612745","203496","4","9","","1610612759","260000","0021901298"
"18","1st","27","09:26","[HOU] Tucker 3pt Shot: Missed","-223","25","3","1","1","2","","1610612745","200782","4","9","","1610612745","270000","0021901298"
"19","1st","28","09:25","[SAS] Walker IV Rebound (Off:0 Def:1)","-223","25","0","0","0","4","","1610612759","1629022","4","9","","1610612745","280000","0021901298"
"20","1st","29","09:14","[SAS] White 3pt Shot: Missed","-235","105","3","0","1","2","","1610612759","1628401","4","9","","1610612759","290000","0021901298"
"21","1st","30","09:13","[HOU] Westbrook Rebound (Off:0 Def:2)","-235","105","0","0","0","4","","1610612745","201566","4","9","","1610612759","3e+05","0021901298"
"22","1st","31","09:04","[HOU] Green Turnover : Lost Ball (1 TO) Steal:Poeltl (1 ST)","68","88","1","0","2","5","1627751","1610612745","201145","4","9","","1610612745","310000","0021901298"
"23","1st","33","09:00","[SAS 6-9] White Running Layup Shot: Made (2 PTS)","3","10","2","1","41","1","","1610612759","1628401","6","9","","1610612759","330000","0021901298"
"24","1st","34","08:49","[HOU] Westbrook 3pt Shot: Missed","-124","231","3","0","1","2","","1610612745","201566","6","9","","1610612745","340000","0021901298"
"25","1st","35","08:48","[SAS] White Rebound (Off:0 Def:1)","-124","231","0","0","0","4","","1610612759","1628401","6","9","","1610612745","350000","0021901298"
"26","1st","36","08:29","[SAS 8-9] DeRozan Turnaround Fadeaway shot: Made (4 PTS)","-36","122","2","0","86","1","","1610612759","201942","8","9","","1610612759","360000","0021901298"
"27","1st","37","08:17","[HOU 12-8] Green 3pt Shot: Made (3 PTS) Assist: Westbrook (3 AST)","143","230","3","0","1","1","","1610612745","201145","8","12","201566","1610612745","370000","0021901298"
"28","1st","39","08:07","[HOU] Covington Foul: Personal (1 PF) (J Goble)","-95","119","0","0","1","6","201942","1610612745","203496","8","12","","1610612759","390000","0021901298"
"29","1st","41","07:59","[SAS 10-12] Poeltl Hook Shot: Made (4 PTS) Assist: Murray (1 AST)","-7","83","2","0","3","1","","1610612759","1627751","10","12","1627749","1610612759","410000","0021901298"
"30","1st","43","07:49","[HOU 15-10] McLemore 3pt Shot: Made (7 PTS) Assist: Westbrook (4 AST)","137","241","3","0","1","1","","1610612745","203463","10","15","201566","1610612745","430000","0021901298"
"31","1st","45","07:29","[SAS] DeRozan Turnaround Fadeaway shot: Missed","-65","109","2","0","86","2","","1610612759","201942","10","15","","1610612759","450000","0021901298"
"32","1st","46","07:29","[HOU] Team Rebound","-65","109","0","0","0","4","","1610612745","0","10","15","","1610612759","460000","0021901298"
"33","1st","47","07:29","Stoppage: Out-of-Bounds","0","-80","0","0","3","20","","0","0","10","15","","1610612745","470000","0021901298"
"34","1st","48","07:20","[HOU] Tucker Foul: Offensive (1 PF)","58","154","0","0","4","6","1628401","1610612745","200782","10","15","","1610612745","480000","0021901298"
"35","1st","50","07:20","[HOU] Tucker Turnover : Offensive Foul Turnover (1 TO)","58","154","0","0","37","5","","1610612745","200782","10","15","","1610612745","5e+05","0021901298"
"36","1st","51","07:20","[SAS] Team Timeout : Regular","0","-80","0","0","1","9","","1610612759","1610612759","10","15","","1610612759","510000","0021901298"
